5E92737C	"Give Me Letters 2, 3 and 6!": Partial Password Implementations and Attacks
7FB9D073	Aislamiento e identificación de Aeromonas bestiarum a partir de carpa común de cultivo (Cyprinus carpio L.) procedentes de Santa María Chapa de Mota, Estado de México, México
0D98DBEA	都内水域の環境ホルモンに関する研究(その5)下水処理水の流入による魚類生殖腺への影響
1DAC8E86	IOE LibGuides. Accessing Resources Remotely. Web of Science.
77F15506	Hash visualization in user authentication
740114A8	Improvements on Hsiang and Shih's Remote User Authentication Scheme Using Smart Cards
08AF1839	The Cambridge Handbook of Information and Computer Ethics: Computer ethics and applied contexts
0D752BD7	Water quality, ecological assessment and environmental management plan for Nadarivatu hydropower scheme
5D011437	Using Security Models
7BE8A497	Effect of cholesterol-loaded cyclodextrin on cryosurvival and fertility of cryopreserved carp ( Cyprinus carpio ) sperm
2D10FF0A	La fiebre del emoji llega a las contraseñas
7B7B495E	Lymphomyeloid cells, susceptibility to erythrodermatitis of carp and bacterial antigens.
7B456AD2	Privacy and security of patient data in the pathology laboratory
7E730813	Cryptanalysis of private-key encryption schemes based on burst-error-correcting codes
719A0720	A Concise History of Romania: The national state, 1866–1919
7BA71193	Kinetics of cadmium accumulation and elimination in carp Cyprinus carpio tissues
0CACA5E1	Influence of temperature on the immune response of carp to lipopolysaccharide and whole cell Aeromonas bestiarum vaccines
59B4FF19	BC NDP and Simons find compromise on social media | The Hook
0EA84AE4	Ovarian tumor in a koi carp (Cyprinus carpio): Diagnosis, surgery, postoperative care and tumour classification
5DD77F40	살균제 hexaconazole의 잉어(Cyprinus carpio L.) 장기 중 분포
7832A031	Impact of Fipronil on Content of the Macroergic Compounds in the Carp Tissues
7B247A7C	Evaluation of 2D Color Code Reading Characteristics for User Attestation System
1D037812	Study on Mitochondrial DNA Heteroplasmy from Liver, Kidney and Muscle of Common Carp
12B03D54	General IT Services
476242F7	Characterization of the 5'-flanking region of carp fast skeletal myosin heavy chain genes
39EA89DA	The influence of herbicide roundup on immunocompetent cells of carp [Cyprinus carpio] and European sheatfish [Silurus glanis]
24C56C5C	On Hidden Credential Retrieval (情報セキュリティ)
45F22857	Penerapan Face Recognition pada Keamanan Folder Menggunakan Metode Eigenface
6781A77A	KKBB: Kernel Keylogger Bye-Bye
82F2ED7E	From the Editor: Passwords and Passion
5A6391AD	A Novel Subscriber Message Authentication Technique in 3-G Mobile Communications Using Digital Signature
7AF1B887	Analyzing the Vulnerability of U.S. Hospitals to Social Engineering Attacks: How Many of Your Employees Would Share Their Password?
8159BCB6	An Efficient Three Party Authenticated Key Exchange for Mobile Communications
7560BB03	Swimming and posture control of common carp when penetrating mesh nets in a water tunnel
76F77D65	An improvement of Hsiang-Shih's authentication scheme using smart cards
22F172FA	Cutting Costs, Boosting Quality and Collecting Data Real-Time : Lessons from a Cell Phone-Based Beneficiary Survey to Strengthen Guatemala’s Conditional Cash Transfer Program
322373AA	North East Victorian Carp Conference 2015 - MDFRC
14E5D394	Analysis on Security Vulnerability of Password-based key Exchange and Authentication Protocols
7AB682C9	Information Sharing among Untrustworthy Entities
7696FB7A	The carp M1 muscle‐specific creatine kinase subisoform is adaptive to the synchronized changes in body temperature and intracellular pH that occur in the common carp Cyprinus carpio
35524720	Ionic composition and testosterone concentrations of blood plasma and seminal fluid of carp Cyprinus carpio and European wels Silurus glanis
7EF79071	The growth and condition of carp in the lake Velo Blato
58E361F1	Pretty Simple Password-Authenticated Key-Exchange Protocol
3E11628B	Histopatological changes in the inner organs of carp exposed to nitrogen compounds of industrial sewage
77DB5E34	Passcode based authentication protocol: Part I — Solution evaluation and software design
494DA529	Securing Medical Information Using Combined Authentication Approach
7B4CB13E	Online gaming cheating and security issue
84AECDAD	Ochrona haseł — informacje
105077C5	コイ (Cyprinus carpio) の糸球体傍細胞に関する形態学的および免疫組織化学的研究
4787A7FD	Scanning electron microscope studies on Ichthyophthirius multifiliis infection in the skin of carp Cyprinus carpio
2590FD0F	EFFECTS OF UROPHYSIAL EXTRACTS ON THE CARDIOVASCULAR SYSTEM OF THE CARP, Cyprinus carpio
2DB7FC0C	The Need to Prevent Employers from Accessing Private Social Network Profiles
791D2102	For your eyes only?
78ED7750	POSTER: Graphical password using object-based image ranking
829B3D14	Secure Dynamic Identity-Based Authentication Scheme Using Smart Cards
257A8F16	Travels in Mesopotamia: From Ain Koura, by the ancient Arbela, to Kerkook
638AA503	Economic Espionage and Industrial Spying: Tensions Between Security and Openness
1CCF0466	IOE LibGuides. Getting Started. Acknowledgements.
7AD2F479	A Markov Simulation Model for Analyzing and Forecasting the Number of Coronary Artery Revascularization Procedures in Western Australia
5455CBCF	Kapr v naší a světové kuchyni.
5BBAD438	Effects of different concentrations of salt and sugar on biogenic amines and quality changes of carp (Cyprinus carpio) during chilled storage
5EDC4813	Researches regarding water quality as an indicator of fish welfare in two farms from the southern area of the country.
5F69A7DD	Effects of low dietary levels of saponins on two common culture fish - common carp (Cyprinus carpio L.) and Nile tilapia (Oreochromis niloticus (L.))
75AD31F7	Improvement of Lee and Lee’s authenticated key agreement scheme
58D9CB59	PERANCANGAN DAN IMPLEMENTASI ALAT PENGIRIM TANDA PERINGATAN PENCURIAN DAN KEBAKARAN MELALUI SALURAN TELEPON BERBASIS MIKROKONTROLER AT89C51
76A36EA5	The immunosuppressive effect of α -permethrin on Indian major carp, rohu ( Labeo rohita Ham.)
01D6D101	Come mettere la password ai file Doc e Docx
77423930	Optimal RM scheduling for simply periodic tasks on uniform multiprocessors
2EFF5051	Diet of the black coot ( Fulica atra L. 1785.) on the fish famr "Koncanica"
7FFA1AD3	Rheological and physico‐chemical properties of gelatin extracted from the skin of a few species of freshwater carp
07B5D770	Chapter 10 - Web Development
098CECC3	Chapter 6 - The Human Element
5DB3DC82	IOE LibGuides. Accessing Resources Remotely. Welcome.
6A0A0C9F	The effect of feeding wheat with purple pericarp on the growth of carp
7B645F38	Qualitative und quantitative Verteilung von sieben Enzymen in Organen der Regenbogenforelle (Salmo gairdneri R.) und des Karpfens (Cyprinus carpio)
754B405D	Cryptanalysis of an Efficient Three-Party Key Exchange Protocol
7904C6B3	The effect of copper, zinc, mercury and cadmium on some sperm enzyme activities in the common carp (Cyprinus carpio L.).
860B70CD	Establish client relationships: The privacy act and principles - Security of information - 4 - Alternate
7F4E46A8	Two‐factor authentication scheme using attribute and password
056C1508	Library FAQs - Curtin Singapore
3A6A88CC	A Classified Index and Synopsis of the Animal Kingdom: INDEX OF THE ANIMAL KINGDOM
7FEF09A8	3D Password Enabling Using Gait Technology
5495F610	Mechanics and Physiology of Animal Swimming: The mechanical design of the fish muscular system
77926178	Access control mechanisms in digital library services
686997C2	Feeding France: Political palates
0C088032	CAPACITATED ARC ROUTING PROBLEMS IN OPENING ACCESS BY DEBRIS COLLECTION OPERATION IN DISASTERS
83D9EFF0	Cultivo de peces en campos de arroz.
79D88761	Molecular cloning and growth hormone‐regulated gene expression of carp insulin‐like growth factor‐I
810EC319	Daily Changes in the Gonadotropin Levels and Response of Carp Oocytes to Hypophysial Homogenate
75F30F34	Primary structures of carp gonadotropin subunits deduced from cDNA nucleotide sequences
782D8B53	Isolation of a toxin from carp (Cyprinus carpio) bile.
75CF28B2	Prediction of missed number from pin code of ATM card with back propagation method of artificial neural network
7A98EC8D	Visualizing keyboard pattern passwords
0750DFFB	Incidence and causes of mass fish kill in a shallow tropical eutrophic lake (Laguna de Bay, Philippines)
5C35B4E4	Monoclonal Antibodies against the Third Component (C3) of Carp Complement
5CF99877	On the security of a popular web submission and review software (WSaR) for cryptology conferences
80645EEB	Two point mutations convert a catalytically inactive carbonic anhydrase-related protein (CARP) to an active enzyme
775B3AA2	The relationship of Password Created and Habit among undergraduate students
789657CB	Using invertebrate remains and pigments in the sediment to infer changes in trophic structure after fish introduction in Lake Fogo: a crater lake in the Azores
7401B5A6	Should the FTC Kill the Password? The Case for Better Authentication
7628B994	Pouchitis: What Every Gastroenterologist Needs to Know
6CCBE199	Authentication—Are We Doing Well Enough?
7F377C17	Implementing Open Authentication for Web Services with a Secure Memory Card
6CC347B8	IOE LibGuides. Getting Started. Portal.
765D0A1B	The effect of dietary energy and protein concentration and feeding level on feed utilization and body composition of carp (Cyprinus carpio L.)
590D74D2	Selenium Concentration in Various Carp (Cyprinus carpio L.) Organs
3B58D57D	Elimination of nitrogen compounds in carp ponds fertilized with the biologically treated municipal sewage
7602D681	Performance Evaluation of Widely Used Portknoking Algorithms
77BE9D7B	Password based authentication: Philosophical survey
7B63483B	Intruder Detection System Architecture for an SOA-Based C4I2SR System
31D9A4F5	Inheritance of orange pigmentation and scale pattern in common carp (Cyprinus carpio L.)
708A2C8E	Comprehensive Agrarian Reform Program (CARP): Time to let go
5DE65145	Monoclonal Antibodies Raised against Carp Myosin
818B3DF6	Purification and characterization of chymotrypsin and trypsin from carp (Cyprinus carpio) hepatopancreas
78881838	Fatty acid composition of three freshwater fishes under different storage and cooking processes
7A75C409	Impact Of Long-Term Storage On The Instrumental Textural Properties Of Frozen Common Carp (Cyprinus Carpio, L.) Flesh
04F4353B	Les séquelles cartilagineuses des traumatismes intra-carpiens: à propos de 20 cas traités par scaphoïdectomie et arthrodèse capito-lunaire
770CC7BE	Expression of ERK and p-ERK proteins of ERK signaling pathway in the kidneys of fluoride-exposed carp ( Cyprinus carpio )
7A1AF7B8	Participation of cathepsin L in modori phenomenon in carp ( Cyprinus carpio ) surimi gel
45D818A7	Training room - Record sales
1CD80B01	IOE LibGuides. Getting Started. Computing.
6B8B4660	On‐farm evaluation of formulated feeds on the breeding performance of Catla catla reared in rural ponds
85218CB8	Three years results cage growing carp (Cyprinus carpio) in the lake Grabovo
06D11093	Come importare ed esportare le password Firefox
3251C681	Effect of neutral salts on thermal denaturation of myofibrillar Ca-ATPase of fish [white croaker, Argyrosomus argentatus; carp, Cyprinus carpio, for preparing fish jelly products]
450E111E	Training room - Searching the database
5910A75D	Is fish cage culture a sustainable livelihood option for the poor?
77546443	Multiple regulation of carp ( Cyprinus carpio L.) macrophages and neutrophilic granulocytes by serum factors: influence of infection with atypical Aeromonas salmonicida
7B330551	Based on the agent of elliptic curve Diffie-Hellman Key Establishment Protocol
6F66A4FD	Myosin Subfragment-1 Isoforms Having Different Heavy Chain Structures from Fast Skeletal Muscle of Thermally Acclimated Carp.
5A4C6DF5	The evaluation of novel bio-ethanol derived co-products as potential feed ingredients for carp Cyprinus carpio and tilapia Oreochromis niloticus
5A85BC57	IOE LibGuides. Getting Started. Email.
7DD3CC50	Koi herpes virus: do acipenserid restitution programs pose a threat to carp farms in the disease-free zones?
7BF91685	Movement of stream fishes in Missouri
7CF19FE8	KLASSP: Entering Passwords on a Spyware Infected Machine Using a Shared-Secret Proxy
7EFC6B61	Polymorphism of lactate and malate dehydrogenases in two lines of common carp (Cyprinus carpio L.) spawners in Łaki jaktorowskie.
3454973D	Roles of the Pectoral Musculoskeletal Framework and the Pericardium in Cardiac Function in Carp
591D2A26	A Secure Strong-Password Authentication Protocol
811681E2	선박승무원 출입관리를 위한 3차원 영상 큐브 암호 인터페이스 설계 및 구현
7CE5708A	One-to-one mapping matrix
84FA4BDC	Studies on the energetics of common carp cyprinus carpio subjected to phosphamidon exposure
802807D2	Relation between the profile of major fractions of unsaturated fatty acids in common carp meat [Cyprinus carpio L.] in the second year of life and their profile in zooplankton
7AFD43BE	Privacy Preserved Attribute Aggregation to Avoid Correlation of User Activities across Shibboleth SPs
754844A3	Designing a new mutual authentication scheme based on nonce and smart cards
85FEF280	Effet de la durée et des conditions de stockage (réfrigération et congélation) sur des caractéristiques de texture de filets de truite (Salmo trutta) et de carpe (Cyprinus carpio)
84BDE437	Password dello smartphone dimenticata
785B3935	Wrist arthroscopy for the treatment of ligament and triangular fibrocartilage complex injuries
85E783A5	The lives of ants.
5AE19E26	Help: EZProxy Troubleshooting Tips
7DF75ECB	Fingerprint verification applying invariant moments
795C1CEA	Common carp and goldfish discern conspecific identity using chemical cues
012B647B	Facebook e la password unica
6DFBC9AD	Feeding of β‐1,3/1,6‐glucan increases the diversity of the intestinal microflora of carp (Cyprinus carpio)
6B06B519	N-party encrypted diffie-hellman key exchange using different passwords
5C6A1CFD	RAM data significance in digital forensics
1507FBDD	A NOVEL MEMETIC ALGORITHM WITH COMBINATION LOCAL SEARCH FOR CAPACITATED ARC ROUTING PROBLEMS
071B493B	Modulation of gap-junctional intercellular communication through the action of cyclic GMP-dependent protein kinase in retinal horizontal cells
6978AD9A	Identification and authentication - methods of protection from unauthorized access
7E34E356	In-Depth Analysis of Pricing Problem Relaxations for the Capacitated Arc-Routing Problem
79A3AB42	Verdaulichkeit, wachstum und körperzusammensetzung von karpfen (Cyprinus carpio L.) nach verfütterung verschiedener stärkearten
5D73EA7D	SVC-Virus van karper en PFR-Virus van snoek : deel 5 - visvirussen
21EB591D	Attacks on the Shen et al.'s Timestamp-Based Password Authentication Scheme Using Smart Cards( Cryptography and Information Security)
2E2E4B7B	Stanislaw Skora, 1925-1995
779D9E71	A liposome immune lysis assay for enrofloxacin in carp and chicken muscle
8600ADA2	Current status of transboundary fish diseases in Vietnam: Occurrence, surveillance, research and training.
2D023D94	Catena: A Memory-Consuming Password Scrambler
2DA6F86B	The reproductive biology of Eudiplozoon nipponicum [Monogenea, Diplozoidae], a parasite of carp [Cyprinus carpio L.] in Europe
5C6271E4	A new simple authenticated key agreement and protected password change protocol
09E28317	The Combined Effect of Transglutaminase and Protease Inhibitors on the Thermal Gelation of Actomyosin Sol from Carp and Salmon Muscles
7DD8BBB0	INVESTIGATION OF HEAVY METALS ACCUMULATION IN THE SEDIMENT AND BODY OF CARP FISH IN ARAS RIVER
7C62F00E	An enhanced biometrics-based remote user authentication scheme using mobile devices
73E8806F	Data Breach Lawsuits and Article III Standing: Will the United States Supreme Court Make It Easier for Identity Theft Victims to Have Their Day in Court?
120C31FA	Creating Usable Policies for Stronger Passwords with MTurk
768038F4	Security Improvement on Wu and Zhu's Protocol for Password-Authenticated Group Key Exchange
754DA399	Stronger password-base authenticated key exchange protocols
7F5D0BCC	모바일 환경에서 엿보기 공격에 강한 패스워드 입력방법
78BEBEBD	The effects of some herbicides and pesticides on sodium uptake by isolated perfused gills from the carp Cyprinus Carpio
8006271D	ORD Clean Air Research Program Review and Response
25F1E98C	環境 ＩＶ 紙パルプ排水の生理学的な生物影響の評価方法について
816C366A	Heavy metals contamination in silver, common and grass carp caught from Zarivar Lake, western Iran
7CCDA462	Pharmacokinetics of chloramphenicol in carp ( Cyprinus carpio L.) after drug administration
7AA253DD	Cloning and sequencing of cDNAs of the β‐globin gene family in carp
75515488	Boxed Safe Ambients with Password and Application on the Internet
7E4CF247	Diagnostic Techniques and Treatments for Internal Disorders of Koi (Cyprinus carpio)
76BBDCBA	Secure Dynamic Identity-Based Authentication Scheme Using Smart Cards
8549DB50	Strong Unique Passwords and Why I Don’t Use Public Computers
78597E05	An Empirical Study on the Web Password Strength in Greece
7DC58257	Enhancing Security in VANET in terms of Confidentiality and Authentication
760FF3ED	Enhanced template protection with passwords for fingerprint recognition
7535090A	Web-Based Benchmark for Keystroke Dynamics Biometric Systems: A Statistical Analysis
10772CBB	An Efficient Leakage-Resilient Authenticated Key Exchange Protocol
1ACCF4DC	IOE LibGuides. Accessing Resources Remotely. Acknowledgements.
04B9900F	Effects of Using Hybrid Carp to Control Aquatic Vegetation
79A96740	Modifying smartphone user locking behavior
7573333E	IOE LibGuides. Quizzes and Games. Finding Game.
7CA35F28	Attempts to induce an LH surge and ovulation in common carp ( Cyprinus carpio L.) by differential application of a potent GnRH analogue, azagly-nafarelin, under laboratory, commercial hatchery, and natural conditions
6C8A63CA	Histopathological changes of the gills induced by a group of amphoteric surfactants in the common carp
7D2C29A0	Characterization of myomodulin-related peptides from the pulmonate snail Helix aspersa.
06BE3610	Patch-Scale Effects of an Invasive Ecosystem Engineer on the Structure and Function of a Eutrophic Stream
8199DF84	Effects of juvenile fish predation ( Cyprinus carpio L.) on the composition and diversity of free-living freshwater nematode assemblages
75E71FDF	Nutrient Utilization and Diet Preference of American White Pelicans Consuming Either a Mono- or Multi-Species Diet
753F3802	Passage of non‐salmonid fish through a Deelder lock on a lowland river
78AB5293	An electrophysiological test of the effect of the temporal pattern of light adaptation on teleost H1 type horizontal cell plasticity
7FBA23F7	Pointcheval-Zimmer 다중 인증 요소 기반 인증된 키 교환 프로토콜의 안전성 연구
825C67ED	Enhanced Two-Factor Authentication and Key Agreement Using Dynamic Identities in Wireless Sensor Networks
7D9B5423	MFO activity in carp (Cyprinus carpio) exposed to treated pulp and paper mill effluent in lake coleman, Victoria, Australia, in relation to AOX, EOX, and muscle PCDD/PCDF
158911BD	Morphological and immunohistochemical studies of juxtaglomerular cells in the carp, Cyprinus carpio.
7147351E	Tension Development of Carp Muscle Immersed in Pure Water and CaC1_2 Solution
79B75BB2	HCI and security systems
3DD1A4D9	Effects of high-energy diet on basic indices of carp [Cyprinus carpio L.] C2-3 culture in cooling water
116C2364	Cryptanalysis on the Authentication Mechanism of the NateOn Messenger
2D74BFDA	CYPRINIDS TOTAL BLOOD PROTEINS DETERMINATION
7BB903C4	A survey of passwords from 2007 to 2009
7641E662	Secure password-based authenticated key exchange for web services
795EFDCA	Reproduction Characteristics of Population of Carp ( Cyprinus carpio ) Inhabiting in Almus Dam Lake, Turkey
3D08490E	Piscicola pojmanskae, a new leech species from Poland [Hirudinea: Piscicolidae]
4710758B	Steps in Scala: GUI programming
859B2175	An Extended Multi-Server-Based User Authentication and Key Agreement Scheme with User Anonymity
6EF4A05E	Community Indicators: Improving Community Management, PRP 6
3AFAD919	SELECTION OF CARP POPULATION (CYPRINUS CARPIO CARPIO, L) BASED ON MORPHOMETRIC PATTERNS.
38134E40	Effects of diversified pond carp culture. 1. Impact of different feeding and stock density on fish production
54CEBED3	IOE LibGuides. Getting Started. Security & Software.
78FF625F	Identification of 12‐lipoxygenase products in the gills of carp, Cyprinus carpio
7D36B500	Analisis Kualitas Fisiko Kimia dan Kadar Logam Berat pada Ikan Mas (Cyprinus carpio L.) dan Ikan Nila (Oreochromis niloticus L.) di Perairan Kaligarang Semarang
7BC914F6	Organ distribution of carp (Cyprinus carpio) leucocytes during ontogeny
0A3DF8B9	Why are we so unconsciously insecure? : Discussion
7532ACC4	Detection of plasmalogen from plasma low density lipoprotein and high density lipoprotein in carp, Cyprinus carpio , and rainbow trout, Oncorhynchus mykiss
7EEF1B10	RESPONSE OF FISHES TO FLOODPLAIN CONNECTIVITY DURING AND FOLLOWING A 500-YEAR FLOOD EVENT IN THE UNIMPOUNDED UPPER MISSISSIPPI RIVER
80878A4B	Measurement of aquatic contamination by utilizing microsomal enzyme preparations from Carp (Cyprinus carpio) in the Salmonella assay
5C17686C	Chapter 2 - Identification and Authentication
3BA77201	Password Chart, password sicure ed introvabili!
56289677	How to Avoid Being Hacked on Twitter
7815CBF8	Nutrient digestibility values of a test diet determined by manual feeding and self‐feeding in rainbow trout and common carp
18224408	腐植土抽出物を経口投与したコイ(Cyprinus carpio L.)における非定型Aeromonas salmonicida感染防御(免疫学)
0DB77EC8	Acute toxicity of wood vinegar on culture fishes
3D15B1B9	Yes, Dr Luu, SRS are important - especially to the rural poor!
75933336	Cytochrome P450 (P450) isoforms expression, P450 concentration, monooxygenase activities, reactive oxygen species formation, lipid peroxidation, and glutathione content in wild catch carp and tench liver - influence of a two weeks exposure to phenobarbital
7791F1AF	Effects of addition of tilapia in carp-prawn-mola polyculture system
5DF2ED60	Effects of .KAPPA.-Carrageenan on the Non-Specific Defense System of Carp Cyprinus carpio.
7F0263FA	Effect Evaluation of Benzo[a]pyrene on Multiple Biomarkers in Common Carp (Cyprinus carpio)
108E7465	Login to your website
75BA1D5D	Plasma corticosteroid stress response of fourteen species of warmwater fish to transportation
7F6B8AB8	Going cashless at the point of sale : hits and misses in developed countries
7CBEFC1F	Uptake and enantioselective elimination of chlordane compounds by common carp ( Cyprinus carpio , L.)
5D66D1FF	SNOPA AND THE PPA: DO YOU KNOW WHAT IT MEANS FOR YOU? IF SNOPA (SOCIAL NETWORKING ONLINE PROTECTION ACT) OR PPA (PASSWORD PROTECTION ACT) DO NOT PASS, THE SNOOPING COULD CAUSE YOU TROUBLE
0129B1F4	Sequence analysis and tissue-specific expression of the B2-microglobulin gene in Aeromonas hydrophila infected Cirrhinus mrigala
760134D6	The complete nucleotide sequence of the growth-hormone gene from the common carp ( Cyprinus carpio )
1AED96AF	Simons approved to compete for NDP leadership | The Hook
65A53A93	Authentication protocols using Hoover-Kausik's software token
69A7FA44	Regulation of Carbohydrate Metabolism in Fish-XXIV. Metabolic Response to Dietary Lipid to Protein Ratios in Common Carp.
1417EA7D	魚はなぜ田んぼにやってくるのか (特集 魚のゆりかごとしての水田 : 湖国・滋賀からの発信)
7ECE7018	Genomic Organization of the Human Arpp Gene
6949760F	Temperature effect on the function of heart beat for Carp Cyprinus carpio
73F67B66	피싱 및 파밍 공격에 의한 다수의 패스워드 유출 요인에 관한 연구
7DBD9385	Growth Conditions and Stock Analysis of the Carp (Cyprinus carpio, Linnaeus 1758) Population in Gölhisar Lake
2EBE48AF	Diel, seasonal and spatial variability in the carp pond ecosystem
7CE16D43	Effect of seasonal acclimatization on the expresion of the carp transcription factor Pit‐1
8361581A	Cs-137 and Sr-90 in fish from Danube river caught in area NPP Kozloduy
7CDDF129	A comparison of hepatic in vitro metabolism of T-2 toxin in rats, pigs, chickens, and carp
5CD5E56B	About security of threshold anonymous password-authenticated key exchange (情報セキュリティ)
5F887355	University of Texas at El Paso Library Newsletter
054F76C5	Chapter 10 - Security
71148BA2	HCG and LHRH-A induced spawning in bighead carp Aristichthys nobilis Rich. reared in floating cages in Laguna de Bay
6694DF66	Subunit Components in Salt-soluble and Insoluble Fractions of Carp Myofibrils during Frozen Storage
7C4BD12C	The effect of feeding carp [Cyprinus carpio L.] fry with pelets of varying protein content
811A8B44	Speech Activated Telephony E-mail Reader (SATER) Based On Speaker Verification And Text-to-speech Conversion
4645B660	Prespawning weight changes of common carp [Cyprinus carpio L.] female spawners
5957C413	Bloedplasma substraten en spier-melkzuur respons na uitputtende zwemarbeid bij karper en forel: aanwijzingen voor een beperkte melkzuur-'shuttle'
7B02E183	Fiber Connections of the Nucleus isthmi in the Carp (Cyprinus carpio) and Tilapia (Oreochromis niloticus)
68A399E2	Policy and investment priorities to reduce environmental degradation of the lake Nicaragua Watershed (Cocibolca)
5EE02AA5	Perancangan Program Aplikasi Kriptosistem Menggunakan Algoritma Solitaire Yang Dimodifikasi Dengan Fungsi Merkle Hash Tree
7AB4B6F7	The immunomodulatory effects of the dimer of lysozyme (KLP-602) in carp ( Cyprinus carpio L)—in vivo study
83552A86	Thermophile-fermented compost as a fish feed additive modulates lipid peroxidation and free amino acid contents in the muscle of the carp, Cyprinus carpio.
678B5FD7	Metabolic Response to Dietary Carbohydrate to Protein Ratios in Carp.
7C46B023	Cryptanalysis of a flexible remote user authentication scheme using smart cards
861BE575	A hardware-implemented truly random key generator for secure biometric authentication systems
76F9392A	Transition metal and organic radical components of carp liver tissue observed by electron paramagnetic resonance spectroscopy
757048ED	Occurrence of two distinct molecular species of cathepsin B in carp Cyprinus carpio
81A31182	Password reminder | MarketPlace
5A8419D5	Feeding and the Texture of Food: Texture of plants and fruits
5DC6C5F1	The role of live fish movements in spreading koi herpesvirus throughout England and Wales
43C380E9	Nutritional Energetics in Fish-IV. Digestible Energy: Methodological Influences and a Mode of Calculation.
7C1E8E3B	Identity authentication system based on improved PR-RP model
79246296	Existence of Two Isoforms of Extracellular Signal-Regulated Kinase in Fish
760355A5	The effect of aromatase inhibitor, fadrozole, on sGnRHa-stimulated LH secretion in goldfish [Carassius auratus] and common carp [Cyprinus carpio]
7A6F76D3	The leech excitatory peptide, a member of the GGNG peptide family: isolation and comparison with the earthworm GGNG peptides
094D780C	Off-Campus Access
30F58517	Communities of intestinal helminths of carp, Cyprinus carpio, in highland lakes in Yunnan province of southwest China
03F0617C	Enhanced Password Security on Mobile Devices
497D2929	On the Security of SAPAKE (技術と社会・倫理)
1931A97D	Aphanomyces piscicida 人為感染アユおよびコイの病理組織学的比較
7E7222BA	Effects of zinc on lipids of erythrocytes from carp ( Cyprinus carpio L.) acclimated to different temperatures
66FC7205	Thermal aggregation of fish myosin rod
48D6A181	Localization of primordial germ cells (PGCs) in different developmental stages of rohu, Labeo rohita (Ham.).
10223F02	Cryptanalysis of an Efficient RSA-Based Password-Authenticate Key Exchange Protocol against Dictionary Attack
0407676F	Controllare I dati in entrata e in uscita sul vostro pc per evitare furti via USB Drive
3E1F35FA	The effects of ambient magnesium concentration on the embryonic and prelarval development of mirror carp [Cyprinus carpio L., 1758]
76A4402C	Stimulation of antioxidant enzymes levels in carp ( Cyprinus carpio L.) infected by Ptychobothrium sp. (Cestoda)
77C5FAF1	Effects of chitosan coating on quality and shelf life of silver carp during frozen storage
5BBAC3E9	Peasant farming in Muscovy: Moscow uezd
22C9541E	Design and Application of Fish Passage and Protection Facilities in China
5EE812B9	Waarom gaan vissen dood na extreme arbeid? Een 31P-NMR studie
7A2C663B	Identity management systems
7CDC3FF8	Modeling and analysis of guessing attacks in strand spaces
76154267	Applying of security mechanisms to middle and high layers of OSI/ISO network model
7ABF59B2	Reversal potentials of color opponent responses in horizontal cells of the carp retina
7E3C2040	CHANGES OF BLOOD AND URINE PARAMETERS AND MICROFLORA IN THE GASTROINTESTINAL TRACT OF CARP EXPOSED TO DILUTED SEWAGE FOR A SHORT PERIOD
77771D7C	Purification and characterization of two anionic trypsins from the hepatopancreas of carp
8444BF02	Recovery of Streptococcus milleri from ulcerated koi carp (Cyprinus carpio L.) in the UK
02ABEA3B	Effect of antibiotics, enzyme, yeast culture and probiotics on the growth performance of Israeli carp
80808996	ScreenPass: secure password entry on touchscreen devices
06E04E4B	Chapter 8 - Human Element Security
5BF3BDEB	Password Selection by End Users from an eCommerce Site: An Empirical Study
7BC29881	Enzyme activities in fish spermatozoa with focus on lactate dehydrogenase isoenzymes from herring Clupea harengus
7A4E9E78	Balancing Aquatic Habitat Fragmentation and Control of Invasive Species: Enhancing Selective Fish Passage at Sea Lamprey Control Barriers
37612E20	Nieinwazyjne metody oceny i poprawy bezpieczeństwa systemów komputerowych bazujące na standardach DISA
7A7A6D32	Improved id-based remote user authentication scheme using smart card
6583E005	Change in Solubility of Carp Myofibrillar Protein by Glycosylation with Ribose
5CB85F2E	Time to let go of CARP? Not so fast
76B10315	HRMIS 9.0 Newsletter 07
31799438	3D Image Qube Password Interface Design and Implementation for Entrance/Exit of Sailors
75FEE00E	Fish induced macrophyte loss in shallow lakes: top–down and bottom–up processes in mesocosm experiments
83483B67	무선 메쉬 네트워크의 패스워드 기반 인증 프로토콜
5DD740EB	Livelihoods on the Lo river, Vietnam.
77CFDAEC	An efficient generic framework for three-factor authentication with provably secure instantiation
823EB76D	Reset my password
764F8370	Intrusion Detection for Grid and Cloud Computing
7818457D	Back-of-device authentication with bod taps and bod shapes
7C5FFF8A	Trustworthy Software Reliability Research Based on UNIX Login Packet Security Analysis
5873D969	Metabolic Response to Acclimation Temperature in Carp
76C4A605	Let your body be your key
80787E47	Protease Susceptibility of Fast Skeletal Myosin Heavy Chain from Carp Acclimated to Cold and Warm Temperatures
7DB562C4	Implementation of GSM-based home security monitoring system with LED touch screen
5D842857	EVALUATION OF DIFFERENT STOCKING DENSITIES OF TWO SMALL INDIGENOUS FISH, PABDA (OMPOK PABDA) AND GULSHA (MYSTUS CAVASIUS) WITH INDIAN MAJOR CARPS IN POLYCULTURE SYSTEM
6B523FB5	Scaring and Bullying People into Security Won't Work
7A619FD3	Effects of atrazine and chlorpyrifos on acetylcholinesterase and Carboxylesterase in brain and muscle of common carp.
