7626E8FB	Simple Group Password-based Authenticated Key Agreements for the Integrated EPR Information System
7E3F4369	User-friendly password methods for computer-mediated information systems
80B6CEAC	The Vulnerabilities Analysis of Fuzzy Vault Using Password
80D059D1	Cryptanalysis of Lee–Hwang–Li's key authentication scheme
7E52A197	Effects of urea and trimethylamine-N-oxide on ATPase of requiem shark myofibril and its constituents.
7A771AF1	Guess Again (and Again and Again): Measuring Password Strength by Simulating Password-Cracking Algorithms
7AB32B8E	Detection of cathepsin L in red cell membranes from fish blood
5F5D0465	An inter-domain key agreement protocol using weak passwords
7FB1D9D7	Cortisol induces apoptosis in activated B cells, not in other lymphoid cells of the common carp, Cyprinus carpio L
80D4D739	Effect of 2-phenoxyethanol and etomidate on cardiac and respiratory functions and behaviour of common carp, Cyprinus carpio L. (Actinopterygii, Cypriniformes, Cyprinidae), during general anaesthesia
7E9C9A3E	Graphical passwords based on robust discretization
7C260BD3	Physiological and biochemical investigations on egg stickiness in common carp.
7CE0ACAA	A communication-efficient three-party password authenticated key exchange protocol
7841EE11	Online Versus Local Password Management Applications: An Analysis of User Training and Reactions
77D63142	Orally administered LPS enhances head kidney macrophage activation with down-regulation of IL-6 in common carp ( Cyprinus carpio )
802A7EA7	Efficient three-party key exchange using smart cards
79622AEE	Effects of Quillaja saponins on growth, feed efficiency, digestive enzyme activities and metabolism of common carp (Cyprinus carpio L)
76933D4E	Managing a Migratory Pest Species: A Selective Trap for Common Carp
77A557A6	Differential metallothionein induction patterns in three freshwater fish during sublethal copper exposure
7A7DC8E9	Optical waveguide lightmode spectroscopy immunosensor for detection of carp vitellogenin
762CD5AD	The Characterisation of the 5′ Regulatory Region of a Temperature‐Induced Myosin‐Heavy‐Chain Gene Associated with Myotomal Muscle Growth in the Carp
8034B1EC	Improved remote login scheme based on ECC
7909C465	Molecular cloning, structural analysis, and expression of carp ZP2 gene
77AB9B58	Molecular cloning of carp ( Cyprinus carpio ) leucocyte cell-derived chemotaxin 2, glia maturation factor β, CD45 and lysozyme C by use of suppression subtractive hybridisation
7B315C00	A secure dynamic ID based remote user authentication scheme for multi-server environment using smart cards
7604726F	A Secure and Efficient Password-Based User Authentication Scheme Using Smart Cards for the Integrated EPR Information System
7C56C6C3	Interleukin-1 α and tumor necrosis factor α modulate cytochrome P450 activities in carp ( Cyprinus carpio )
7EB7D7AF	CARP-CG: A robust and efficient parallel solver for linear systems, applied to strongly convection dominated PDEs
77A2F5BF	Ontogenesis of hexokinase I and hexokinase IV (glucokinase) gene expressions in common carp (Cyprinus carpio) related to diet
762817C8	Design and analysis of a three party password-based authenticated key exchange protocol using extended chaotic maps
79D8254D	Even or Odd: A Simple Graphical Authentication System
78A5454C	Production of inflammatory mediators and extracellular traps by carp macrophages and neutrophils in response to lipopolysaccharide and/or interferon-γ2
7D08EC37	Expression of two metallothionein genes in different brain regions of common carp
7F0C0340	An efficient multi-server password authenticated key agreement scheme using smart cards with access control
80C33D36	Split-Delivery Capacitated Arc-Routing Problem: Lower Bound and Metaheuristic
7DD05148	A framework for password-based authenticated key exchange 1
79D2BF2A	Password-based user authentication and key distribution protocols for client-server applications
7DD56919	GABA modulates color-opponent bipolar cells in carp retina
7D9E6AC0	Accessing Password-Protected Resources without the Password
7D40E3EB	IMPORTANCE OF LIGHT IN TEMPORAL ORGANIZATION OF PHOTORECEPTOR PROTEINS AND MELATONIN-PRODUCING SYSTEM IN THE PINEAL OF CARP CATLA CATLA
7960C7AA	Substrate Specificity of Carp Cyprinus carpio Cathepsin H with Methylcoumarylamide Substrates
7BDC3BC5	An improvement on Yang et al.’s password authentication schemes
801A26E4	Alleviating Insider Threats: Mitigation Strategies and Detection Techniques
766AFCBF	Effects of varied levels of incorporation of Labeo gonius in carp polyculture system in India
751F5AD9	IMPROVING TWO NOVEL THREE-PARTY ENCRYPTED KEY EXCHANGE PROTOCOLS WITH PERFECT FORWARD SECRECY
5DCA8141	New authentication scheme based on a one-way hash function and diffie-hellman key exchange
7A96F153	Time and concentration dependency of MacroGard® induced apoptosis
7B9BD3B4	Enhancement of two-factor authenticated key exchange protocols in public wireless LANs
802EBF50	Towards Usable End-user Authentication
7805D4AB	Comparative evaluation of production performance in varied cropping patterns of carp polyculture systems
754021AF	Patterns of gene expression in carp liver after exposure to a mixture of waterborne and dietary cadmium using a custom-made microarray
780B647D	Cryptanalysis of a user authentication scheme using hash functions
7A5EC172	Improving system security via proactive password checking
80E6CFFA	Human identification through insecure channel
7EE5E74F	Comparative evaluation of the alkaline comet assay with the micronucleus test for genotoxicity monitoring using aquatic organisms
7CB03382	A multi-word password proposal (gridWord) and exploring questions about science in security research and usable security evaluation
80D3AA54	Comments on a Secret-Key-Privacy-Preserving Authentication and Key Agreement Scheme
7CA6F5B9	Investigations into the ubiquitous nature of high or low immune responsiveness after divergent selection for antibody production in common carp ( Cyprinus carpio L.)
78B23A39	Melatonin in the Regulation of Annual Testicular Events in Carp Catla catla: Evidence from the Studies on the Effects of Exogenous Melatonin, Continuous Light, and Continuous Darkness
7A06B722	Weakness and improvement on Wang–Li–Tie’s user-friendly remote authentication scheme
75D7A154	WebTicket: account management using printable tokens
85A22DF1	Chromosome set manipulation and sex control in commn carp: a review
8156100D	Building a better password: The role of cognitive load in information security training
7B1FA834	Towards a formal system-to-system authentication protocol
7D04E751	Rag expression identifies B and T cell lymphopoietic tissues during the development of common carp (Cyprinus carpio)
7EA83701	The Forgotten Password: A Solution to Selecting, Securing and Remembering Passwords
7B918CF7	Artificial spawning of carp, Cyprinus carpio (L.)
796EFD43	Expansion of genes encoding complement components in bony fish: biological implications of the complement diversity
7708FDD3	An investigation of keypad interface security
7F4E66EC	Anaerobic metabolism in the carp ( Carassius carassius L.)
761BD407	Password-based authentication and key distribution protocols with perfect forward secrecy
7AFB657C	Mechanisms involved in apoptosis of carp leukocytes upon in vitro and in vivo immunostimulation
59432A9A	Cryptanalysis of a dynamic ID-based remote user authentication with key agreement scheme
815243B8	A Novel Secure Remote User Authentication Protocol using Three Factors
80FF38B1	Improvement of the More Efficient and Secure ID-Based Remote Mutual Authentication with Key Agreement Scheme for Mobile Devices on ECC
77741408	Correlations of nonylphenol-ethoxylates and nonylphenol with biomarkers of reproductive function in carp ( Cyprinus carpio ) from the Cuyahoga River
8044BC9F	Cardiac ankyrin repeat protein is a marker of skeletal muscle pathological remodelling.
7C93FDA0	An Efficient and Robust RSA-Based Remote User Authentication for Telecare Medical Information Systems
7648085A	A password extension for improved human factors
7B62D7B3	Exposure to waterborne copper reveals differences in oxidative stress response in three freshwater fish species
7611331A	Characterizing the in vitro hepatic biotransformation of the flame retardant BDE 99 by common carp
775E25D2	Implementation of a Remote Authentication System Using Smartcards to Guarantee User Anonymity to Third Party
816F7064	The nuclear phenotypic plasticity observed in fish during rRNA regulation entails Cajal bodies dynamics.
7D376B3C	Password memorability and security: empirical results
80ECDCFF	On the ecological validity of a password study
78B71C36	Determination of the seasonal changes on total fatty acid composition and ω3/ω6 ratios of carp ( Cyprinus carpio L.) muscle lipids in Beysehir Lake (Turkey)
80CC6871	Multi-Instance Security and its Application to Password-Based Cryptography
81377673	Thermal stability of myofibrillar protein from Indian major carps
8080053D	A Spoonful of Sugar?: The Impact of Guidance and Feedback on Password-Creation Behavior
7D9A827F	Microsatellite loci to determine population structure of Labeo dero (Cyprinidae)
79DFFA85	A secure and efficient strong-password authentication protocol
7B1BA90A	A user authentication scheme not requiring secrecy in the computer
80950FEC	Chemical and sensory quality changes of fish fingers, made from mirror carp (Cyprinus carpio L., 1758), during frozen storage (-18 °C)
7C37DA5E	Factors affecting perception of information security and their impacts on IT adoption and security practices
7BAB4815	Molecular cloning and expression analysis of carp ( Cyprinus carpio ) interleukin-1β, high affinity immunoglobulin E Fc receptor γ subunit and serum amyloid A
7A8F5EA2	Tissue-specific expression of two metallothionein genes in common carp during cadmium exposure and temperature shock
7A4B4A7F	Model of debris collection operation after disasters and its application in urban area
7AFA8A41	A Simple Scheme to Make Passwords Based on One-Way Functions Much Harder to Crack
59A23E74	Comparison of respiratory burst activity of inflammatory neutrophils in ayu ( Plecoglossus altivelis ) and carp ( Cyprinus carpio )
79691AB7	A novel mutual authentication scheme for USB storage devices
56927345	Are Password Management Applications Viable? An Analysis of User Training and Reactions
7DD95D8C	Measuring password guessability for an entire university
644A5A8C	Website credential storage and two-factor web authentication with a java SIM
784F79CE	A survey of potential stressor‐induced physiological changes in carp (Cyprinus carpio) and barbel (Barbus bocagei) along the Tajo River
5F2E2E21	An improved lu-cao's remote user authentication scheme using smart card
4A28C616	Malformations of newly hatched common carp larvae
7B4BA930	Human-computer cryptography: an attempt
5A0110C4	Password-Authenticated Key Exchange between Clients in a Cross-Realm Setting
75123E60	Morphine affects the inflammatory response in carp by impairment of leukocyte migration
30E5AF9B	Effects of pineal gland and melatonin on maturation gonadotropin [GtH2] secretion from perifused pituitary glands of mature carp during spawning
816D8F0A	Limnology and culture-based fisheries in non-perennial reservoirs in Sri Lanka
7BA2DBCC	Authenticating passwords over an insecure channel
7DADD849	Artificial spawning of female Polish line 3 carp (Cyprinus carpio L.) after treatment with pituitary homogenate and/or Ovopel
710D41AE	A simple and efficient key exchange scheme against the smart card loss problem
2D63602C	Analysis of Expressed Sequence Tags (EST) Obtained from Common carp, Cyprinus carpio L., Head Kidney Cells After Stimulation by CpG oligodeoxynucleotides
7811856E	Ontogeny and tissue-specific expression of innate immune related genes in rohu, Labeo rohita (Hamilton)
85651660	스마트카드 기반 Tsai et al. 인증기법의 안전성 분석과 새로운 보안기법 연구
78F3759C	Oxidative stress responses in different organs of carp ( Cyprinus carpio ) with exposure to ZnO nanoparticles
81744658	Towards a Formal Verification of an Authentication Protocol Using Non-Monotonic Logic
7D57DCA6	Assessing impacts of introduced aquaculture species on native fish communities: Nile tilapia and major carps in SE Asian freshwaters
7522C27F	Management of alien fishes in the Murray‐Darling Basin
7E5C0C36	Cryptanalysis and improvement on remote user mutual authentication scheme with smart cards
75AC5F8F	An RSA-Based Leakage-Resilient Authenticated Key Exchange Protocol Secure against Replacement Attacks, and Its Extensions
7A0AD149	Detection of complement receptors on head kidney phagocytes of the common carp Cyprinus carpio
77A2BAA7	Molecular characterization of cathepsin L from hepatopancreas of the carp Cyprinus carpio
79E05DF3	In vivo exposure of carp to graded concentrations of bisphenol A
7EC4E1EC	Analysis of a Password Strengthening Technique and Its Practical Use
7F3966F5	Improved efficient remote user authentication scheme using smart cards
78000552	Cathepsins B, H and L in Peritoneal Macrophages and Hepatopancreas of Carp Cyprinus carpio
7AD19900	Purification, characterization, and molecular cloning of carp hyosophorin
7C242387	Genetic resistance of carp (Cyprinus carpio L.) to Trypanoplasma borreli: influence of transferrin polymorphisms.
7D57750D	Usability of Fermacto prebiotic in feeds for common carp [Cyprinus carpio L.] fry
7AB1F51F	An Enhanced Remote User Authentication Scheme
78A6BE1B	Oxidative burst and nitric oxide responses in carp macrophages induced by zymosan, MacroGard ® and selective dectin-1 agonists suggest recognition by multiple pattern recognition receptors
78FA34C1	A secure user authentication scheme using hash functions
7D2EA8E8	An efficient two-factor user authentication framework for wireless sensor networks
7C02F8F7	Voltage dependency of light-evoked on-off transient amacrine cell responses in carp retina
7D744A67	Password management strategies for online accounts
7801C437	Seasonal Adaptation Modulates the Expression of the Protein Kinase CK2 β Subunit Gene in the Carp
7967AB73	Improvement of the Peyravian-Jeffries's user authentication protocol and password change protocol
5BFEB4E8	Password-Only Authenticated Key Exchange Between Two Agents in the Four-Party Setting
219D53F2	Guessing human-chosen secrets
756DF57B	Hematological Effects of High Dose of Cortisol on the Carp ( Cyprinus carpio L.): Cortisol Effect on the Carp Blood
7DEAB758	An Improved Dynamic User Authentication Scheme for Wireless Sensor Networks
6104AA0D	Exploiting predictability in click-based graphical passwords
7C97BB1D	Structural Differences in the Crossbridge Head of Temperature‐Associated Myosin Subfragment‐1 Isoforms from Carp Fast Skeletal Muscle
76D930D0	The influence of dietary β-glucan, PAMP exposure and Aeromonas salmonicida on apoptosis modulation in common carp ( Cyprinus carpio )
77844ACC	Comparison of characteristics of actomyosin from white, pink, and red muscle fiber types in cultured carp
7B6C83E4	Response of carp ( Cyprinus carpio ) horizontal cells to heterochromatic flicker photometry
80F6EE6D	Advanced smart card based password authentication protocol
7D016C53	Pass-thoughts: authenticating with our minds
7E848C50	Video-passwords: advertising while authenticating
7DEC83DD	Amino acid composition of edible parts of three‐year‐old experimental scaly crossbreds of common carp (Cyprinus carpio, Linnaeus 1758)
81213C72	Password Authentication Using Hopfield Neural Networks
7D4E70A3	An Authentication and Key Agreement Scheme with Key Confirmation and Privacy-preservation for Multi-server Environments
85EC7C4B	Threshold Password-based Authenticated Key Exchange using Matrix
7DF369DB	Cryptanalysis and Improvement of an "Improved Remote Authentication Scheme with Smart Card'
7DC02752	Improving text passwords through persuasion
77359713	Immunohistochemical distribution of neuropeptide Y in the mesencephalon and rhombencephalon of carp, Cyprinus carpio L. (Cyprinidae: Teleostei)
78C6E99D	Dual component in receptive field centre of bipolar cells in carp retina
7774B2AD	The in vitro effects of CpG oligodeoxynucleotides on the expression of cytokine genes in the common carp ( Cyprinus carpio L.) head kidney cells
7FB7992D	Microbiological studies of carp [Cyprinus carpio L.] fingerlings wintered in cooling waters
812F6E3C	Left–right asymmetric ventricular expression of CARP in the piglet heart: regional response to experimental heart failure
791FA507	A Secure and Robust Password-Based Remote User Authentication Scheme Using Smart Cards for the Integrated EPR Information System
76162C77	An improved biometric–based remote user authentication scheme for connected healthcare
80B9ABFC	One-Time Password Access to Any Server without Changing the Server
75300573	Connections of the auditory midbrain in a teleost fish, Cyprinus carpio
7677370F	Determining diel variation in fish assemblages downstream of three weirs in a regulated lowland river
77C25DD1	Password policy simulation and analysis
7C02017B	The effects of cooking on residues of malachite green and leucomalachite green in carp muscles
5952F0DF	Spy-resistant keyboard: more secure password entry on public touch screen displays
77B981F3	Ca 2+ -dependency of spinule plasticity at dendrites of retinal horizontal cells and its possible implication for the functional role of spinules
7BD31897	Computer security: the long road ahead
796761AA	A Secure Dynamic Identity based Single Sign-On Authentication Protocol
441A92E1	A role for melatonin in maintaining the pro- and anti-inflammatory balance by influencing leukocyte migration and apoptosis in carp
804ABD10	A Secure YS-Like User Authentication Scheme
5E1D221E	Administration of yeast glucan enhances survival and some non-specific and specific immune parameters in carp ( Cyprinus carpio ) infected with Aeromonas hydrophila
7F119DE6	Off-line password-guessing attack to Peyravian-Jeffries's remote user authentication protocol
77B27329	A security enhanced mutual authentication scheme based on nonce and smart cards
7C0FBB11	An Improved and Effective Secure Password-Based Authentication and Key Agreement Scheme Using Smart Cards for the Telecare Medicine Information System
771F2449	Immunostimulant effects of dietary Spirulina platensis on carp, Cyprinus carpio
7F2D9C9D	A comparative study of secret code variants in terms of keystroke dynamics
79DAAF34	A remote user authentication scheme without using smart cards
77A0B698	An optical immunosensor for rapid vitellogenin detection in plasma from carp ( Cyprinus carpio )
7CD6A439	Modified absorption of sGNRH-a following rectal and oral delivery to common carp, Cyprinus carpio L.
7B5410AD	Electrophysiological responses of three chemosensory systems in the carp to pesticides
77089E92	A bilateral remote user authentication scheme that preserves user anonymity
775F1DD2	Clonal growth of carp ( Cyprinus carpio ) T cells in vitro
78C80711	Effect of silver carp (Hypophthalmichthys molitrix) muscle hydrolysates and fish skin hydrolysates on the quality of common carp (Cyprinus carpio) during 4 °C storage
7B086DAC	Improving passwords: influence of emotions on security behaviour
80A8BBEF	Divergent selection for antibody production in common carp (Cyprinus carpio L.) using gynogenesis
784BD671	Competitive Memetic Algorithms for Arc Routing Problems
76888FBE	Efficient Remote Mutual Authentication and Key Agreement with perfect forward secrecy
8179E851	Improvements of Juang 's Password-Authenticated Key Agreement Scheme Using Smart Cards
10F7A436	Report: Authentication Diary Study
7C911B22	Password Meters and Generators on the Web: From Large-Scale Empirical Study to Getting It Right
7D5BC382	High-density spore production of a B. cereus aquaculture biological agent by nutrient supplementation
7C9EEEAC	Morphological and physiological studies of rod‐driven horizontal cells with special reference to the question of whether they have axons and axon terminals
77758D55	Population study of horizontal cells in live carp retinas using microinjections of horseradish peroxidase
7BE7BC2C	A Scheme for Secure Storage and Retrieval of (ID, Password) Pairs Using Smart Cards as Secure and Portable Storages
7832F35F	Cognitive passwords: the key to easy access control
75933E2B	Effect of oral immunization with liposome‐entrapped bacterial antigen on protection against experimental aeromonas hydrophila
79E54FAE	An improved bilinear pairing based remote user authentication scheme
5CAE3C14	Improvement on Peyravian-Zunic's Password Authentication Schemes
7A7A5159	Coupling between horizontal cells in the carp retina revealed by diffusion of lucifer yellow
75E5844D	A PASSWORD AUTHENTICATION SCHEME BASED ON DISCRETE LOGARITHMS
80496F53	The coming PIN code epidemic: A survey study of memory of numeric security codes
765A02F2	Identification of gene expression modifications in myostatin-stimulated myoblasts
75DF9B58	Adjuvant and immunostimulatory effects of β-glucan administration in combination with lipopolysaccharide enhances survival and some immune parameters in carp challenged with Aeromonas hydrophila
78E987D8	On the Effectiveness of Pattern Lock Strength Meters: Measuring the Strength of Real World Pattern Locks
7BD9142E	Accessory molecules for Toll-like receptors in Teleost fish. Identification of TLR4 interactor with leucine-rich repeats (TRIL)
73C56AAB	Preventing the revealing of online passwords to inappropriate websites with logininspector
77AD65CC	Security enhancement for a three-party encrypted key exchange protocol against undetectable on-line password guessing attacks
7BAA2CB0	Growth and meat quality relations in carp
7A407108	Security analysis and improvements of two-factor mutual authentication with key agreement in wireless sensor networks.
78C01064	Weaknesses of a Dynamic ID Based Remote User Authentication Protocol for Multi-Server Environment
7D9E6EC1	Password systems: Design and implementation
7FFC2135	Security analysis and improvement of a mutual authentication scheme under trusted computing
7B780871	Plan recognition scheme using multi-factors authentication for smart card online system
7724CCE9	Geometric based remote password authentication using biometrics
8005F02C	A reliable password-based user authentication scheme for Web-based Human Genome Database System
7BE124B0	Head kidney neutrophils of carp ( Cyprinus carpio L.) are functionally modulated by the haemoflagellate Trypanoplasma borreli
7996732F	Influence of Altered Photoperiods on Serum Melatonin and Its Receptors (MT1 and MT2) in the Brain, Retina, and Ovary in Carp Catla catla
7AB3748D	The effect of high dietary zinc on trypsin activity in carp (Cyprinus carpio)
7702DB62	Activation of carp leukocytes by a galactose-binding protein from Aphanomyces piscicida
77668D48	Structural and expression analyses of two vitellogenin genes in the carp, Cyprinus carpio
7E6F6F27	A Simple and Secure Authentication and Key Establishment Protocol
85DA88F0	Refereed paper: Authenticating passwords over an insecure channel
7F6611FC	Few notes towards making honeyword system more secure and usable
7E983A0C	Security Analysis and Enhancement of Tsai et al.'s Smart-Card Based Authentication Scheme
7D600B10	Cross-Domain Password-Based Authenticated Key Exchange Revisited
80EB54A5	Character Strings, Memory and Passwords: What a Recall Study Can Tell Us
76A077F2	Purification and Characterization of Cathepsin B from Hepatopancreas of Carp Cyprinus carpio
7C5E48DE	Fast dictionary attacks on passwords using time-space tradeoff
7DA97544	Cardiac ankyrin repeat protein gene (ANKRD1) mutations in hypertrophic cardiomyopathy.
810F5298	Effects of farm and commercial inputs on carp polyculture performance: participatory trial in an experimental field station
811525BD	Multi-grid background Pass-Go
5AD8BD1A	A secured authentication protocol which resist password reuse attack
7BD0617B	Different capacities of carp leukocytes to encounter nitric oxide-mediated stress: a role for the intracellular reduced glutathione pool
7C8220ED	Immune responses and expression profiles of some immune-related genes in Indian major carp, Labeo rohita to Edwardsiella tarda infection
7D08A852	A stealth approach to usable security: helping IT security managers to identify workable security solutions
76507AC9	Hydroxylated PAHs alter the synthesis of androgens and estrogens in subcellular fractions of carp gonads
805F93E7	Improving information security management: An analysis of ID–password usage and a new login vulnerability measure
7EB99806	Improvement of smart card based password authentication scheme for multiserver environments
75831E0D	Improvement of Hölbl et al. user authentication protocol and password change protocol
5915D94C	Design of an Automatic Password Protection Mechanism for Digital Documents
8129E6EF	Protecting poorly chosen secrets from guessing attacks
799AC58F	Monthly variation in sperm motility in common carp assessed using computer‐assisted sperm analysis (CASA)
7C75D55B	Comments on the S/KEY user authentication scheme
80938687	Monte Carlo Strength Evaluation: Fast and Reliable Password Checking
79F6BC4C	A simple password authentication using a polynomial
79A8ADD2	A secure remote user mutual authentication scheme using smart cards
76E1B8C2	Security Analysis and Improvements to the PsychoPass Method
79367EB6	Expression of MhcCyca class i and class ii molecules in the early life history of the common carp (Cyprinus carpio L.)
7C5F4DDD	Enhanced password authentication through fuzzy logic
78D0CED0	Functional differences between two DCLK splice variants
0ADCBF1F	A state-of-the-art password strength analysis demonstrator
772F7289	Secure remote user access over insecure networks
7F0745BF	Cryptographic key generation from voice
5CE6403D	Token-based authenticated key establishment protocols for three-party communication
795F12BD	A new protocol to counter online dictionary attacks
7A9DBFC1	Bioavailability of waterborne strontium to the common carp, Cyprinus carpio, in complexing environments.
7B04A913	Security enhancement for Optimal Strong-Password Authentication protocol
79FFD8BE	Usable Security: History, Themes, and Challenges
7FCA2F58	ECC-based anti-phishing protocol for cloud computing services
76B5BA33	Provably secure threshold password-authenticated key exchange
222C3731	Secure User Authentication and User Anonymity Scheme based on Quadratic Residues for the Integrated EPRIS
76771A1D	Encountering stronger password requirements: user attitudes and behaviors
804300C8	Chemical composition of edible parts of three-year-old experimental scaly crossbreds of common carp ( Cyprinus carpio , Linnaeus 1758)
7F89B64E	In vivo kinetics of cytokine expression during peritonitis in carp: Evidence for innate and alternative macrophage polarization
777D15CE	Comparison of 5'-inosine monophosphate and p-nitrophenyl phosphate degrading activities among red, pink, and white muscle fibers of cultured carp
