3316C1E9	Geoffrey Mazeroff A
75D02B22	Balance sheet outlier detection using a graph similarity algorithm
5864683C	Phase 2 of the Department of Health's CASSH Fund announced
6012316D	Chemical Abundances and the Hierarchical Clustering
7812E8D9	Dark Matter Clumps in the Galaxy
598120F1	Comparison of Hierarchical Cluster Analysis Methods Applied to Image Segmentation by Watershed Merging
7DA1E865	A Novel Clustering-Based Feature Extraction Method for an Automatic Facial Expression Analysis System
097E9657	Stability of a hierarchical clustering pattern in the distribution of galaxies
7EB40CE7	Panoramic Views of Cluster-Scale Assemblies Explored by Subaru Wide-Field Imaging
7749A10E	A new approach for archaeological ceramics analysis using total reflection X-ray fluorescence spectrometry
837874F6	Similarity Measures for Real World Data Mining
75175BB0	A Comparative Analysis on Market Structure-Market Performance Model by Growth Stages in Global Mobile Market
0141DC26	Hierarchical clustering for data-centric sensor networks
78084BCA	A Generalized Model for Metabolomic Analysis: Application to Dose and Time Dependent Toxicity
805F61F2	A support vector hierarchical method for multi-class classification and rejection
78F6BF6C	Cluster-based active learning for compact image classification
00FB77B3	Identifying Suspicious Bidders Utilizing Hierarchical Clustering and Decision Trees
7BF2017F	A methodology for cluster analysis of citation histories
576D1EF8	Introduction to Information Retrieval: Hierarchical clustering
772FC7F3	Fine Structure of Dark Matter Halos and its Effect on Terrestrial Detection Experiments
7E987FC7	Scalable Algorithms for Complete Exchange on Multi-Cluster Networks
7D05FCCA	Dynamical friction and the evolution of satellites in virialized halos: the theory of linear response
69DBC544	Hierarchical Clustering of Female Urinary Incontinence - Data Having Noise and Outliers
622B39FD	Climatology of Mexico: a Description Based on Clustering Analysis
7CD0F8A0	Examination of the regional distribution of minor and trace elements in normal human brain by PIXE and chemometric techniques
79E8208F	A Web-based CBR knowledge management system for PC troubleshooting
7DEF7A38	Revisiting rendezvous protocols in the context of RDMA-capable host channel adapters and many-core processors
7E934E10	Combined covariance model for non-coding RNA gene finding
5A87EAC3	A Region Thesaurus Approach for High-Level Concept Detection in the Natural Disaster Domain
76198B9B	PCB dry and wet weather concentration and load comparisons in Houston-area urban channels
75760F65	Text Clustering Based on the User Search Intention
7FE9453A	A LEPS approach to the predictability of intense rain storms in the Central Mediterranean basin
8140CD17	Automatic video object segmentation using volume growing and hierarchical clustering
7D363243	Galaxy Formation by Galactic Magnetic Fields
76D7176F	MULTIVARIATE APPROACH TO GROUPING SOILS IN SMALL FIELDS : II. Soil Grouping Technique by Cluster Analysis
7E2016EB	Extraction of Emotional Content from Music Data
7B35BF88	Exploratory analysis of multiple omics datasets using the adjusted RV coefficient.
7AABC399	Ranking birdstrike risk: A case study at Huanghua International Airport, Changsha, China
7A7CF5DA	Diurnal changes in vertical distribution and morphology of a natural population of Planktothrix agardhii (Gom.) Anagnostidis et Komárek (Cyanobacteria)
785BA392	Spatial-temporal characteristics of temperature variation in China
7897A66A	A general framework for creating large-scale maps of science in two or three dimensions: The SciViz system
79CC1B71	Immediate neuroendocrine signaling after partial hepatectomy through acute portal hyperpressure and cholestasis
7B022CF3	Pt and Pd concentrations and source in urban roadside soils from Xuzhou, China
13EC6ABF	Cluster construction method based on global optimum cluster determination with the newly defined moving variance
79AB26BE	Hierarchical back-face computation
76AD4A05	Iterative Denoising using Jensen-Renyi Divergences with an Application to Unsupervised Document Categorization
14A3A2B5	Disrupting Dark Networks: Positions, Roles, and Blockmodels
754CC80E	Robust parallel clustering algorithm for image segmentation
76DE13EE	Invasive river plants from Portuguese floodplains: what can species attributes tell us?
79D5487B	Reversed-phase liquid chromatography testing
039A222D	Δομές αποθήκευσης, επεξεργασία επερωτήσεων και υλοποίηση συστημάτων άμεσης αναλυτικής επεξεργασίας δεδομένων
7F5CBB11	Performance evaluation of a community structure finding algorithm using modularity and C-rand measures
7D6D2006	Soil and plant factors driving the community of soil‐borne microorganisms across chronosequences of secondary succession of chalk grasslands with a neutral pH
0AC50F57	Tree-Based Methods for Fuzzy Rule Extraction
79006A65	The Role of Clustering of Sub-Clumps in Bright Elliptical Galaxy Formation from a Low-Spin Seed Galaxy
5D65B56E	Tracking of consumer behaviour in e-commerce
7808BF8B	Species boundaries within the Acropora humilis species group (Cnidaria; Scleractinia): a morphological and molecular interpretation of evolution
7D851703	Partially supervised classification of optical high spatial resolution images in urban environment using spectral and textural information
0BA7255A	Galaxy Clusters with Rounded Central Density Profiles
620EC0F3	Correlations of large scale peculiar velocity field and the potential flow analysis.
591E7182	The Tourism Efficient Frontier
78C6F10E	Metabolomic analysis of the potato tuber life cycle
03CAD5E4	Galaxy formation via hierarchical clustering and dissipation The structure of disk systems
7705A903	An Efficient Markov Chain Monte Carlo Method for Mixture Models by Neighborhood Pruning
7B0F37EB	A General Approach for Incremental Approximation and Hierarchical Clustering
7C7219B6	Drinking-related differences in the memory organization of alcohol expectancies
79BC0D12	Identification of petroleum hydrocarbons using a reduced number of PAHs selected by Procrustes rotation
807D6ACB	On system identification via fuzzy clustering for fuzzy modeling
5FA89CF3	A static video summarization method based on hierarchical clustering
709733AD	A Distributed Hierarchical Clustering System for Web Mining
5C92F6D4	PADMA: PArallel Data Mining Agents for scalable text classification
7C94C4F3	Sixty-Two-Year-Old Woman With Fever and Abdominal Pain: What Antibiotics Do I Use?
7C6CC731	Intensity-based hierarchical clustering in CT-scans: application to interactive segmentation in cardiology
5BB10E21	Information search behavior of Chinese leisure travelers
7E8D1597	Gene Expression Patterns and Profile Changes Pre- and Post-Erlotinib Treatment in Patients with Metastatic Breast Cancer
7A9C3FF9	Exploring new trends of university libraries by SPSS cluster analysis method — Take Wuhan University of Technology as an example
7C21ECED	An empirical evaluation of a psychoanalytic theory of mothering orientation: implications for the antenatal prediction of postnatal depression
7F6E956A	An Improved Multicast Routing Protocol Based on Fuzzy Clustering
7910B034	Preliminary chemometric study of minerals and trace elements in Spanish infant formulae
7E518707	Features of the implementation of software package for circuits hierarchical clustering
7747BA7A	Destruction of small-scale dark matter clumps in the hierarchical structures and galaxies
5C9A4930	SamCluster: An Integrated Scheme for Automatic Discovery of Sample Classes Using Gene Expression Profile
7EAF7C48	Software reengineering based on concept lattices
0F3F8A21	Evolution of faint galaxy clustering. The 2-point angular correlation function of 20,000 galaxies to V<23.5 and I<22.5
7EAB5A07	Parallelization of the K-means fast learning artificial neural network
7EBC2934	Recurrent otitis media with effusion in preterm infants with histologic chorioamnionitis--a 3 years follow-up study.
169A3BBB	A NOVEL MULTIPLE SLICES JOINT METHOD FOR OBJECT TRACKING
75CA9DCC	A methodology for domain ontology construction in information science
7C3F31B0	Environmental assessment of natural radionuclides and heavy metals in waters discharged from a lignite-fired power plant
7C8B074F	Spatial and genotypic clustering of Salmonella over time in a swine production unit
76AAE3D9	Applications of clustering algorithms and self organizing maps as data mining and business intelligence tools on real world data sets
600A9781	Formation of Galaxies in a Hierarchical Clustering Model
091B84AD	Surface Reactivity of Quasicrystalline Materials
75699622	Efficient hierarchical algorithm for mixed mode placement in three dimensional integrated circuit chip designs
775F42FE	Gene expression profiling in glioblastoma and immunohistochemical evaluation of IGFBP-2 and CDC20
7AE81414	A survey on clustering in data mining
642746AF	Hierarchical clustering and a detailed description of the merger history tree
7899F5BE	Radiation pressure in intergalactic clouds
7EF32E17	Topic Oriented Semi-supervised Document Clustering
04F77024	Spectroscopic Age and Metallicity of Nearby elliptical Galaxies
753AD7E4	Detection of compound structures using clustering of statistical and structural features
779474A6	Behavioural therapy for smoking cessation: the effectiveness of different intervention types for disadvantaged and affluent smokers.
13517438	Precise Correlation-Based Phase Repicking of Pinatubo Pre-Eruption Seismicity Illuminates Families of Repeating Earthquakes and a Refined Image of Precursory Hypocenter Locations.
75AA7E49	Spatial and temporal variation of benthic marine algae at the Cabo Frio upwelling region, Rio de Janeiro, Brazil
78EDB669	Bioassay responses to sediment elutriates and multivariate data analysis for hazard assessment of sediment-bound chemicals
7617DB65	New Alzheimer Amyloid β Responsive Genes Identified in Human Neuroblastoma Cells by Hierarchical Clustering
5DEF7E85	Broad-ranging natural metabotype variation drives physiological plasticity in healthy control inbred
06E566AC	Towards High-Dimensional Clustering
7BCE4113	Applying NavOptim to minimise navigational effort
7A0FBE31	Foraminiferal record and environmental changes during the deposition of the Early¿Middle Pleistocene sapropels in southern Italy
5D669C82	VICO: Visualizing Connected Object Orderings
5BE0214C	End-to-End Linkage (EEL) Clustering Algorithm: A Study on the Distribution of Meissner Corpuscles in the Skin
7CA8D737	Modeling the interaction of phonemic intelligibility and lexical structure in audiovisual word recognition
096FA48A	Protein expression profile of primary human squamous cell lung carcinomas indicative of the incidence of metastases
7608BA51	DNA clustering and genome complexity
7ACF4A1D	Antibacterial Activity of Flavonoids Against Methicillin-resistant Staphylococcus aureus strains
7F72B4CA	A Closer Look on Protein Unfolding Simulations through Hierarchical Clustering
047CAAFE	Toward a stochastic speech act model of email behavior
7C37C1A2	FOURIER TRANSFORM INFRARED SPECTROSCOPY OF MICROALGAE AS A NOVEL TOOL FOR BIODIVERSITY STUDIES, SPECIES IDENTIFICATION, AND THE ASSESSMENT OF WATER QUALITY1
7C591971	Mass Spectrometric Characterization of Protein Structure Details Refines the Proteome Signature for Invasive Ductal Breast Carcinoma
7C46E200	Survey on text clustering algorithm -Research present situation of text clustering algorithm
83DB7F45	ENSEMBLE FEATURE SELECTION STRATEGY BASED ON HIERARCHICAL CLUSTERING IN ELECTRONIC NOSE
8154D986	Genome-wide identification of novel expression signatures reveal distinct patterns and prevalence of binding motifs for p53, nuclear factor-κB and other signal transcription factors in head and neck squamous cell carcinoma
786E047C	Genome wide analysis and clinical correlation of chromosomal and transcriptional mutations in cancers of the biliary tract
6D558433	Galaxies: Lighthouses in the Shoals of Dark Halos
7AEEBBBE	The Determination of Stem Cell Fate by 3D Scaffold Structures through the Control of Cell Shape
169A5B41	悪性リンパ腫のマイクロアレイ解析と予後予測 (特集 悪性リンパ腫とゲノム)
7B519420	Chiral separation of some 4a‐methyl‐1,2,3,4,4a,9a‐hexahydro‐fluoren‐9‐one derivatives as a probe for difference in solvation by 2‐propanol of carbamate moiety in chiralcel OD‐H, chiralpak AD, and chiralpak AS chiral stationary phases
7F3FC351	Layout conscious approach and bus architecture synthesis for hardware/software codesign of systems on chip optimized for speed
77B9EB7E	Information co-modelling of a network of research institutions
76BB4122	A distributed hierarchical clustering algorithm for large-scale dynamic networks
0354C016	Suggestions for reformation in sheep farms based on production cost
7D42EAB9	Cluster analysis for identifying sub-groups and selecting potential discriminatory variables in human encephalitis
7788DACF	An Exactly Soluble Hierarchical Clustering Model: Inverse Cascades, Self-Similarity, and Scaling
79E6AF27	Hierarchical clustering of monoclonal antibody reactivity patterns in nonhuman species
0C12275F	Local Partition Hierarchies for General Graphs
8130BD0B	Workload Characterization of Autonomic DBMSs Using Statistical and Data Mining Techniques
7866B0EC	Mamdani-Type Fuzzy Modelling via Hierarchical Clustering and Multi-Objective Particle Swarm Optimisation (FM-HCPSO)
8045E555	Combining Fuzzy Clustering with ANN Classifier for Categorical Data
0641333D	Application of clustering algorithm in time-series index construction
802F919B	Detection of Gaseous Plumes in IR Hyperspectral Images—Performance Analysis
5A87D50A	Understanding relationships among travel expenditure, activities, and seasons: An approach to efficient travel segment mixes using financial portfolio theory
585F71DC	Distance in Hierarchical Cluster Analysis Using Commuting Trip Origin-Destination Matrix among Regions
797BE252	A Comparative Study of Bottom-Up and Top-Down Approaches to Speaker Diarization
79A69FD8	Effectiveness of Heuristic Based Approach on the Performance of Indexing and Clustering of High Dimensional Data
7D4CD976	Taiwanese young adults’ intergenerational communication schemas
78B859FB	Job scheduling and data replication on data grids
0B05C99E	Software Systems Design Improvement Using Hierarchical Clustering
5B1AB72A	Improved depth first algorithm and its application in information retrieval
75610D58	On the projection similarity in line grouping
77C81528	Definition of fleet components in the Spanish artisanal fishery of the Gulf of Cádiz (SW Spain ICES division IXa)
76E24A08	Three-point correlation functions and the hierarchical clustering ansatz in low-density cold dark matter universes
75305C55	The Effects of the Peak-Peak Correlation on the Peak Model of Hierarchical Clustering
7C26AF28	A COMPARISON OF TWO NEW TECHNIQUES FOR CONCEPTUAL CLUSTERING
7D21E67D	Acute Overactive Endocannabinoid Signaling Induces Glucose Intolerance, Hepatic Steatosis, and Novel Cannabinoid Receptor 1 Responsive Genes
0471B50D	Numerical Taxonomy of Yersinia enterocozitica and Yersinia enterocoZztica-Like Bacteria
5FDB62E4	Automatic Construction of Regression Class Tree for MLLR Via Model-Based Hierarchical Clustering
6232C724	Cooling limits on galaxy formation - Gas dynamical simulations incorporating a background UV field and metal enrichment
78B25CD1	Extended and robust protein sequence annotation over conservative non hierarchical clusters. The Bologna Annotation Resource v 2.0
7803AED2	Algorithm 13: Strong Component Hierarchical Clustering
7FC6C775	Unsupervised hierarchical fuzzy clustering methods in forecasting medical events from biomedical signals
78644543	Product robust design based on evolutionary algorithm
7CB04396	High-Level Concept Detection Based on Mid-Level Semantic Information and Contextual Adaptation
2F15EEE2	Patterns comportementaux sur la page d’accueil et performances de navigation sur les sites web
7C223667	The Case Retrieval Strategy Based on Hierarchical Clustering
8256C342	Botnet Detection using NetFlow and Clustering
06344FBD	Evoluci�n de la tasa de formaci�n estelar en galaxias
75A5D00D	ICP-MS and ICP-OES Studies of Gold from a Late Sarmatian Burial
80802642	Exploiting hierarchical clustering for finding bounded diameter minimum spanning trees on euclidean instances
80E79846	Gaussian decomposition of HI surveys. V. Search for very cold clouds
58BA2A0E	Exploratory Social Network Analysis with Pajek: Blockmodels
7791B955	A graph and hierarchical clustering based approach for population structure inference
591F37C0	Unsupervised Machine Learning to Support Functional Characterization of Genes: Emphasis on Cluster Description and Class Discovery
7D9D493C	Varietal and processing effects on the volatile profile of Australian olive oils
610D08F8	The Central Structure of Early Type Galaxies
787E06BB	Extracting the hidden features in saline osmotic tolerance in Saccharomyces cerevisiae from DNA microarray data using the self-organizing map: biosynthesis of amino acids
7AF7EB30	District-level variations in the configuration of service provision in England: A graphical approach to classification
771427C3	Hierarchical, clustered protein interactions with U4/U6 snRNA: a biochemical role for U4/U6 proteins.
77B6D559	Genome-wide expression patterns associated with oncogenesis and sarcomatous transdifferentation of cholangiocarcinoma.
811140DC	Gossip-based topology inference for efficient overlay mapping on data centers
77BB8B75	Computational adjustable autonomy for NASA Personal Satellite Assistants
5FA146EA	Clustering anaslysis of customer relationship in securities trade [anaslysis read analysis]
7E7ACDC7	Clustering variables by classical approaches and neural network Boolean factor analysis
7796C259	Clustering Belief Functions Using Agglomerative Algorithm
5A73713A	A no-word-segmentation hierarchical clustering approach to Chinese web search results
58351543	TreeSOM : Cluster analysis in the self-organizing map
77535500	Biogeographic provinces in the Atlantic deep sea determined from cumacean distribution patterns
6A794208	The assembly of galaxies in a hierarchically clustering universe
7014E847	Joint Formation of QSOs and Spheroids
7B63045A	Use of linear discriminant analysis applied to vibrational spectroscopy data to characterize commercial varnishes employed for art purposes
77C8EC8B	Gene Expression Profiling Reveals New Potential Players of Gonad Differentiation in the Chicken Embryo
76CDF496	Ear localization using hierarchical clustering
773588B0	Student teachers' knowledge of literacy practices in school
7A95B1B0	Structural and floristic patterns in tropical swamp forests: A case study from the Pterocarpus officinalis (Jacq.) forest in Guadeloupe, French West Indies
79DC34FA	Evaluation of Urban Groundwater Contamination from Sewage Network in Kuwait City
7CE831AB	SSCP intron marker system is a convenient tool for clonal fingerprinting of poplar (Populus) cultivars of different species and interspecific hybrids
75A0C77A	Middle and Upper Jurassic bivalve associations from the Iberian Range (Spain)
7826B376	Gamma-Ray Background from Neutralino Annihilation in the First Cosmological Objects
5CBADD2E	Logistic Task of Fuel Supply for the Regional Distributed Heat Supply System
76832E5B	Analysis of similarity measure in the longitudinal study using improved longest common subsequence method for lung cancer
613CC5D3	Hierarchical clustering structures in turbulent channel flow at Re_tau = 1160
7C76AE1B	The novel threshold based hierarchical clustering method for Wireless Sensor Networks
788F518D	Finding Community Structure in Complex Networks Using Parallel Approach
7C04FFC9	Analysis of Psoralea corylifolia L. Fruits in Different Regions
7D0AE267	An energy-aware coverage control protocol for wireless sensor networks
807C6130	Gene Expression Analysis of Esophageal Squamous Cell Carcinoma Reveals Consistent Molecular Profiles Related to a Family History of Upper Gastrointestinal Cancer
7C88BEE9	Stepwise prediction and statistical screening： B-cell epitopes on neuraminidase of human avian H5N1 virus
81210395	Cell surface hydrophobicity is conveyed by S-layer proteins - A study in recombinant lactobacilli
69D3486D	The use of process clustering in distributed-system event displays
62D32222	The angular momentum of the gas in galactic halos: implications for the formation of spiral galaxies in CDM models.
6C7E3AE9	Consensus Decision Trees: Using Consensus Hierarchical Clustering for Data Relabelling and Reduction
062AD6AD	Local galaxy ages and metallicities (Terlevich+, 2002)
0DCEF22B	Beluga whale, Delphinapterus leucas, vocalizations and their relation to behaviour in the Churchill River, Manitoba, Canada
7DF8453C	Circulating cytokines in Norwegian patients with psoriatic arthritis determined by a multiplex cytokine array system
7F3F664C	Genome Sequencing and Comparative Analysis of Klebsiella pneumoniae NTUH-K2044, a Strain Causing Liver Abscess and Meningitis
6475DE3D	On the strengths of the self-updating process clustering algorithm
7C2B0674	Sea-surface image super-resolution based on sparse representation
5C4671B4	MINETRAC: Mining flows for unsupervised analysis & semi-supervised classification
7F4B5FEB	Parameter optimization of fish robot’s smooth gaiting using Hill Climbing - Genetic Algorithm
7D7FF9E5	The photoionization effect of the ultraviolet background on the colour–magnitude relation of elliptical galaxies
7F4E5A2C	Enhancing the Hierarchical Clustering Mechanism of Storing Resources’ Security Policies in a Grid Authorization System
1102A2C7	Unveiling the physical properties of Lyman alpha emitters - constructing a theoretical model in the hierarchically clustering galaxy formation
7C41F885	Implementation of codebook generation algorithm on a campus PC Grid
7790CFBF	Hierarchical clustering of 54 races and strains of the mulberry silkworm, Bombyx mori L: Significance of biochemical parameters
7EE2B4B1	Optimal cluster selection based on Fisher class separability measure
5BF0F290	New Insights into Testicular Germ Cell Tumorigenesis from Gene Expression Profiling
77B3B2F1	Host selection and niche differentiation in sucking lice (Insecta: Anoplura) among small mammals in southwestern China
77BBDBA8	Microfluidics-based capture of human neutrophils for expression analysis in blood and bronchoalveolar lavage.
05E308AF	El paradigma jerarquico de formacion de estructuras
5A9E1820	MODELO PARA APLICAÇÃO DE ANÁLISE MULTIVARIADA ATRAVÉS DE TÉCNICAS ESTATÍSTICAS PCA E HCA SOBRE QUESTIONÁRIO DE AVALIAÇÃO DA SATISFAÇÃO DE CLIENTES: ESTUDO DE CASO EM UMA EMPRESA METALÚRGICA DE EMBALAGENS METÁLICAS
7ADB6C92	The Isolation Approach to Hierarchical Clustering
85AEF419	An Improved Energy Efficient Chain Based Routing in Wireless Sensor Networks
5A5A78A5	Hierarchical Cluster for Scalable Web Servers
7BBA8FF1	Performance evaluation of data delivery approaches for wireless sensor networks
77B6A285	Interpersonal Meaning of Adjectives Appearing in Psychiatric Complaints.
636C26FB	Large Scale Coherent Structures in the Universe
8162D2D7	A socio‐economic assessment of cowpea diversity on the Ghanaian market: implications for breeding
58886B56	Unsupervised Learning for Hierarchical Clustering Using Statistical Information
76ADF1B0	On Modelling a Relativistic Hierarchical (Fractal) Cosmology by Tolman's Spacetime. I. Theory
7A525DEA	Gradient theoretic clustering: a theoretic model
8089A4C3	SPC: The Selective Prioritized Clustering Algorithm for MANETs
814CA77D	A hierarchical clustering strategy for very large fuzzy databases
814F84D7	A unifying approach for evaluating the condition of wetland plant communities and identifying related stressors.
798B110E	Sample Reduction for SVMs via Data Structure Analysis
75672155	Vitamin and mineral supplement users. Do they have healthy or unhealthy dietary behaviours?
7639A6AE	A Poly-Algorithm for Efficient Parallel Matrix Multiplication on Metacomputing Platforms
7BA9295A	Human Sclera Maintains Common Characteristics with Cartilage throughout Evolution
7D71D70A	Biological meaning, statistical significance, and classification of local spatial similarities in nonhomologous proteins
622AD4E8	Multifractal Behavior in Hierarchical Structure Formation
75796ADB	Hierarchical clustering with topology databases
7B6EB3D3	Resource management model and performance evaluation for satellite communications
63070632	Numerical Simulation of Hierarchical Clustering of Galaxies in an Expanding Universe
80CAF9C3	Performance evaluation of hierarchical clustering algorithms
7B6376F9	Hyperion and CBERS satellite image classification intercomparison for Cerrado and agricultural mapping
7C98E74E	Structure–Retention Relationship Study of 2,4-dioxotetrahydro-1,3-thiazole Derivatives
7D2497D8	Cross-Cultural Dimensions of Meaning in the Evaluation of Events in World History? Perceptions of Historical Calamities and Progress in Cross-Cultural Data From Thirty Societies
66D05BF2	Energy efficient dynamic multi-level hierarchical clustering technique for network discovery in wireless sensor networks
79182AFC	Trajectory Matching and Classification of Video Moving Objects
7C4AED7D	A classification of controlled interpersonal affect regulation strategies
7FC8978F	An effective and efficient hierarchical fuzzy rule based classifier
8028F07D	Categorizing questions according to a navigation list for a Web-based self-teaching system: AEGIS
046E01FA	A Density-based Hierarchical Clustering Algorithm for Highly Overlapped Distributions with Noisy Points
5BEA4540	Efficient bandwidth utilization and congestion control through network traffic analysis
7AE478A3	Robustness of gene expression profiling in glioma specimen samplings and derived cell lines
79EDDF2D	Hindering Phenomena in Group Supervision: Implications for Practice
7EFD5504	Improving Speaker Diarization by Cross EM Refinement
599871C3	The dynamical evolution of the Galaxy
7E1887A7	Analyzing Test Content Using Cluster Analysis and Multidimensional Scaling.
04EC941F	L�nderclubs mit �hnlichen Innovationssystemen
7A2A2E77	Harmonizing a chemometric procedure for the classification of illicit heroin using manufacturing impurities: preliminary investigation of heroin simulated links
5990CDED	The INSEAD–Wharton Alliance on Globalizing: Globalization and its many faces: the case of the health sector
71B7CE7E	Workload Modeling for Computer Systems Performance Evaluation: Hierarchical Generative Models
77305B4A	Land-use patterns in the classification of cities: the Israeli case
632D43F8	Hierarchical density-based clustering of shapes
61EDF900	Chemical Evolution of the Stellar and Gaseous Components of Galaxies in Hydrodynamical Cosmological Simulations
7D7E57E2	Research report Robustness of gene expression profiling in glioma specimen samplings and derived cell lines
77514500	cDNA microarray analysis of a glucocorticoid treated acute lymphoblastic leukemia cell line
807161CF	Volatility in the Geographical Structure of Short-Run US Interstate Migration
8018B576	Living with high putrescine: expression of ornithine and arginine biosynthetic pathway genes in high and low putrescine producing poplar cells
7CA54B86	An Analysis of Females Convicted of Sex Crimes in the State of Florida
79363DD8	Spatial patterns of the soil seed bank and extant vegetation across the dry Minjiang River valley in southwest China
79FA056A	Distribution patterns of Mimbres ceramics using INAA and multivariate statistical methods
764B1770	Gene Expression Dynamics during Germinal Center Transit in B Cells
77317946	Human Activity Helps Prey Win the Predator-Prey Space Race
7A90D7CD	Sequential speaker clustering based on second order statistical measures
761022D5	Quality evaluation of Evodia rutaecarpa (Juss.) Benth by high performance liquid chromatography with photodiode-array detection
7CC8C8E5	Patterns of metabolic activity in the treatment of schizophrenia
78CDCFD3	Estimates of site response based on spectral ratio between horizontal and vertical components of ambient vibrations in the source zone of 2001 Bhuj earthquake
7829C62E	Real-time monitoring for a process with multiple operating modes
7A0719A0	Drawing graphs with nonuniform nodes using potential fields
07D659EB	A method to identify significant clusters in gene expression data
8166E907	How Much Similar Are Terrorists Networks of Istanbul?
023EF0D2	Diversity of aquatic bacterial populations
7B4546E6	Retrieval and clustering for supporting business process adjustment and analysis
80BFB816	Applications of a new subspace clustering algorithm (COSA) in medical systems biology
803885EF	Cognitive semantic networks: Emotional verbs throw a tantrum but don't bite
7C099DB8	The ozone patterns in the aerological basin of Milan (Italy)
773D1D2F	The NGC 672 and 784 galaxy groups: evidence for galaxy formation and growth along a nearby dark matter filament
76EEAFB5	Efficient iterative refinement clustering for electricity customer classification
794E8CDE	Exploratory Analysis of Similarities Between Social Choice Rules
7F58594F	A fast two-class classifier for 2D data using complex-moment-preserving principle
796DB8D1	The Semantics of Space: Experiential and Linguistic Aspects of Selected English Spatial Terms.
7DB6F025	Investigating the Effect of Illumination and Viewpoint on Image Recognisability
03AE4711	Learning Hierarchically Clustered Shared Plan Abstractions as Problem Solving Knowledge with High Utility for Planning
7D328908	Road Boundary Detection in Challenging Scenarios
7EF96B47	Cluster analysis of the codon use frequency of MHC genes and genes coding for proteins with different fingerprints
786658D4	The identification of credit card encoders by hierarchical cluster analysis of the jitters of magnetic stripes
80A8FB19	Faint End of the Galaxy Luminosity Function: A Chronometer for Structure Formation?
845DC74C	대표 거리기반 계층적 군집화 방법
7A4B0F90	Oil content, tocopherol composition and fatty acid patterns of the seeds of 51 Cannabis sativa L. genotypes
584D3A67	A clustered Dwarf structure to speed up queries on data cubes
30BF996C	An Effective Clustering Procedure for Quantitative Data and Its Application for the Grouping of the Reusable Nuclear Fuel
5D3808C9	Drawing Binary Tanglegrams: An Experimental Evaluation
7C166E5E	Simultaneous determination of four active components in Alisma orientale （Sam.） Juz. by HPLC–DAD using a single reference standard
76617DDF	Design of Fuzzy System with Hierarchical Classifying Structures and its Application to Time Series Prediction
5FEF7E71	Characteristic scales of substructures in the Virgo area.
806B4FCC	A WDM based virtual bus for universal communication and computing systems
5B6E54A8	Characterization of novel HIV drug resistance mutations using clustering, multidimensional scaling and SVM-Based feature ranking
78920E18	Taxonomy of information technology adoption patterns in manufacturing firms
81674D72	Phase Characterization and Classification for Micro-architecture Soft Error
7ED9F89A	Diffuse Baryons in Groups and Clusters of Galaxies
61DD7DFF	Analisa Perbandingan Metode Hierarchical Clustering, K-Means dan Gabungan Keduanya dalam Cluster Data (Studi Kasus: Problem Kerja Praktek Teknik Industri ITS)
67EA9EFA	Multilevel compression of random walks on networks reveals hierarchical organization in large integrated systems
06F76B3F	ABORDAGEM MULTIVARIADA EM AN�LISE DE SEMENTES DE ESP�CIES FLORESTAIS EX�TICAS
7CC3B4DA	Clustering Binary Oligonucleotide Fingerprint Vectors for DNA Clone Classification Analysis
7CEEE695	Comparing ODAC and Hierarchical algorithm using time series data streams
22E45502	Paraphrasing as Machine Translation (自然言語処理特集号「言い換え」)
8051FF96	On the origin of early type galaxies and the evolution of the interaction rate in the field
784F6681	An Analytical Approach of Cluster Analysis towards Various Manifestations of Organizational Conflict in Public and Private Sector Commercial Banks
7E6EE189	Validating directional edge-based image feature representations in face recognition by spatial correlation-based clustering
768E0BD3	Synexpression analysis of ESTs in the rat brain reveals distinct patterns and potential drug targets
72D83B09	WIMPS Are Stronger When They Stick Together
59D0EC05	PAST AND PREDICTED FUTURE CHANGES IN THE LAND COVER OF THE UPPER MISSISSIPPI RIVER FLOODPLAIN, USA
5AB4071E	Gammaherpesvirus Lytic Gene Expression as Characterized
5E4881CB	Sequential Proximity-Based Clustering for Telecommunication Network Alarm Correlation
011F16E4	Clustering and Prediction for Credit Line Optimization
84B5AF13	Understanding Farmers’ Groundwater Attitudes For Better Groundwater Management
781F8E11	A Clustering-Based QoS Prediction Approach for Web Service Recommendation
00D6B01D	Turbulent Flow and Stirring Mechanisms in the Cosmological Large-scale Structure
792D242D	Classification of chondroitin sulfate A, chondroitin sulfate C, glucosamine hydrochloride and glucosamine 6 sulfate using chemometric techniques.
599AAB43	MP-Cluma- A CORBA Based Cluster Management Tool
7634DFE7	Magnetoencephalography Interictal Spike Clustering in Relation with Surgical Outcome of Cortical Dysplasia
76A5A4C8	CARD15 Status and Familial Predisposition for Crohn's Disease and Colonic Gene Expression
5D5EDB17	Clustering Binary Codes to Express the Biochemical Properties of Amino Acids
780A95CB	Repair of primary or complicated aortic coarctation in the adult with cardiopulmonary bypass and hypothermic circulatory arrest
76199E90	A genomic and transcriptomic approach for a differential diagnosis between primary and secondary ovarian carcinomas in patients with a previous history of breast cancer
5BC734C5	The anatomy of SnakeT: a hierarchical clustering engine for web-page snippets
7AC6FAE2	PIXE analysis of medieval silver coins
75CB8B83	Research on Text Clustering Algorithms
7E0C38F3	Different responses to oxidized low-density lipoproteins in human polarized macrophages
7F39D888	The Research of Qualitative Data Hierarchical Cluster Based on Dummy Variable
