7E0FCFAB	Optimal smoothing for trend removal in short term electricity demand forecasting
763B2699	Modelling of contact deformation for a pinch gripper in automated material handling
7D2A42CE	A Comparative Study on Neural Network Based Soccer Result Prediction
7D821D1F	Predicting the Behavioral Intention to Use Collaborative Meeting Technologies: A Goal Attainment Mediated by Meeting Satisfaction Model
7B00E819	On reliability modeling of closed fault-tolerant computer systems
816D4625	Constrained Model Predictive Control of the Drive System With Mechanical Elasticity
7DB34E00	An advanced field prediction model including diffuse scattering
6C269192	Short Term Stock Prediction Using SOM
7AFF3048	Thresholds based outlier detection approach for mining class outliers: An empirical case study on software measurement datasets
806E7E91	Model Predictive Control to Alleviate Thermal Overloads
7FF7FCE5	Predictive factors of stroke in patients undergoing coronary bypass grafting: statins are protective
801F53DF	A Value-Added Predictive Defect Type Distribution Model Based on Project Characteristics
5CEA469B	A statistical based damage detection approach for highway bridge structural health monitoring
7DDDB35B	Predicted versus actual performance of the model scale compulsator system
4A70BD93	LABORATORY MEASUREMENTS AND PREDICTIVE EQUATIONS FOR GAS DIFFUSION COEFFICIENT OF UNSATURATED SOILS
801AB8D5	Improved a priori interconnect predictions and technology extrapolation in the GTX system
805953F3	Mining for the most certain predictions from dyadic data
7901049F	Multiple regression, ANN (RBF, MLP) and ANFIS models for prediction of swell potential of clayey soils
7EE56A21	Direct load management of electric vehicles
80C0AA01	Short-channel single-gate SOI MOSFET model
76280DB6	Flexible resource allocation for reliable virtual cluster computing systems
7F5A5AF7	Cooperation Between Stereo-vision And A Token Tracker Process For The 3d Vision Of A Mobile Robot
8025B0B5	Channel Prediction with Cascade AR Modeling
81177167	High-speed optical observations and simulation results of SonoVue microbubbles at low-pressure insonation
7837DC42	Modeling change requests due to faults in a large-scale telecommunication system
77A03E41	Predictive model of the effect of CO 2 , pH, temperature and NaCl on the growth of Listeria monocytogenes
80E929A0	PV power forecast error simulation model
7E675636	Survival Prediction in Lung Cancer Treated with Radiotherapy: Bayesian Networks vs. Support Vector Machines in Handling Missing Data
7D154708	Extraction of accurate behavioral models for power amplifiers with memory effects using two-tone measurements
7E9341E2	Power Consumption Prediction and Power-Aware Packing in Consolidated Environments
7F5AC127	A Max Margin Framework on Image Annotation and Multimodal Image Retrieval
82515BD8	Supporting Serendipitous Social Interaction Using Human Mobility Prediction
7D2FFEB7	Validation of the EuroSCORE risk models in Turkish adult cardiac surgical population
7A927CC0	Performance prediction of hard rock TBM using Rock Mass Rating (RMR) system
80A6AE28	Modeling Techniques Used in Addressing the Quality of Software
80556BCD	An iterative algorithm for constrained MPC with stability of bilinear systems
75BA0C13	Dynamics of high-voltage pulsed cylindrical sheath
76598219	A quantitative analysis of temperature-dependent dormancy changes in Polygonum aviculare seeds
7FCC04F1	Evaluation of Experiences from Applying the PREDIQT Method in an Industrial Case Study
8083E413	Measuring SCTP throughput and jitter over heterogeneous networks
5AF5CFCA	Real-time kinematic modeling and prediction of human joint motion in a networked rehabilitation system
792AAC0B	Optimal temperature input design for estimation of the Square Root model parameters: parameter accuracy and model validity restrictions
7EBD8033	File classification in self-* storage systems
7FF4575A	High-frequency small signal AC and noise modeling of MOSFETs for RF IC design
7E104524	Prediction of risk of death and myocardial infarction in the six months after presentation with acute coronary syndrome: prospective multinational observational study (GRACE)
8139CE55	A stochastic model of the electrically stimulated auditory nerve: pulse-train response
3D108C79	Improving the prediction ability of FT-MIR spectroscopy to assess titratable acidity in cow’s milk
774BCA2D	An on-line wastewater quality predication system based on a time-delay neural network
6325943B	Detrending daily natural gas consumption series to improve short-term forecasts
7E55892F	On the implementation of model predictive control for on-line walking pattern generation
7FF7B7A8	Distinction between types of motivations: Emergent behavior with a neural, model-based reinforcement learning system
8105C8A2	Model Predictive Control based on Mixed H2/H Control Approach
7CEDF2F8	SEU-sensitive volumes in bulk and SOI SRAMs from first-principles calculations and experiments
7D495650	Adding Process Metrics to Enhance Modification Complexity Prediction
7652165A	Numerical study on the feasibility of dynamic evolving neural-fuzzy inference system for approximation of compressive strength of dry-cast concrete
811E2BA4	Analysis of speech signals of short pitch period by a sample-selective linear prediction
7E27901D	Prediction of Prosodic Phrase Boundaries in Chinese TTS Based on Conditional Random Fields and Transformation Based Learning
7EF623E2	HBT high-frequency modeling and integrated parameter extraction
80EA5CE9	A predictive model for unimolecular reactions of organic ions
803FD1A6	A Systematic Literature Review on Fault Prediction Performance in Software Engineering
7AF67634	Statistically based prediction of power dissipation for complex embedded DSP processors
7DB79BF5	Comparison of Artificial Neural Networks with Logistic Regression in Prediction of Kidney Transplant Outcomes
7892819F	Inferring social ties across heterogenous networks
7DCC718B	Bayesian wavelet networks for nonparametric regression
781BE6D7	Prediction of chromatographic properties of organophosphorus Insecticides by molecular connectivity
80AE0A47	Integral-Square-Error Performance of Multiplexed Model Predictive Control
80638087	Lossless compression of medical images using hierarchical autoregressive models
7D569C51	Artificial neural network based short term load forecasting for restructured power system
7E472F6D	Modelling of stream fishes in the Great Plains, USA
7D30BD0D	Reconstruction of piecewise chaotic dynamic using a genetic algorithm multiple model approach
7A6A5B7E	Discharge variability and the development of predictive models relating stream fish assemblage structure to habitat in northeastern Australia
805588B3	IQ estimation for accurate time-series classification
779B83E5	Methodological Issues Related to the Estimation of Financial Distress Prediction Models
7C2AEED4	Artificial neural networks modeling of contaminated water treatment processes by homogeneous and heterogeneous nanocatalysis
79C095F9	Data mining techniques applied to predictive modeling of the knurling process
76C2E626	The use of 3D-nonlinear regression analysis in mathematics modeling of colour change in roasted hazelnuts
81102293	MIMO Channel Rank via the Aperture-Bandwidth Product
7FCDFDC9	Subspace method for identification and control of blast furnace ironmaking process
80394090	Application of NBTree to selection of meteorological variables in wind speed prediction
7F0E7C7F	Mobile robot navigation using passivity-based MPC
7EDD45CE	Application of subband analysis to adaptive prediction
7DC8D69E	Advanced structural similarity rules for the BGA package family.
7F8C4D12	Control flow prediction for dynamic ILP processors
811FE4A2	Online adaptive status prediction strategy for data-driven fault prognostics of complex systems
7E2C4EF3	Integration of Heterogeneous Models with Knowledge Consolidation
7B957EB2	A Single-Objective Predictive Control Method for a Multivariable Single-Phase Three-Level NPC Converter-Based Active Power Filter
7E65F8A0	A Case Study Using Web Objects and COSMIC for Effort Estimation of Web Applications
8122CDB9	On the application of genetic programming for software engineering predictive modeling : A systematic review
7A20BDEC	Predicting the quality and usability of spoken dialogue services
30683B1F	Prediction model on cleavage fracture initiation in steels having ferrite–cementite microstructures – Part I: Model presentation
7D3F64A9	A Hierarchy of Data-Based ENSO Models
767C1A77	The prediction of progression‐free and overall survival in women with an advanced stage of epithelial ovarian carcinoma
7E8EABA8	Reliability and validity in comparative studies of software prediction models
7E9E35D7	On the parasitic gate capacitance of small-geometry MOSFETs
80AA1783	Prediction of Concrete Carbonation Depth Based on Support Vector Regression
7FF6B8E1	Influence of program inputs on the selection of garbage collectors
7FC5A853	Development and validation of growth model for Yersinia enterocolitica in cooked chicken meats packaged under various atmosphere packaging and stored at different temperatures.
846C07FA	Performance model for characterizing AC modules and predicting their power
815ACE0A	Traffic Prediction with Reservoir Computing for Mobile Networks
7E127A32	A quality measure for ray-tracing algorithms
813F6CE2	Estimation of snow water equivalent from SSM/I data by using a physical model-based inversion algorithm
8094AF86	Predictive modelling of rainfall-induced landslide hazard in the Lesser Himalaya of Nepal based on weights-of-evidence
8062C12D	Virtual metrology algorithm for TFT-LCD manufacutring process
81181AD2	Prognostic value of the postcoital test for spontaneous pregnancy
7F11A944	MIMO robust predictive control applied to a three tanks system
8045DF7C	Day-ahead electricity price forecasting using the relief algorithm and neural networks
7C77AFD5	A model for predicting the radiation exposure for mission planning aboard the international space station
8173A577	Effect of volume-contraction on incipient fluidization of binary-solid mixtures
7D78BA59	A novel approach for automated model generation
7F07E7C5	Variability analysis under layout pattern-dependent rapid-thermal annealing process
5B0B8AF6	Forecasting Violent Extremist Cyber Recruitment
7AF7B198	AQUAFLORA: A predictive model based on diatoms and macrophytes for streams water quality assessment
79A7E95C	Validation of the EuroSCORE model in Australia
81A50684	Performance Prediction for Apache Spark Platform
7F1CFD40	Generalized B pictures and the draft H.264/AVC video-compression standard
7E6544A6	Avalanche multiplication in InP/InGaAs double heterojunction bipolar transistors with composite collectors
75BBD5F8	Investigation and modelling approach of the mechanical properties of compacts made with binary mixtures of pharmaceutical excipients
7DB0D9B4	Model for the Path Loss of In-Room Reverberant Channels
7FE14563	Applying SLEUTH for Simulating Urban Expansion of Beijing
7996D23B	Software Quality Classification using Bayesian Classifier
7FF79C09	Hierarchical Software Architectures and Vehicular Path Prediction for Cooperative Driving Applications
7AF8CAAA	Comparison of stream flow predicted in a forest watershed using different modelling procedures: ARMA, ANN, SWRRB, and IHACRES models
78CB764B	Diagnostic analysis of the logistic model for pedestrian injury severity in traffic crashes
7CF9731D	Receiver operating characteristic curves to assess predictors of radiation-induced symptomatic lung injury
75CE53CC	Optimization of goldstripe sardine (Sardinella gibbosa) protein hydrolysate using Alcalase® 2.4L by response surface methodology Optimización de hidrolisato de proteína de Sardinela dorada (Sardinella gibbosa) usando Alcalase® 2.4L a través de RSM
815D94DF	Control of an induction machine with feedback linearisation and multivariable cascaded predictive structure
7C366B84	Investigating the effect of modeling single-vehicle and multi-vehicle crashes separately on confidence intervals of Poisson-gamma models
7EBD6F15	Neural networks for corrosion polarization curves prediction during inhibition by carboxyamide-imidazoline on a pipeline steel
80924414	Systems of multiple cluster tools: configuration and performance under perfect reliability
7AF05ED3	A hybrid computational approach to formulate soil deformation moduli obtained from PLT
7F8AEA5D	Exploiting Social Media for Stock Market Prediction with Factorization Machine
7732B0D6	Use of CFU-GM assay for prediction of human maximum tolerated dose of a new antitumoral drug: Yondelis™ (ET-743)
7A2075C5	Maxent modeling of ancient and modern agricultural terraces in the Troodos foothills, Cyprus
75F4B57A	Evaluating the safety impacts of the number and arrangement of lanes on freeway exit ramps
7CB54349	Comparison and analysis of tropospheric scintillation models for Northern Malaysia
7E7D17CD	Efficient optimization of process parameters in shadow mask manufacturing using NNPLS and genetic algorithm
7FEE6AF1	Forecasting the Diffusion of Innovation: A Stochastic Bass Model With Log-Normal and Mean-Reverting Error Process
7A3E0DA4	A synecological framework for systematic conservation planning
7971742F	A new image prediction model based on spatio-temporal techniques
7EB0E279	Parallel hashing algorithms on BSP and QSM models
7B429FE6	Advanced process control of a CVD tungsten reactor
76E7BC7F	An intelligent control system based on prediction of the burn-through point for the sintering process of an iron and steel plant
5FD1FCE8	Towards a unified traffic situation estimation model — Street-dependent behaviour and motion models
7890C6D8	Models for the pedestal temperature at the edge of H-mode tokamak plasmas
77E888F7	Statistical learning of peptide retention behavior in chromatographic separations: a new kernel-based approach for computational proteomics
7E3B7308	Short-term hourly load forecasting using time-series modeling with peak load estimation capability
75FE51A4	Prediction of maturity and sensory attributes of Cheddar cheese using near-infrared spectroscopy
5C2AF1FE	Combined trap generation and transient trap occupancy model for time evolution of NBTI during DC multi-cycle and AC stress
7D22EDBD	Receding horizon tracking control of wheeled mobile robots
7A0510F9	A Health Indicator Extraction and Optimization Framework for Lithium-Ion Battery Degradation Modeling and Prognostics
7D0B3FAD	A comparative study of path performance metrics predictors
7B7D9531	Predictive Modelling of Listeria monocytogenes Inactivation Under High Pressure Carbon Dioxide
5CA0BC6D	A Predictive Model for Human�Unmanned Vehicle Systems
7CDD453F	Comparison Between Genetic Algorithm and Genetic Programming Approach for Modeling the Stress Distribution
7FE1A60D	Application of an Autocovariance Least - Squares Method for Model Predictive Control of Hybrid Ventilation in Livestock Stables
792AC0BC	A concrete mix proportion design algorithm based on artificial neural networks
810A2C38	GRID-Based Prediction of Electromagnetic Fields in Urban Environment
7D306CBA	A Broadband and Scalable Lossy Substrate Model for RF Noise Simulation and Analysis in Nanoscale MOSFETs With Various Pad Structures
76F8C58B	Modular state space of echo state network
7A0AE6CF	Relational Collaborative Topic Regression for Recommender Systems
7EEBD023	Wireless Networked Control Systems with Generalized Predictive Control and Novel Smith Predictor
7F858E22	Joint optimization of short-term and long-term predictors in CELP speech coders
7E52AE26	Symbolic performance prediction of scalable parallel programs
7FC24A84	Time series analysis and prediction on complex dynamical behavior observed in a blast furnace
78DD34E1	Predicted interplanetary shocks/particles at Mars compared with in-situ observations: An overview
78EEB5F4	Joint action of polycyclic aromatic hydrocarbons: Predictive modeling of sublethal toxicity
5B18C06D	Modelling of effects of water activity and temperature on germination and growth of ochratoxigenic isolates of Aspergillus ochraceus on a green coffee-based medium
7D5D499F	Enhancing the Tracking of Partials for the Sinusoidal Modeling of Polyphonic Sounds
7D2D5BAE	Scaling file systems to support petascale clusters: A dependability analysis to support informed design choices
81257DDB	Technological innovation diffusion: the proliferation of substitution models and easing the user's dilemma
8119A20F	Short-term traffic flow prediction based on embedding phase-space and blind signal separation
7AD016C6	The impact of class resolution in land use change models
7B9D920C	Predictive models for performance evaluation of serial production lines
7D3F0539	The predictive value of ovarian reserve tests for spontaneous pregnancy in subfertile ovulatory women
80D35DEC	Vacuum insulation for a lunar-based power system
8185A053	Exclusion of rare taxa affects the performance of the O/E index in bioassessments
80370257	On the stability of constrained MPC without terminal constraint
811152E2	Probabilistic forecasts of wind speed: ensemble model output statistics by using heteroscedastic censored regression
8093F7CA	A flywheel energy storage system with Matrix Converter controlled Permanent Magnet Synchronous Motor
7EE0E299	Prediction of standard particleboard mechanical properties utilizing an artificial neural network and subsequent comparison with a multivariate regression model
7E4FC11D	Risk modeling strategies for pharmacogenetic studies
7CF580D3	Structural Macromodeling of Analog Circuits Through Model Decoupling and Transformation
5B708188	Observer-based and energy saving control of single-rod electro-hydraulic servo system driven by servo motor
7FADE05E	Using Self‐Reported Health Measures to Predict High‐Need Cases among Medicaid‐Eligible Adults
7B7FC1F9	Integrated simulations of saturated neoclassical tearing modes in DIII-D, Joint European Torus, and ITER plasmas
6242BD9B	Combined approach for short-term wind power prediction: A case study of the east coast of China
7DEE2258	Some schedulers to achieve proportional junk rate differentiation
7D356FBD	Recurrent neuro-fuzzy networks for nonlinear process modeling
7EC45BF1	A Fast Algorithm for the Layout Based Electro-Thermal Simulation
7AAA3919	Contributions to the analysis of deterministic noise on ADPLL jitter performance
7B39487D	A robust prediction model using ANFIS based on recent TETRA outdoor RF measurements conducted in Riyadh city – Saudi Arabia
7770F90D	ANNA: A new prediction method for bioassessment programs
7E110B7C	Increasing the efficiency of fault detection in modified code
769E7DFA	Failure event prediction using the Cox proportional hazard model driven by frequent failure signatures
6240A1D2	ARIMA based statistical approach to predict wind power ramps
60B1A1E4	Batch and sequential forecast models for photovoltaic generation
5CE3AB53	Personalized QoS Prediction via Matrix Factorization Integrated with Neighborhood Information
7EEE6CF6	Predictive Model for Survival in Patients With Advanced Cancer
813C98D3	Rate control for real-time video network transmission on end-to-end rate-distortion and application-oriented QoS
7D43A096	Ensemble Monte Carlo study of interface-state generation in low-voltage scaled silicon MOS devices
7E932DB5	Characterizing forest canopy structure with lidar composite metrics and machine learning
752C3C85	Perpetual pavement temperature prediction model
7FB21810	Accurate Estimation of Signal Currents for Reliability Analysis Considering Advanced Waveform-Shape Effects
782ECCE4	Selection of Optimum Drilling Parameters on Burr Height Using Response Surface Methodology and Genetic Algorithm in Drilling of AISI 304 Stainless Steel
7539A6CC	Predictive modeling of lactoperoxidase and γ-glutamyl transpeptidase inactivation in a high-temperature short-time pasteurizer
7ED21263	Online Fault Prediction Based on Combined AOSVR and ARMA Models
786D747B	A genetic algorithm-based approach to cost-sensitive bankruptcy prediction
7E57EDBF	Combined Selection of Tile Sizes and Unroll Factors Using Iterative Compilation
7E2738E3	Faults tolerant control of wind turbine based on Laguerre model predictive compensator
7FDB80DF	Predicting fault-prone modules with case-based reasoning
5AF38843	Analysis of Fast Input Selection: Application in Time Series Prediction
7DE76522	Evaluating the added predictive ability of a new marker: From area under the ROC curve to reclassification and beyond
7FE97BED	Short-Term Wave Forecasting for Real-Time Control of Wave Energy Converters
76A768FD	An intelligent approach to identify elderly body information
7DE8C08B	Characterizing Information Diffusion in Online Social Networks with Linear Diffusive Model
7EF06866	Extensions to phone-state decision-tree clustering: single tree and tagged clustering
7FE1CD6B	Location Prediction for Tracking Moving Objects
769F7E8A	Design of local fuzzy models using evolutionary algorithms
8054A9A2	Intelligent financial warning model using Fuzzy Neural Network and case-based reasoning
7D1F97A8	Adaptive control of cold rolling system in electrical strips production system with online-offline predictors
7D1CDEB2	Dynamic non-Singleton fuzzy logic systems for nonlinear modeling
7FD1A04D	Compact modeling of BJT self-heating in SPICE
7679D7F2	Modeling site location patterns amongst late-prehistoric villages in the Wind River Range, Wyoming
7D1E379E	Effects of mountaintop mining on fish distributions in central Appalachia
7EA3FDB4	Time lags in provision of habitat resources through revegetation
7F2DDA1D	Developing interpretable models with optimized set reduction for identifying high-risk software components
76232CEB	Recalibrating software reliability models
7EF5C41B	Wavelet autoregressive forecasting of climatic parameters for photovoltaic systems
5B3B7A1F	P3: Priority based proactive prediction for soon-to-fail disks
77CFB6E7	Relationships between environmental characteristics and the density of age-0 Eurasian perch Perca fluviatilis in the littoral zone of a lake: A nonlinear approach
73E8CD12	Multi-physics design of high-energy-density wound components
7E70D379	Leveraging aggregate ratings for better recommendations
7A1CF12C	SCreening for Occult REnal Disease (SCORED): a simple prediction model for chronic kidney disease.
7E81DCC4	Hidden Markov model for dynamic obstacle avoidance of mobile robot navigation
7DAB3AF4	Linear model-based adaptive prediction for video decoding complexity
8162507C	Proton radiation effects in XC4036XLA field programmable gate arrays
7D9295CD	A new approach to simulating n-MOSFET gate current degradation by including hot-electron induced oxide damage
7CB3B851	Forecasting box office revenue of movies with BP neural network
77A1E589	Application of artificial neural networks for predicting the thermal inactivation of bacteria: a combined effect of temperature, pH and water activity
7D61B5DD	DRG-cache: a data retention gated-ground cache for low power
81438285	Learning significant locations and predicting user movement with GPS
801E0D44	Test of subranging A/D converters with digital correction
71D216BD	Service System Resource Management Based on a Tracked Layered Performance Model
7E36FC30	Predicting variability in nanoscale lithography processes
7FC6C427	Hot carrier reliability of high-speed SiGe HBT’s under accelerated collector-base avalanche bias
7F03A2B7	A preliminary study on the effects of roll dynamics in predictive vehicle stability control
7C1E265F	Model for CMOS/SOI single-event vulnerability
5DB6D274	Modelling the individual cell lag phase: effect of temperature and pH on the individual cell lag distribution of Listeria monocytogenes
7ACDA959	Generalized linear and generalized additive models in studies of species distributions: Setting the scene
7CD8EBA2	Compare failure prediction models based on feature selection technique: empirical case from Iran
775B204C	Identification of key soil indicators influencing plantation productivity and sustainability across a national trial series in New Zealand
769F89E2	Approximate criteria for the MPEG-2 motion estimation
794CD044	A FUZZY BASED MECHANISM FOR ALLOCATION OF GRID RESOURCES
7DA8FD9C	Research on the Short-Term Electric Load Forecasting Based on Wavelet Neural Network
814AE96F	A stochastic model of the electrically stimulated auditory nerve: single-pulse response
80EB174F	Digging for Diamonds: Identifying Valuable Web Automation Programs in Repositories
7C5AFBAC	Vibration in dwellings from road and rail traffic — Part II: exposure–effect relationships based on ordinal logit and logistic regression models
78257F7B	Statistical Modeling and Simulation of Threshold Variation Under Random Dopant Fluctuations and Line-Edge Roughness
7B837082	Prediction of lung tumour position based on spirometry and on abdominal displacement: Accuracy and reproducibility
7E35D8D1	Statistical modeling for postcycling data retention of split-gate flash memories
7E7A2B5A	Predicting outcomes of neuroreflexotherapy in patients with subacute or chronic neck or low back pain
792744AB	Multicore-aware reuse distance analysis
77696C3A	Predictive models for speaker verification
79C02854	Towards a gene expression biomarker set for human biological age
7C7CA82D	Validation of predictive models for germline mutations in DNA mismatch repair genes in colorectal cancer
778A83ED	Variable selection for wind power prediction using particle swarm optimization
7DDAA2A3	Annual energy demand estimation of Iran industrial sector by Fuzzy regression and ARIMA
772EAA54	Predicting software maintenance effort through evolutionary-based decision trees
80077945	A Novel Virtual Metrology Scheme for Predicting CVD Thickness in Semiconductor Manufacturing
7DE82A2F	Model predictive control of a nonlinear fed-batch fermentation process
765AAD8E	Using student performance predictions in a computer science curriculum
76621856	A modified support vector machine based prediction model on streamflow at the Shihmen Reservoir, Taiwan
75DA2067	Application of VPRS model with enhanced threshold parameter selection mechanism to automatic stock market forecasting and portfolio selection
812EB5DC	Enhancement, implementation, and performance of an adaptive short-term load forecasting algorithm
7E9A9129	A neural network based technique for short-term forecasting of anomalous load periods
7F0DC2FF	An improved solution expressed in terms of UTD coefficients for the multiple-building diffraction of plane waves
5928035C	Using Similarity Measure to Enhance the Robustness of Web Access Prediction Model
786FB506	Validation of the mortality prediction model for ICU patients.
7DCC9735	A General Model for Investigating the Effects of the Frequency Converter on the Magnetic Iron Losses of a Squirrel-Cage Induction Motor
7EA2D820	Predictive Modeling on Telekom Malaysia Berhad Direct Exchange Line Growth
803ED486	Model Predictive Control for Tactical Decision-Making in Semiconductor Manufacturing Supply Chain Management
7F786ECB	A variable structure neural network model for mid-term load forecasting of Iran national power system
7A73BF30	Modelling the growth of Clostridium perfringens during the cooling of bulk meat
80765C95	Predicting the probability of change in object-oriented systems
7F2AA20E	Optimization of drilling parameters on surface roughness in drilling of AISI 1045 using response surface methodology and genetic algorithm
43E6DB82	Diarrhoea outpatient visits prediction based on time series decomposition and multi-local predictor fusion
7857507D	Ensembled neural networks for brain death prediction for patients with severe head injury
7C74598A	A combined discrete-continuous model describing the lag phase of Listeria monocytogenes.
77A1471A	Predictive Models: The Art and the Science
7DF0C21F	Predictive Active Steering Control for Autonomous Vehicle Systems
7B36BF16	A supersonic molecular beam study of the chemisorption of PH 3 on the Si(100) surface
79AB424D	A 3-D FPGA wire resource prediction model validated using a 3-D placement and routing tool
75AE02D4	Application of implicit normal mode initialization to a limited-area mesoscale prediction model
7B220921	A quasi-physical model for predicting the thermal insulation and moisture vapour resistance of clothing
58324069	Predictive neural models in noisy environment
77D09AD6	Choosing the best method for stream bioassessment using macrophyte communities: Indices and predictive models
75961845	Recent innovations in intensive care unit risk-prediction models:
7C5C251D	Architecture for development of adaptive on-line prediction models
77DB5605	The usability of Cerchar abrasivity index for the prediction of UCS and E of Misis Fault Breccia: Regression and artificial neural networks analysis
7A71CA55	Academic Performance Predictors
7F7FC18D	A new structure-preserving method of sampling for predicting self-similar traffic
7EEABC2D	Evaluation of the new semi-terrain based propagation model recommendation ITU-R P.1546
7E1E807F	A Mathematics Model of Customer Churn Based on PCA Analysis
6430559A	An iterative model predictive control algorithm for UAV guidance
59B90E13	The beauty and the beast: vulnerabilities in red hat’s packages
7C6471B7	Gastro-intestinal nematode infection in lambs — A model based on climatic indices for forecasting peak pasture larval contamination
7F426174	The relationship between test coverage and reliability
7AD4ED69	Prediction model for hearing outcome in patients with idiopathic sudden sensorineural hearing loss
7C31FF3F	Learning Driver Behavior Models from Traffic Observations for Decision Making and Planning
7CB14946	Can the Detection of Salinity and Habitat Simplification Gradients using Rapid Bioassessment of Benthic Invertebrates be Improved through Finer Taxonomic Resolution or Alternative Indices?
809C4A78	Transmission and reflection characteristics at concrete block walls in the UHF bands proposed for future PCS
7ABB780A	Indications for Pelvic Nodal Treatment in Prostate Cancer Should Change. Validation of the Roach Formula in a Large Extended Nodal Dissection Series
7F744216	Development of Predictive Growth Models for Staphylococcus aureus and Bacillus cereus on Various Food Matrices Consisting of Ready-to-Eat (RTE) Foods
7F560390	Prospective Validation of a Prediction Model for Isolating Inpatients With Suspected Pulmonary Tuberculosis
759A723A	A model of novice and expert navigation performance in constrained-input interfaces
77289049	Bayesian assessment of an existing bridge: a case study
80C8570A	A summary report of the COLIPA international validation study on alternatives to the draize rabbit eye irritation test
7B90064A	A predictive model for dormancy loss in Polygonum aviculare L. seeds based on changes in population hydrotime parameters
7BD6232B	Comparing different environmental variables in predictive models of bird distribution
7D299BE9	ANN Prediction Models for Outdoor Environment
7DE559E6	Predicting phase noise in crystal oscillators
7D1BBCE4	Automatic spectral analysis with time series models
6D52B862	Challenges in using the ToxRefDB as a resource for toxicity prediction modeling
769FB88F	Effect of liquid properties on the stability of an abrasive waterjet
7D1D3619	Reacquisition induced outages during multipath fading
805F2B89	Prediction of beam tilting effects using an enhanced ray launching model in the urban area
8049B7B4	Prediction of Railway Passenger Traffic Volume Based on Neural Tree Model
7D50F54B	Evaluation of the Propagation Model Recommendation ITU-R P.1546 for Mobile Services in Rural Australia
7FD9982B	Assessing the Quality of Automatically Built Network Representations
81402CCF	On the choice of parameters of the cost function in nested modular RNN's
80A0A879	Outcome prediction in coronary artery bypass grafting and valve surgery in the Netherlands: development of the Amphiascore and its comparison with the Euroscore
7E94F83F	Mathematical Frameworks for Modeling Listeria Cross-contamination in Food-processing Plants
7706711C	Simulation of Aerated Lagoon Using Artificial Neural Networks and Multivariate Regression Techniques
7DA64B39	A methodology for drop performance prediction and application for design optimization of chip scale packages
79E915E4	An agent-based approach for predictions based on multi-dimensional complex data
7E024154	An enhanced neural network technique for software risk analysis
7A648A4A	Development of comprehensive accident models for two-lane rural highways using exposure, geometry, consistency and context variables
80046CAB	Effects of failure correlation on software in operation
7906AEC8	Effects of mine expansion on geochemical predictions of pit lake water quality: an example from Martha Mine, Waihi, New Zealand
7E2F3337	Variational Bayes for a Mixed Stochastic/Deterministic Fuzzy Filter
7EA4D522	Image compression via joint statistical characterization in the wavelet domain
7712594D	Adaptive pose priors for pictorial structures
7F7EA6C5	A consistent model for the thickness dependence of intrinsic breakdown in ultra-thin oxides
815E937C	Sample-size determination for achieving asymptotic stability of a double EWMA control scheme
7D2450CF	Microsoft Mulan - a bilingual TTS system
7D745A19	A comparison of case-based reasoning approaches
80DD37D7	Prediction by Partial Approximate Matching for Lossless Image Compression
7E112632	Domain specific phase by phase effort estimation in software projects
8086CD22	Reheat optimization of the variable-air-volume box
7FC17144	An online model adaptation method for compensating speech models for noise in continuous speech recognition
7E38B3BD	Modeling and Simulation of Freeway Short-Term Traffic Flow Prediction
8021576D	Financial forecasting based on artificial neural networks: Promising directions for modeling
7F2A9C7D	Finite element modeling of BGA packages for life prediction
76D3E7A5	The role of temperature and other factors in predicting the pattern of bovine ostertagia spp infective larvae on pasture
789B7426	Prediction of processed cheese instrumental texture and meltability by mid-infrared spectroscopy coupled with chemometric tools
830105C5	The adaptive α in GM (1,1) model
7974C70F	Forecasting streamflows in Australia using the tropical Indo-Pacific thermocline as predictor
7CA84BB8	A curving ACC system with coordination control of longitudinal car-following and lateral stability
8097907F	The effect of small topographic variations on reflectance
7DEEA779	Reliability of NAND flash memories induced by anode hole generation in floating-gate
7E3593F2	A fusion ANFIS model for forecasting EPS of leading industries in Taiwan
76ED54C8	A neural network model forecasting for prediction of daily maximum ozone concentration in an industrialized urban area
5ACE7C8C	Measurement of radio propagation path loss over the sea for wireless multimedia
7F87B1E8	Predicting medical complications after spine surgery: a validated model using a prospective surgical registry
7DC6C503	Finding "early" indicators of UML class diagrams understandability and modifiability
77C58D6F	Box office prediction based on microblog
7EA242C9	Interpretable Prediction of Protein Stability Changes upon Mutation by Using Decision Tree
794397A0	Use of a predictive model of HD/HDF based on a cascade of communicating CSTs to design modules with enhanced HMW solute clearance
7D7AEBD5	Surface roughness prediction model of 6061-T6 aluminium alloy machining using statistical method
802D653B	Survey: Real-Time Tumor Motion Prediction for Image-Guided Radiation Treatment
7E649965	Current transient in polyimide-passivated InP/InGaAs heterojunction bipolar transistors: systematic experiments and physical model
7EF43D29	Characterization and design of GaAs SCFL latched comparators based on improved linearized models
7F30A929	A study on combined nonlinear dynamic prediction model
7A5DAAC2	Statistically Derived Predictive Models: Caveat Emptor
7E934A9E	Chinook salmon (Oncorhynchus tshawytscha) — seabird covariation off central California and possible forecasting applications
7B8E406E	The Fracture and Immobilization Score (FRISC) for risk assessment of osteoporotic fracture and immobilization in postmenopausal women―A joint analysis of the Nagano, Miyama, and Taiji Cohorts
