7632557C	Information not present<---Quality of service provision under channel fading
7EB06615	International Conference on Communications<---QCIF image transmission quality analysis over different modem schemes
5D8BBB4C	Advanced Information Networking and Applications<---Admission Control and System Capacity Assessment of WiMAX with ACM and nb-LDPC Codes
7E88DBC4	International Conference on Communications<---On the Use of Multiple Antennas to Reduce MAC Layer Coordination in Ad Hoc Networks
7E88EA13	International Conference on Communications<---A Joint Coding and Scheduling Method for Delay Optimal Cognitive Multiple Access
7D7B0DB3	Bell Labs Technical Journal<---Physical-layer design for next-generation cellular wireless systems
152F2466	Information not present<---613 まがりばかさ歯車の外部モニターによる振動評価(機構と動力伝達)(機素潤滑設計部門企画セッション)
80C2AB71	IEEE Communications Magazine<---The generic framing procedure (GFP): an overview
7A60CC25	Advanced Materials Research<---A Monitoring and Wireless Transmission System on the Machining Tool
7FBC8508	Wireless Algorithms, Systems, and Applications<---Spectrally Efficient Frequency Hopping System Design under Hostile Jamming
790A02D9	Information not present<---A quality of service-aware routing scheme for multimedia streaming in wireless cabin environments
7F2CCA6D	International Journal of Advanced Computer Science and Applications<---Successful Transmission Rate of Mobile Terminals with Agents in Segmented Ad Hoc Network
7FA203AE	IEEE Transactions on Vehicular Technology<---Performance analysis of delayed acknowledgment scheme in UWB-based high-rate WPAN
7ACB9BDE	IEEE Network<---The simple book: an introduction to networking management, revised second edition [Books]
6C4C1776	Wireless Communications and Mobile Computing<---Towards the performance evaluation of 4th generation wireless communication standards: LTE versus Mobile WiMAX
778CF31E	Information not present<---A joint random weighting method for physical layer security in wireless relay system
7C649F19	Information not present<---Managing interference through space-time codes, lattice reduction and network coding
814DDACA	Information not present<---Chaos g\'en\'er\'e par une non lin\'earit\'e 2D et une dynamique \`a retard
8150B543	IEEE Communications Magazine<---Cooperative Coded Video Multicast for IPTV Services under EPON-WiMAX Integration
273567E9	Information not present<---半導体プラズマエッチング技術の研究展開 : ASET 成果報告と技術展望
7F261727	Consumer Communications and Networking Conference<---SINR-Based Routing in Multi-Hop Wireless Networks to Improve VoIP Applications Support
7F0BDB71	Global Communications Conference<---A Cross-Layer ILP Formulation for Finding p-Cycles in All-Optical Networks
5C5E34C2	World of Wireless, Mobile and Multimedia Networks<---APP and PHY in harmony: Demonstrating scalable video streaming supported by flexible physical layer control
7B78FA80	ACM/IEEE International Conference on Mobile Computing and Networking<---Superposition coding for wireless mesh networks
7F681C07	Information not present<---Cross-layer scheme for WiMAX video streaming
783035BA	Information Sciences, Signal Processing and their Applications<---The impact of synthesizer transient response on OFDM radio receivers
80E25741	International Conference on Pervasive Computing<---Collision detection based on transmission time information in IEEE 802.11 wireless LAN
7EAE1818	Personal, Indoor and Mobile Radio Communications<---Carrier frequency synchronization in the downlink of 3GPP LTE
7B661956	Modeling Analysis and Simulation of Wireless and Mobile Systems<---Grand challenges for wireless sensor networks
81C524AF	Information not present<---OS09W0059 Wireless Strain Monitoring of Tires Using Electric Capacitance Changes
5A070BFE	Information not present<---MPA: Committees: Corporate Governance Committee reports - 22 Sep 06 (08)
803E4F5C	International Symposium on Computers and Communications<---A new design method for optical CDMA computer networks
7E2F322F	Ad Hoc Networks<---A framework for incentive compatible topology control in non-cooperative wireless multi-hop networks
755B515A	Information not present<---EPON-based intranet system
78FC08CA	IEEE Communications Magazine<---Introducing energy efficiency in the VDE 0885-763 standard for high speed communication over plastic optical fibers
7DB454B1	International Conference on Ultra Modern Telecommunications<---Realistic physical layer modelling for georouting protocols in wireless ad-hoc and sensor networks
80CC6C1E	International Conference on Computer Communications and Networks<---A New Perspective of Cross-layer Optimization for Wireless Communication over Fading Channel
7A17D55E	Information not present<---The monitoring and analysis of the Moye Island seas using situation based on remote sensing Island seas using situation based on remote sensing
7A4A6420	Information not present<---Performing traffic analysis on a wireless identifier-free link layer
7AB9E66B	Conference on Information Sciences and Systems<---On PHY-layer security of cognitive radio: Collaborative sensing under malicious attacks
7F15905D	Information not present<---Physical-layer attacks in all-optical WDM networks
5BD6F087	Information not present<---IMPLEMENTATION OF PICNET+ AS THE CONTROL NETWORK OF THE DISTRIBUTED CONTROL SYSTEM FOR THE NUCLEAR POWER PLANT
8060934E	Local Computer Networks<---Guaranteeing application-to-application deadlines in distributed real-time systems
801A7104	Computer Networks<---A survey on physical layer impairments aware routing and wavelength assignment algorithms in optical networks
7D357AD2	Information not present<---Optimal power allocation for space-time coded OFDM UWB systems
12CB6D7D	Information not present<---Apple Watch terá aplicativo para medir glicose em diabéticos
6146CF87	Computer Software and Applications Conference<---Design and Implementation of an On-Demand Home Power Management System Based on a Hierarchical Protocol
7E2A4572	International Conference on e-Business Engineering<---Adding physical optimization to cost models in information mediators
7F2494C3	Information not present<---CCK and Barker Coding Implementation in IEEE 802.11b Standard
7E807E9B	Information not present<---Blind estimation of transmit-power for multiple wireless sources
5EB3DA1B	Information not present<---A semi-physical simulation framework for multiple unmanned underwater vehicles
7F15AE91	Proceedings of the IEEE<---Enabling Accurate Cross-Layer PHY/MAC/NET Simulation Studies of Vehicular Communication Networks
80996FFB	Broadband Communications, Networks and Systems<---Study on link-level simulation in multi-cell LTE downlink system
7B4E02EB	Information not present<---Algorithmic methodologies for ultra-efficient inexact architectures for sustaining technology scaling
80C84357	Information not present<---The impact of cross-layer ressource management MAC-PHY in wireless OFDMA networks
7E786FBE	International Conference on Computer Communications<---New insights into the stochastic geometry analysis of dense CSMA networks
7A93B01F	Information not present<---Cross layer adaptive transmission in communication systems
806A5D61	Vehicular Technology Conference<---Impact of the MC-CDMA physical layer algorithms on the downlink capacity in a multi-cellular environment
7A6F65CF	Information not present<---Dual-windowed OFDM for cognitive radios
77EB9A8E	Aerospace Science and Technology<---EDA toolbox for VHF Data Link system simulation
7AEF6427	Information not present<---Optimal Bandwidth Allocation for Scalable H.264 Video Transmission Over MIMO Systems
7223F14E	Information not present<---An adaptive UWB modulation scheme for optimization of energy, BER, and data rate
7E0178C3	Information not present<---A Survey on Technical Issues in IEEE 802.16j Mobile Multi-hop Relay Networks
7D159DB5	Proceedings of SPIE<---Deploying optical performance monitoring in TeliaSonera's network
62F53049	International Conference on Communications<---Joint beamforming and handoff for traffic improvements in wireless networks
7F9D4EA8	Vehicular Technology Conference<---Dynamic MAC scheduling scheme for MPEG-4 based multimedia services in 802.15.3 high-rate networks
79746E8B	International Conference on Computer Communications<---Squeezing the most out of interference: An optimization framework for joint interference exploitation and avoidance
7F163A98	Information not present<---Investigation of a short-range underwater acoustic communication channel for MAC protocol design
7FD75436	IEEE Transactions on Consumer Electronics<---QoS-aware bridge for high-speed powerline communication and Ethernet
7BE9C86A	International Journal of Wireless Information Networks<---The WINNER (Wireless World Initiative New Radio) Project – Development of a Radio Interface for Systems Beyond 3G
7937EAF4	Mathematical and Computer Modelling<---Modeling environmental effects on directionality in wireless networks
7BFD8B35	Information not present<---Hardware implementation of Turbo coder in LTE system based on PICOCHIP PC203
0B7774B4	Mutation Research-genetic Toxicology and Environmental Mutagenesis<---Differences in the number of micronucleated erythrocytes among young and adult animals including humans: Spontaneous micronuclei in 43 species
5DF228F7	Information not present<---GEYSERS: A novel architecture for virtualization and co-provisioning of dynamic optical networks and IT services
8019FE2A	IEEE Transactions on Wireless Communications<---Multiuser detection based MAC design for Ad Hoc networks
7F4AAB90	Vehicular Technology Conference<---Handoff between asynchronous and synchronous systems
78A718CE	International Conference on Communications<---Improved channel assignment for WLANs by exploiting partially overlapped channels with novel CIR-based user number estimation
7D253A3D	International Conference on Networks<---A Protocol Model for Wireless Sensor Network
796FB97A	Information not present<---Everything converged — A flexible photonic home
5EC79EC8	Information not present<---Power-efficient joint resource allocation for multiuser wiretap OFDM channels
7826CCCB	Vehicular Technology Conference<---Cross-Layer Strategy for Maximizing Equilibrium Lifetime in Wireless Sensor Networks
79646653	International Conference on Acoustics, Speech, and Signal Processing<---ALOHA with Collision Resolution: Physical layer description and software defined radio implementation
7E844E88	IEEE Journal on Selected Areas in Communications<---Cross-layer scheduling with prescribed QoS guarantees in adaptive wireless networks
75EF7066	Advanced Materials Research<---Design of Control Console for Vessel Integrated Power Propulsion Subsystem
7F1121D2	Information not present<---Research on beyond 3G mobile communications
7653C361	Conference on Information Sciences and Systems<---On Modeling of 802.1lb Residue Errors
76C3DA2A	Information not present<---Increasing the Throughput of Wireless Mesh Networks with Cooperative Techniques
7FBE10E3	International Conference on Computer Communications<---Wrapping and merging reconfiguration mechanism of a counter-rotating dual ring
7F8898E0	Vehicular Technology Conference<---Variable orthogonality factor: a simple interface between link and system level simulation for high speed downlink packet access
7EE120C2	Advanced Information Networking and Applications<---IEEE 802.11 distributed coordination function : performance analysis and protocol enhancement
7FD0A420	Information not present<---MOBMAC - an energy efficient and low latency MAC for mobile wireless sensor networks
7D4AA215	International Conference on Wireless and Mobile Communications<---Mitigating 802.11 Mac Anomaly Using SNR To Control Backoff Contention Window
77456446	Wireless Communications and Networking Conference<---Analysis of the Non-Transparent In-Band Relays in the IEEE 802.16 Multi-Hop System
7F73710A	IEEE Transactions on Signal Processing<---On the Structure of the Multiuser QoS Region
7CA340DE	Symposium on Cloud Computing<---Design of a downlink baseband receiver for IEEE 802.16E OFDMA mode in high mobility
779F9A7E	Information not present<---Research and realization of KQML in Multiagent Cooperative Information System
7E3A1108	IEEE Journal on Selected Areas in Communications<---Channel modeling and system performance for HomePNA 2.0
0479D37E	Information not present<---Physical Layer Signaling for the Next Generation Mobile TV Standard DVB-NGH
7780657E	Information not present<---Distributed radio relay for communication and control with physical-layer security in smart grid
7EDF81E9	Information not present<---Throughput Comparison of CSMA and CDMA slotted ALOHA in Inter-Vehicle Communication
80F08373	IEEE Transactions on Consumer Electronics<---A fiber optic home automation system
7F58E837	International Symposium on Electronic Commerce and Security<---Research on the Access Control Protocol of WiMAX
7A010AFD	Biomedical Instrumentation & Technology<---The study and design of a wireless ECG monitoring system.
7B885769	IEEE Transactions on Wireless Communications<---Cross-Layer Multi-Packet Reception Based Medium Access Control and Resource Allocation for Space-Time Coded MIMO/OFDM
7E481F58	Information not present<---Photonic technologies for new generation network
7DC48F1F	Information Systems Management<---Cross-Layer Design for Multimedia Delivery over Wireless Networks
7E0E5D4B	IEEE\/ACM Transactions on Networking<---An optimal algorithm for relay node assignment in cooperative ad hoc networks
7EB23696	Autonomous Agents and Multi-Agent Systems<---Towards Truly Agent-Based Traffic and Mobility Simulations
83B21425	Local Computer Networks<---A survey: Spoofing attacks in physical layer security
7CE54589	Information not present<---AOP based QoS monitoring of dynamic web service compositions
80C30391	Information not present<---Research progress on soil water monitor and its intelligent model
7DA6B659	Wireless Communications and Networking Conference<---Modeling single-hop wireless networks under Rician fading channels
786DC1D2	International Conference on Computer Communications<---Mobility Assisted Secret Key Generation Using Wireless Link Signatures
7F095101	Custom Integrated Circuits Conference<---Multi-protocol embedded PCS IP in a FPGA-SOC
80167F49	Information not present<---Cross-Layer Design Challenges for Quality of Service Guarantees in Satellite Networks
7FD44A18	Hawaii International Conference on System Sciences<---Friendly and efficient message handling
7E7A3FF1	Global Communications Conference<---Node Localization in Wireless Networks through Physical Layer Network Coding
7E98E945	Vehicular Technology Conference<---An overhead controlled MAC protocol for high data-rate wireless networks
01B2080C	Personal, Indoor and Mobile Radio Communications<---A Prediction-Based Smoothing Scheme for Real-Time Video Transmission in 3G CDMA Systems
7F8F581B	Global Communications Conference<---Cognitive Network Inference through Bayesian Network Analysis
78C9418D	Vehicular Technology Conference<---Practical Full Duplex Physical Layer Network Coding
7F858D12	IEEE Transactions on Vehicular Technology<---Performance Analysis of Video Transmission Over IEEE 802.11a/e WLANs
7CCF7D4E	Information not present<---Reflectrometry based fault localization in automotive bus systems
7E4933AE	IEEE Transactions on Information Theory<---Joint Design and Separation Principle for Opportunistic Spectrum Access in the Presence of Sensing Errors
781CF1BF	Journal of Instrumentation<---Design and verification of a bit error rate tester in Altera FPGA for optical link developments
0633710D	Information not present<---Link Level Evaluation Platform with Space-time Processing for UMTS TDD
5DFAE382	Personal, Indoor and Mobile Radio Communications<---Analysis of closed loop power control modes in UTRA-FDD under time varying multipath channels
5B6708DE	Asian Internet Engineering Conference<---Efficient Selection of Multipoint Relays in Wireless Ad Hoc Networks with Realistic Physical Layer
66FDA393	Clinical Orthopaedics and Related Research<---On Wireless Link Scheduling and Flow Control
752091F9	Conference on Information Sciences and Systems<---Privacy preserving node selection: A physical layer approach
7DBDEAE7	Information not present<---Wireless physical layer security using encryption and channel pre-compensation
253990D9	Information not present<---HACIA UN REGULADOR DE TRAFICO EUROPEO QUE INTEGRE SISTEMAS AVANZADOS DE SENSORIZACION Y CONTROL
6EFCC91B	Information not present<---Design, transport performance study and engineering of a 11 Tb/s US mesh metro network
76A3A83E	ACM/IEEE International Conference on Mobile Computing and Networking<---ParCast: soft video delivery in MIMO-OFDM WLANs
7A53DE6D	Wireless Communications and Networking Conference<---Preventing wormhole attacks using physical layer authentication
7D015DAE	Personal, Indoor and Mobile Radio Communications<---WASP: a transparent wireless ATM access demonstrator
7FE87937	World of Wireless, Mobile and Multimedia Networks<---Impact of packet aggregation on TCP performance in Wireless Mesh Networks
6AFD9548	Information not present<---Downlink performance and complexity evaluation of equalisation strategies for an MC-CDMA â€˜4Gâ€™ physical layer candidate
7F5F8739	IEEE Transactions on Wireless Communications<---A CDMA-based Medium Access Control for UnderWater Acoustic Sensor Networks
7F3DD64F	Vehicular Technology Conference<---Cross-Layer Flow Control and Dynamic Resource Allocation in Overlay Cognitive Radio Networks
85C3184B	Simulation, Modeling, and Programming for Autonomous Robots<---Scripting the swarm: event-based control of microcontroller-based robots.
803F3066	Information not present<---Throughput and capacity of MIMO WiMAX
7E3D487D	Logistics Information Management<---Tracking and tracing: a structure for development and contemporary practices
7C977AD7	International Conference on Communications<---SecDCF: An Optimized Cross-Layer Scheduling Scheme Based on Physical Layer Security
7E7398BE	ACS/IEEE International Conference on Computer Systems and Applications<---Advanced research on wireless LANs operating at EHF frequency band
7CF04527	IEEE Transactions on Wireless Communications<---Performance Analysis of Analog Network Coding with Imperfect Channel Estimation in a Frequency-Selective Fading Channel
7F71ABA7	Mobile Ad Hoc Networking and Computing<---Connectivity in cooperative wireless ad hoc networks
3165D736	Information not present<---O descoperire importantă face monitorul color cu un consum ultra-redus de energie o realitate
5A4819DF	Information not present<---Increasing Security in the Physical Layer of Wireless Communication
7F4D5C61	Eurasip Journal on Wireless Communications and Networking<---Performance analysis of distributed cluster-based MAC protocol for multiuser MIMO wireless networks
5ACC102F	Information not present<---Assertion support in high-level synthesis design flow
75F22322	Information not present<---A dynamically reconfigurable architecture enabling all-digital transmission for cognitive radios
587AFCE6	Information not present<---Quality of service oriented analysis of cross-layer design in wireless ad hoc networks
7D7DEAF1	Physics-Uspekhi<---Distributed beam loss monitor based on the Cherenkov effect in an optical fiber
10903B64	Information not present<---Management Essentials for Doctors: External regulators
5C23B90B	Conference on Decision and Control<---Blind GSM channel estimation under channel coding conditions
80DDEBAB	IEEE Communications Magazine<---A Measurement Study of Time-Scaled 802.11a Waveforms Over The Mobile-to-Mobile Vehicular Channel at 5.9 GHz
7E60CC86	Field-Programmable Custom Computing Machines<---A pipelined SoPC architecture for 2.5 Gbps network processing
78EAC2F6	Information not present<---Effective channel perturbation based on cyclic delay for physical layer security in OFDM systems
7D52FCED	Information not present<---Performance evaluation of path loss models for mobile Underwater Acoustic Sensor Networks
7603A2C2	International Symposium on Computer Architecture<---Address size independence in a 16-bit minicomputer
61E40290	Information not present<---Italian Grid Infrastructures
7503BAB7	Personal, Indoor and Mobile Radio Communications<---Coarse frame synchronisation for OFDM based wireless communication systems
7B73E5C4	Information not present<---Performance study of a new crosslink-aided User Range Accuracy (URA) integrity monitor algorithm for LPV-200
8067485D	Information not present<---ESS DTL status: redesign and optimizations
78FD9BF5	Computer Communication Review<---The ATM physical layer
80E97FB0	Workshop on Parallel and Distributed Simulation<---Scalable versus Accurate Physical Layer Modeling in Wireless Network Simulations
09F0D9D9	Information not present<---DISTI | VIJESTI - Stižu novosti iz Dell-a: Latitude serija laptopa obogaćena sa 5th generacijom Intel procesora
787303F2	Information not present<---Impairment-aware network performance of 40Gbps, 16-λ IP/GMPLS over WDM system
7F396344	Information not present<---Cross-Layer Design for Multi-power, Multi-interface Routing in Wireless Mesh Networks
746199A8	Information not present<---Applying modern technology to save a historic warship: the Monitor National Marine Sanctuary
80530208	Information not present<---A Survey of Wireless Streaming Media Technologies
7DEC8D03	Ad Hoc Networks<---Adaptive cross-layer MAC design for improved energy-efficiency in multi-channel wireless sensor networks
611C06C5	Clinical Orthopaedics and Related Research<---Principles of Physical Layer Security in Multiuser Wireless Networks: A Survey
7F9BE556	Vehicular Technology Conference<---Investigation of hybrid ARQ performance for TDD CDMA HSDPA
7A7D4F7A	IEEE Microwave Magazine<---Of cellular phones and the need for speed [review of "WCDMA Design Handbook"; )Riddle, A.; 2005)]
7EB007C8	Information not present<---Physical layer design automation for RFID systems
80C52616	IEEE Transactions on Communications<---Integrated Cooperative Opportunistic Packet Forwarding and Distributed Error Control in MIMO Ad Hoc Networks
5CEB2500	Information not present<---Secure robust resource allocation using full-duplex receivers
811BE300	Wireless Communications and Networking Conference<---Towards Optimal Multimedia Packet Bursting for IEEE 802.11 Wireless LANs
7DC11444	Information not present<---Bio-Medical Sensing using Ultra Wideband Communications and Radar Technology: A Feasibility Study
8145255D	IEEE Transactions on Wireless Communications<---On Ergodic Secrecy Rate for Gaussian MISO Wiretap Channels
7F560F5A	Wireless Communications and Networking Conference<---Decomposition Methods for Cross-Layer Optimization in Wireless Networks
5E6E56CD	Information not present<---MAC protocols and transport capacity in ad hoc wireless networks: Aloha versus PR-CSMA
5B2A305C	Information not present<---An overview of ETSI TC SmartBAN's ultra low power physical layer
441C09A5	Information not present<---Golden July marks “return to form” for retailers
5B56836A	Information not present<---Effects of adaptive subcarrier modulation on MAC operation in OFDMA-PONs
75BA088B	Wireless Personal Communications<---MIMO Based Radio Resource Management for UMTS Multicast Broadcast Multimedia Services
78032484	Frontiers of Electrical and Electronic Engineering in China<---Delay optimal cognitive multiple access: a superposition coding approach
6E8F0A03	Embedded and Ubiquitous Computing<---A cross layer time slot reservation protocol for wireless networks
7DD1BAB9	IEEE Transactions on Vehicular Technology<---Connectivity Requirements for Self-Organizing Traffic Information Systems
79069771	Global Communications Conference<---A secret key generation method based on CSI in OFDM-FDD system
7EBF42F7	Information not present<---Adaptive Delayed Channel Access for IEEE 802.11n WLANs
862DBA9D	Information not present<---DISTI | VIJESTI - Dell Unveils First All Powerful Ultra Mobile Gaming System, Next Generation Smart Phones, Tab
333C3FAF	Information not present<---System diagnostyki pokładowej OBD w pojazdach samochodowych
77EA8212	Critical Care<---Clinical review: Consensus recommendations on measurement of blood glucose and reporting glycemic control in critically ill adults
7B02A69F	Information not present<---Application-layer Codec Adaptation for Dynamic Bandwidth Resource Allocation
7CDE2E3B	Global Communications Conference<---Distributed Energy-Efficient Cooperative Routing in Wireless Networks
7D299A46	International Conference on Network Protocols<---Towards Coding-Efficient Link-Scheduling and Coding-Aware Routing in Wireless Networks
5F9590CF	Information not present<---A functional enhancement methodology to JTAG controller in complex SOC
751FE162	Information not present<---UMICore — A mobile radio physical layer demonstrator
5F9CE06C	Information not present<---Wireless Networking Basic Aspects
7DECEE16	Information not present<---Implementation, verification and synthesis of the Gigabit Ethernet 1000BASE-T physical coding sublayer
7F0E0397	Computer Systems: Science & Engineering<---A Software Framework for Online Mobile Games
8152EB14	Information not present<---Distributed QoS Control for Link Adaptive Wireless LANs
80FEE4BC	IEEE Journal of Solid-state Circuits<---A 16 Gb/s/Link, 64 GB/s Bidirectional Asymmetric Memory Interface
75BB1AB8	Information not present<---Reconfigurable platforms for ubiquitous computing
814BC1DE	Journal of Lightwave Technology<---Theoretical Analysis and Experimental Investigation on the Confidentiality of 2-D Incoherent Optical CDMA System
779B7F63	International Conference on Wireless and Mobile Communications<---Pilot Pattern Adaptation and Channel Estimation in MIMO WiMAX-like FBMC System
7E951D42	Information not present<---Power-aware, bandwidth-aware and video-quality-aware cooperative routing algorithm for 3D video transmission in wireless networks
7C3FE850	Information not present<---Research in security of optic-based Information Communication architecture for next generation power system applications
8081A83C	Information not present<---Asymmetric throughput in IrDA links
82F5B3FB	Information not present<---Secure frame format for avoiding replay attack in Distributed Network Protocol (DNP3)
7F1FF703	Consumer Communications and Networking Conference<---The Impact of the DOCSIS 1.1/2.0 MAC Protocol on TCP
80EB2619	Journal of Optical Networking<---Optical packet routers: how they can efficiently and cost-effectively scale to petabits per second [Invited]
5B39BAE5	Information not present<---Data Communications Basics
75FE2FB5	Information not present<---Performance considerations for efficient multimedia streaming in wireless local area networks
5F9690EE	Information not present<---Wireless Underwater Sensor Networks
7B453B05	Information not present<---Receiver based capacity enhancement with cross-layer design approach for IEEE 802.11 ad-hoc networks
786D2F49	Information not present<---On M_bus communication protocol for intellectual heat meter in open control system
5B76CD68	Information not present<---Next‐Generation Ethernet Passive Optical Networks: 10G‐EPON
7D52A568	Asia Pacific Conference on Circuits and Systems<---Electronic Shelf Label System based on public illuminating network
076CBDD5	Information not present<---A Layered Approach for Designing Multiple User Interfaces from Task and Domain Models
7D91EB94	International Conference on Communications<---Delay Bounds for Resource Allocation in Wideband Wireless Systems
7D114CBD	Vehicular Technology Conference<---Enhancing MAC Performance with a Reverse Direction Protocol for High-Capacity Wireless LANs
79A715CB	Information not present<---Parameter optimization of EPON physical layer and the performance analysis for burst mode receiver
701CA17D	Mobile and Wireless Communication Networks<---Evaluation of user capacity and channel model effect in HiperLAN/2 system
7858F0C0	ACM/IEEE International Conference on Mobile Computing and Networking<---Opportunistic media access for multirate ad hoc networks
7FCC2ED1	Information not present<---Embedded deterministic test
6120F06C	Clinical Orthopaedics and Related Research<---Joint Scheduling and ARQ for MU-MIMO Downlink in the Presence of Inter-Cell Interference
75864029	Wireless Communications and Networking Conference<---A universal MIMO approach for 3GPP wireless standards
7F1EB077	IEEE Transactions on Consumer Electronics<---A token passing network for powerline communications
802CE88E	International Conference on Communications<---Physical layer study of high penetration paging for cellular systems
7B778DA0	International Conference on Communications<---Optimal rate allocation and power control in wireless ad hoc networks with random access
78BE5840	Wireless Personal Communications<---A New Modulation for Intrinsically Secure Radio Channel in Wireless Systems
7F772485	International Symposium on Visual Computing<---Physical layer IEEE 802.11 channel occupancy rate estimation
7B1FBC7D	International Conference on E-Business and Telecommunication Networks<---Studying media access and control protocols
74B79E2B	Information not present<---Applying remote sensing and GIS on monitoring and measuring urban sprawl. A case study of China
7EBDB2A9	International Conference on Computer Communications<---A New ACK Policy To Mitigate the Effects of Coexisting IEEE 802.11/802.11e Devices
59EBE825	Information not present<---Multi-phase transmission for secure cognitive radio networks
792772D0	Information not present<---Energy Efficient Approach for Emergency Readiness Communications in Wireless Ad-hoc Networks
80BE5452	Information not present<---Polymer-Optical-Fiber data bus technologies for MOST applications in vehicles
7ED23C54	Information not present<---Waveform design considerations for transmission of digital voice over HF
05C13ADD	Information not present<---Physical-layer identification of RFID devices
78E2D565	Information not present<---Mobile Digital Baseband: From Configurable to Evolutive Platforms
769B4052	Information not present<---Detection and mitigation of soft failure due to polarization-mode dispersion in optical networks
81048D7F	Information not present<---Fiber Bragg grating sensors for infrastructure sensing
80349B3E	IEEE Transactions on Wireless Communications<---Retransmission diversity schemes for multicarrier modulations
77CC85FA	International Conference on Parallel and Distributed Systems<---Routing table status influence of Monitoring Kad
6CE0C0BB	International Symposium on Circuits and Systems<---IEEE1394 system simulation environment and a design of its link layer controller
7D21C639	Workshops on Enabling Technologies: Infrastracture for Collaborative Enterprises<---Using Soft Real-Time Simulation in a Hybrid Environment for Cyber-Physical Security Experiments
780D872C	Applied Mechanics and Materials<---Discussion on the Technology Application of OFDM in the Ad-Hoc Network of Unmanned Aerial Vehicle (UAV)
7F6CCA57	IEEE Transactions on Broadcasting<---Acquisition Algorithms and Structures for STiMi Receiver
7DBE1635	Global Communications Conference<---Markov models for the physical layer block error process in a WCDMA cellular system
7991B3F9	IEEE Transactions on Mobile Computing<---QoS-, Queue-and Channel-Aware Packet Scheduling for Multimedia Services in Multiuser SDMA/TDMA Wireless Systems
7F79BBE9	Information not present<---A test bed for wireless optical LANs
7F32FB72	IEEE Journal on Selected Areas in Communications<---Distributed topology construction of Bluetooth wireless personal area networks
8092843B	Information not present<---Proposal of implementation of the "data link layer" of PCI-express
7C296F92	Information not present<---Secure OFDM-UWB communication based on phase hopping
7992026B	Clinical and Laboratory Haematology<---Accuracy, reproducibility and clinical utility of the CoaguChek S portable international normalized ratio monitor in an outpatient anticoagulation clinic
7AAC8BF0	Physical Review A<---Reducing sequencing complexity in dynamical quantum error suppression by Walsh modulation
792287F7	Wireless Communications and Networking Conference<---MonoPHY: Mono-stream-based device-free WLAN localization via physical layer information
7E99FEE4	ACM/IEEE International Conference on Mobile Computing and Networking<---WiFi-Nano: reclaiming WiFi efficiency through 800 ns slots
80E56436	International Performance, Computing, and Communications Conference<---Enhanced Scanning Scheme for Delay-Constrained Fast Handoff in IEEE 802.11 WLANs
5D9D420C	Information not present<---A bus on a diet-the serial bus alternative-an introduction to the P1394 High Performance Serial Bus
7C534272	Information not present<---A five layer model for simulating a virtual power plant
7590F27E	Computer Networks<---WLESS-frame: a simulation-based development environment for 802.11 stations
7C43030F	Broadband Communications, Networks and Systems<---A cross-layer scheduling scheme for wireless multimedia transmissions with adaptive modulation and coding
80E9E4F8	International Journal of Next-generation Networks<---CROSS LAYER AWARE ADAPTIVE MAC BASED ON KNOWLEDGE BASED REASONING FOR COGNITIVE RADIO COMPUTER NETWORKS
75C14D3F	Measurement Science and Technology<---Miniaturized digital fluxgate magnetometer for small spacecraft applications
25D6F20A	Information not present<---DISTI | VIJESTI - Dell predstavio nove proizvode
7C45552B	Journal of Veterinary Emergency and Critical Care<---Evalution of an Epidural Intracranial Pressure Monitoring System in Cats
58BF8740	Integrated Network Management<---An access point selection mechanism based on cooperation of access points and users movement
7D4337FE	Information not present<---Wireless physical layer security using channel state information
7E8EDA66	Computer Aided Modeling and Design of Communication Links and Networks<---Multicast performance bounds exploiting cooperative Physical Layer Network Coding
79CA2930	Information not present<---On performance of MIMO-OFDM based LTE systems
816BE8B4	Information not present<---DVB-RCS return link Radio Resource Management for Broadband Satellite systems using fade mitigation techniques at Ka band
761F37E4	Computers & Electrical Engineering<---Iterative decision feedback equalizer with cyclic detection for DFT-S OFDM system
8161BCF5	World of Wireless, Mobile and Multimedia Networks<---MAC FER-based codec adaptation for multimedia streaming over wireless networks
5D9E02A6	Information not present<---Toward Multimedia Applications on the STARNET WDM Network
5C604412	Information not present<---Security Mechanisms And Their Performance Impacts On Wireless Local Area Networks
76A19983	Virus Research<---Porcine reproductive and respiratory syndrome virus (PRRSV) in serum and oral fluid samples from individual boars: will oral fluid replace serum for PRRSV surveillance?
7950FC43	Vehicular Technology Conference<---Cross-Layer Adaptation with Coordinated Scheduling for Heterogeneous Wireless Networks
264FCA67	Information not present<---DISTI | VIJESTI - Dell UltraSharp U2211H and U2311H
7C1BF292	International Conference on Computer Communications<---Use your frequency wisely: Explore frequency domain for channel contention and ACK
5C6E240A	Testbeds and Research Infrastructures for the DEvelopment of NeTworks and COMmunities<---Performance evaluation of recovery techniques in a grid oriented Metrocore/VESPER field trial
7D687603	Personal, Indoor and Mobile Radio Communications<---Cooperative beacon-free MAC layer for body area networks
7BEF1854	IEEE Circuits & Devices<---Fiber optic backbone boosts local-area networks
7F47917A	Medical Science Monitor<---Pollen aero allergens and the climate in mediterranean region and allergen sensitivity in allergic rhinoconjunctivitis and allergic asthma patients
7AAC87DD	Environmental Science and Information Application Technology<---The study and analysis of MIMO technology based on LTE physical layer
81000304	Information not present<---Quality of service oriented spatial processing in the Manhattan grid
