76D5BB2B	Information not present<---Application of Code Combining to a Selective-Repeat ARQ Link
7E85E12A	Proceedings of the IEEE<---Universal digital portable radio communications
59B1B52E	Information not present<---Spatial Reuse through Dynamic Power and Routing Control in Common-Channel Random-Access Packet Radio Networks
7CC75938	IEEE Journal on Selected Areas in Communications<---ATM-based transport architecture for multiservices wireless personal communication networks
77BBC346	ACM/IEEE International Conference on Mobile Computing and Networking<---Improving TCP/IP performance over wireless networks
7E8592DA	IEEE Transactions on Communications<---Convolutional Codes and Their Performance in Communication Systems
7909B65D	IEEE Communications Magazine<---Broadband CDMA for personal communications systems
815A83FB	Vehicular Technology Conference<---Variable-rate sub-band speech coding and matched channel coding for mobile radio channels
7F7AE557	IEEE\/ACM Transactions on Networking<---Loop-free routing using diffusing computations
7FA1F54F	IEEE Transactions on Vehicular Technology<---Traffic model and performance analysis for cellular mobile radio telephone systems with prioritized and nonprioritized handoff procedures
7C3860B0	Communications of The ACM<---Some computer science issues in ubiquitous computing
78160F17	IEEE Transactions on Communications<---On Improving Utilization in ALOHA Networks
5AB6FD98	International Conference on Telecommunications<---Synchronized reconfiguration of a group of mobile nodes in ad-hoc networks
80982FFC	IEEE Transactions on Mobile Computing<---Dynamic Source Routing in Ad Hoc Wireless Networks
0BEE9FDB	IEEE Transactions on Communications<---Another adaptive shortest-path algorithm
7EC30826	IEEE Communications Magazine<---Teletraffic modeling for personal communications services
5FCECED5	Information not present<---Hierarchical routing for large networks
7C77F3CA	Computer Communication Review<---IP-based protocols for mobile internetworking
7FA783BB	Computer Communication Review<---A stop-and-go queueing framework for congestion management
6CCA5533	Information not present<---A model for teletraffic performance and channel holding time characterization in wireless cellular communication
