794848A1	The absorption spectrum of C2HD between 9 000 and 13 000 cm-1
7BCB3496	Integrability conditions for the Fourier transform
80BF804E	Time domain analysis of thin‐wire antennas over lossy ground using the reflection‐coefficient approximation
766A0D80	High-order derivatives of Green’s functions in magneto-electro-elastic materials
7ABD7B3A	Digital image processing of crystalline specimens examined by electron microscopy
808D6EBE	Fourier transform representation of the extended Fermi–Dirac and Bose–Einstein functions with applications to the family of the zeta and related functions
802274CF	Frequency domain identification of processes with output drift
7B490DB4	The structure of phenol(H2O) obtained by microwave spectroscopy
7E69339B	Noncoherent anti-interference receivers for DS/SS signals
7F58D8C0	An analogue of Hardy's theorem for the Harish-Chandra transform
80EF039B	An automatic inspection system for hologram with multiple patterns
78C69C8F	Bias voltage dependent electrochemical impedance spectroscopy of p- and n-type silicon substrates
7A7EC44F	Effects of zero-filling and apodization on spectral integrals in discrete Fourier-transform spectroscopy of noisy data
792B9D9A	Optical image encryption based on multifractional Fourier transforms
80FFE1B8	A Novel Fingerprint Enhancement Method Based on Gabor Filtering
7C45BEF1	Wavelet analysis of digital shearing speckle patterns with a temporal carrier
7567BC12	Bacteriochlorophyll-protein interaction in the light-harvesting complex B800-850 from Rhodobacter sulfidophilus : A Fourier-transform Raman spectroscopic investigation
79DD4F0D	The reverberation-ray matrix and transfer matrix analyses of unidirectional wave motion
798930C9	An Ewald Transformation of Frequency Domain Integral Formulations
7F572CED	Pattern playback from 1950 to 1995
7E3378CA	A Quantitative Study of Pitfalls in the FFT
7F79EA7D	Evaluation of rock bolt integrity using Fourier and wavelet transforms
76C3AAB2	Fast transform from an adaptive multi-wavelet representation to a partial Fourier representation
7C4F19A9	Fourier transform infrared spectroscopy and ab initio theory of acid–hydrogen sulfide clusters: H2S–HCl, D2S–DCl and H2S–(HCl)2
7C612998	Optimal biorthogonal wavelet bases for signal decomposition
8012154C	Automated image analysis method for quantifying damage accumulation in tendon
7C73183D	On Control Memory Minimization in Microprogrammed Digital Computers
815106CD	Comparison of stratification and adaptive methods for treatment allocation in an acute stroke clinical trial
78274B1C	A new look at the method of variable nutation angle for the measurement of spin-lattice relaxation times using fourier transform NMR
7F3A8040	Multiresolution edge detection in noisy images using wavelet transform
85019DF9	Leaf classification from binary image via artificial intelligence
76A26AED	Application of Two-Dimensional Pulsed EPR Nutation Spectroscopy to a Disordered System with Large g-Anisotropy
7A0B2768	Vibrational spectroscopic investigation of Australian cotton cellulose fibres Part 1. A Fourier transform Raman study†
7BB992E9	Basic wavelet theory
7BC36F10	Acoustooptic spectrum analyzer: detection of pulsed signals.
79B37463	A Nonrecursive Equation for the Fourier Transform of a Walsh Function
7A018C42	Non-uniform frequency domain for optimal exploitation of non-uniform sampling
809CEFFB	Development of Fourier transform spectrometry for UV–visible differential optical absorption spectroscopy measurements of tropospheric minor constituents
7C58209B	Analysis of non‐stationary electric signals using the S‐transform
76BD4EA6	Automated surface inspection for directional textures
7883BDAC	Self-broadening, self-shift and self-mixing in the ν 2 , 2 ν 2 and ν 4 bands of NH 3
75BB939B	Dual-axis tomography: an approach with alignment methods that preserve resolution.
7D71E7CF	A Novel Algorithm for Apodization and Super-Resolution in Fourier Imaging
77233638	ANALYSIS OF ADIPATE ESTER CONTENTS IN POLY(VINYL CHLORIDE) PLASTICS:BY MEANS OF FT-RAMAN SPECTROSCOPY
7A271CFD	Rotational spectrum, structure, and intramolecular force field of the ArClCN van der Waals complex
79C03A6E	Condition monitoring and fault detection of wind turbines and related algorithms: A review
7F11BD1E	Multiple moving targets ISAR imaging based on discrete match fourier transformation
755C89A0	Selective surface modification of syndiotactic polystyrene films: A study by Fourier transform- and confocal-Raman spectroscopy
75E6B5F1	Technical developments for an upgrade of the LEBIT Penning trap mass spectrometry facility for rare isotopes
76365CC5	Fourier transform Raman optical activity
81049188	A Fast Numerical Scheme for Computing the Response of Composites Using Grid Refinement
764AE471	Generalized thermoviscoelastic interaction due to periodically varying heat source with three-phase-lag effect
792D2AC1	Exhaustive family of energies minimizable exactly by a graph cut
7D56105B	The application of two-dimensional signal transformations to the analysis and synthesis of structural excitations observed in acoustical scattering
75B64106	Interferogram analysis using a Fourier transform method for automatic 3D surface measurement
7CEAED99	Sequestration of Sr(II) by calcium oxalate—A batch uptake study and EXAFS analysis of model compounds and reaction products
79DC5CDD	Investigation of the interaction of two collinear cracks in anisotropic elasticity materials by means of the nonlocal theory
7FFB52F0	Higher order evolutionary spectral analysis
5E80E4BE	Structural local DCT sparse appearance model for visual tracking
79241074	Matching-pursuit/split-operator-Fourier-transform simulations of excited-state nonadiabatic quantum dynamics in pyrazine
7EF12529	Robustness of oversampled Gabor transient detectors: a comparison of energy and known location detectors
8149E30F	Closed-form discrete fractional and affine Fourier transforms
79BEA4CA	Development of Particle Image Velocimetry for Multiphase Flow Diagnostics
7DEC2811	Statistical modeling of signal amplitude fading of indoor radio propagation channels
5D7C907D	Noisy cyclo-stationary BSS using frequency-domain pseudo-correlation
5F80274F	Convolutive blind separation of non-white broadband signals based on a double-iteration method
80AD0CD5	Spectral Decomposition of Seismic Data with Continuous-Wavelet Transform
791C3A25	Poling Quality Evaluation of Optical Superlattice Using 2D Fourier Transform Method
7D7F6BB5	On the aliasing error in wavelet subspaces
7848B814	Rotational spectrum of a weakly bound dimer of formaldehyde and acetylene: Identification and characterization of a bridged planar form involving two nonlinear hydrogen bonds
7C3F8CDE	High-Performance Hybrid SAW Chirp-Fourier-Transform System
7AAC39A2	Gaussian-based first-principles calculations on large systems using the Fourier Transform Coulomb method
7AEF846F	A new approach for the estimation of the axial velocity using ultrasound
7991FC6C	The effect of internal voids in membrane proteins: high-pressure study of two photochemical reaction centres from Rhodobacter sphaeroides
7820065F	Autoregressive Moving Average Spectral Estimation: A Model Equation Error Procedure
7C8535A4	Minimization of the root of a quadratic functional under a system of affine equality constraints with application to portfolio management
7ADA5A95	Fourier transform wavemeter
7FA7F3D8	Dispersive Fourier Transform Spectrometry with Variable-Thickness Variable-Temperature Liquid Cells
7C19A1FD	Comparing the Power of Robots
7DBDA330	Recent advances in analog signal processing
7AB1D415	Diffraction by a rectangular groove with resistive walls
7E02202D	A Fourier transform-based sidelobe reduction method in ultrasound imaging
76A2F372	Visible‐ultraviolet absorption cross sections for NO2 as a function of temperature
8000D072	A note on aliasing in higher order spectra
7F177997	An investigation of the quadrupole coupling of two N nuclei in the complex pyrimidine–Ar by molecular beam Fourier transform microwave spectroscopy
79C3F649	Generalizing a quantum-well infrared single-pixel polarimeter (QWISPP) to Fourier transform spectral-polarimetric imaging
801BBE3B	Study on Generalized Analysis Model for Fringe Pattern Profilometry
753ACB34	Boat-Wake Statistics at Jensen Beach, Florida
77B48D5E	On the bispectrum concept for random processes
804C2E27	Maximum entropy power spectrum estimation of signals with missing correlation points
7E7B4B85	Boundary normalization for recognition of non-touching non-degraded characters
7EEDA641	A molecular beam Fourier transform microwave study of 0-tolunitrile: 14N nuclear quadrupole coupling and methyl internal rotation effects
76C8FAE3	Five-component food-grade microemulsions: structural characterization by SANS
7D8D2CDA	Silicon molecules in space and in the laboratory
76215FC7	Randomization of the Fourier transform
7E0EF821	Ripplet: A new transform for image processing
758F6074	A family of nonseparable scaling functions and compactly supported tight framelets
7ECBB689	Analysis of the geometry of a holographic memory setup
76D62105	The rotational spectrum, H, 19F nuclear spin–nuclear spin coupling, D nuclear quadrupole coupling, and molecular geometry of a weakly bound dimer of carbon monoxide and hydrogen fluoride
80D7DC2E	A New Solution for Characterizing Electromagnetic Scattering by a Gyroelectric Sphere
7AB1463D	Dual Fabry–Perot filter for measurement of CO rotational spectra: design and application to the CO spectrum of Venus
7F2AEA79	Through-wall imaging (TWI) by radar: 2-D tomographic results and analyses
7F7F7EEB	Signal Recovery With Cost-Constrained Measurements
81361CFD	A Unique “Nonnegative” Solution to an Underdetermined System: From Vectors to Matrices
7CC8CA1F	Spectral Fluorescence Imaging for Quantitative Diagnosis and Mapping of Dental Fluorosis Affected Tooth Surfaces
75C82D08	H+O3 Fourier‐transform infrared emission and laser absorption studies of OH (X 2Π) radical: An experimental dipole moment function and state‐to‐state Einstein A coefficients
7C1933DD	A New Approach to Two-dimensional Phase Retrieval
7CD0C75D	Fourier transform microwave spectroscopic investigation of a very weakly bound ternary complex: OCS–He 2
78DA9384	Simulation of four-wave mixing signals by a perturbative approach: Application to ultrafast two-dimensional infrared spectroscopy
78BA061E	Fourier transform microwave spectrum of CO-dimethyl ether
7B4BFEBE	The Path-Connectivity of s-Elementary Frame Wavelets with Frame MRA
7D898271	Characteristics and error estimation of stratospheric ozone and ozone-related species over Poker Flat (65° N, 147° W), Alaska observed by a ground-based FTIR spectrometer from 2001 to 2003
7BA6A05E	Fourier Transform Raman spectroscopy — a tool for inorganic, organometallic and solid state chemists?
7B83DA70	DISPERSIVE FOURIER TRANSFORM MEASUREMENTS ON OPAQUE SOLIDS FROM 5 TO 350 cm 1
770C3C39	Structural changes in conducting form of polyaniline upon ring sulfonation as deduced by near infrared resonance Raman spectroscopy
7E007070	Harmonical characterization of a microstrip bend via the finite difference time domain method
7E897E15	ISAR Image Reconstruction of Accelerated Motion Using Matching Pursuits
78598F4A	The reconstruction of a band-limited function and its Fourier transform from a finite number of samples at arbitrary locations by singular value decomposition
811C4FB3	Universal approximation bounds for superpositions of a sigmoidal function
7A27FD1C	Interference rejection techniques in spread spectrum communications
8132EF24	Analytical solutions to the 2D elasticity and thermoelasticity problems for inhomogeneous planes and half-planes
763A20F6	An Improved Form of Linogram Algorithm for Image Reconstruction
7AA3AC1A	Weak Line Water Vapor Spectra in the Region 13 200–15 000 cm −1
7ACF3621	Interfacial cracks between piezoelectric and elastic materials under in-plane electric loading
7607BB26	An evaluation of the classical and extended Rossby wave theories in explaining spectral estimates of the first few baroclinic modes in the South Pacific Ocean
5C30EA03	Adaptive fractional fourier transform-based detection algorithm for moving target in heavy sea clutter
8023CF93	The N-dimensional complex delta distribution
79B770AC	A New Algorithm for Automatic Double Bright Fringe of Multiple-Beam Fizeau Fringe Skeletonization Using Fourier Transform Method of Fringe Pattern Analysis
7D153DB4	Fast and precise Fourier transforms
7F913FAB	OH column abundance over Table Mountain Facility, California: Intra‐annual variations and comparisons to model predictions for 1997–2001
7A17B1AB	Algorithm 345: an algol convolution procedure based on the fast Fourier transform [C6]
7CDA5887	The microwave spectrum and structure of the methanol⋅SO2 complex
806B7265	Optimal biorthogonal analysis window function for discrete Gabor transform
7C4052A9	Modification of the NSEFTMS method for NQR broad line shape reconstruction
762C4534	NumSBT: A subroutine for calculating spherical Bessel transforms numerically
7DE469A1	Spectral-Domain Calculation of Microstrip Characteristic Impedance
7F167FF3	Automatic Detection and Characterization of Dispersive North Atlantic Right Whale Upcalls Recorded in a Shallow-Water Environment Using a Region-Based Active Contour Model
7C93F50B	Fourier-optics approach to the symplectic group
80D5BAFE	Time-frequency analysis of myoelectric signals during dynamic contractions: a comparative study
7C83240E	Stratomesospheric CO measured by a ground-based Fourier Transform Spectrometer over Poker Flat, Alaska: Comparisons with Odin/SMR and a 2-D model
77B277E7	Fourier transform vibrational spectroscopy of Si2C in solid Ar
75DD9CE3	Seasat‐derived gravity over the Musicians Seamounts
76C6A024	High-Resolution Fourier Transform Emission Spectroscopy of the TiCl Radical in the 420-nm Region
810A71E9	Radiation from cavity-backed apertures in a conducting plane
7741F56C	Defect Oriented Testing of Analog Circuits Using Wavelet Analysis of Dynamic Supply Current
7959D9EE	Suppression of smeared spectrum ECM signal
78BB1358	Separation of single quantum spin echoes by two-dimensional Fourier transform techniques
80A32A21	Optimal multicriteria approach to the iterative Fourier transform algorithm
7C703776	Transient response of two collinear dielectric cracks in a piezoelectric solid under inplane impacts
7E2470D8	Some alternatives in transform-domain suppression of narrow-band interference for signal detection and demodulation
7ED008F9	Recursive Fourier transform for interference suppression in PN spread spectrum communications
7A622573	Displacement sensing and estimation theory and applications
79C41A02	Efficient Least Squares Multimodal Registration With a Globally Exhaustive Alignment Search
77F2BB19	Pre- and post-transition behavior of shear-thickening fluids in oscillating shear
77007846	Discrete fractional Hartley and Fourier transforms
772E36C1	Radiometric applications of Fourier-transform spectrometers
7D1506C0	A unified framework for the Sussman, Moyal, and Janssen formulas
7971FE08	Systematic approach to two-dimensional blind deconvolution by zero-sheet separation
7B1623E2	A comparison of sinusoidal, square wave, sawtooth, and staircase forms of transient ramped voltammetry when a reversible process is analysed in the frequency domain
78D856B8	Time-frequency-based non-stationary interference suppression for noise radar systems
60623308	Covariance nuclear magnetic resonance spectroscopy
78B224D3	FT-IR, FT-Raman spectra and ab initio HF, DFT vibrational analysis of p -chlorobenzoic acid
7CFD567E	Monitoring Nonstationary Signals
7C0DFD51	Exact Time-Domain Solutions for Acoustic Diffraction by a Half Plane
8086937E	Design and Manufacturing of a Fourier Transform Microspectrometer
789127BA	Fourier‐transform‐limited, single‐mode picosecond optical pulse generation by a distributed feedback InGaAsP diode laser
7890A323	On the eigenfunction expansions associated with semilinear Sturm–Liouville-type problems
7F277054	Clock period minimization with wave pipelining
7978F7AD	Fractional Fourier transform optimization approach for analyzing optical beam propagation between two spherical surfaces
5E48E873	CH-stretching overtone spectra of a fast rotating methyl group. II. Toluenes C6D5CH2D and C6D5CHD2
7654E357	Fast adaptive Fourier-based transform and its use in multidimensional data compression
7DE871E7	Identifying plankton from grayscale silhouette images
7E5EC91F	A Distance Measuring Method Using Visual Image Processing
78E745F9	Symbolic two-dimensional minimization of strongly unspecified finite state machines
7FAC2A1F	Wideband Extended Range-Doppler Imaging and Waveform Design in the Presence of Clutter and Noise
63C59F2D	Applications of correlator chips in radio science
77C5929E	Fast algorithm of discrete gyrator transform based on convolution operation
7B94957D	Fourier Transforms in VLSI
7E83E26C	Moving-Horizon State Estimation for Nonlinear Systems Using Neural Networks
7ED78B82	Nonlinear effects of phase blurring on Fourier transform holograms
5BB51AFB	Randomised circular means of Fourier transforms of measures
796F4D0F	An investigation of the hydrogen‐bonded dimer H3N⋅⋅⋅HBr by pulsed‐nozzle, Fourier‐transform microwave spectroscopy of ammonium bromide vapor
817AA1BF	Experimental approach of the diffraction effect with random phase transducers
7D44C655	Nonlinear Approach Of Construction of Fast Unitary Transforms
7CDD82DC	An improved prediction of stability lobes using nonlinear thin wall dynamics
8119BB1E	Harmonic weighting functions at the sliding interface of a finite-element machine model incorporating angular displacement
786FC9AD	Optimisation of resolution function in signals ratio method and deconvolution by polynomial division – quantitation of Cd(II) and In(III) from their global signals obtained at carbon fibre disk ultramicroelectrode
7732C6D0	Two‐dimensional zero‐field nutation nuclear quadrupole resonance spectroscopy
7E4F0D98	Scaling and Better Approximating Quantum Fourier Transform by Higher Radices
7F25766B	A wreath product group approach to signal and image processing .I. Multiresolution analysis
0C3ED17D	Mapping fiber orientation spectra in cerebral white matter with fourier transform diffusion mri
8117FAE0	MII J,~R WAVE COMPI,EX REFRACTIVE INDEX, COMPLEX DIELECTRIC PERMI'illVI'IY AND LOSS TANGENT OF EXTRA HIGH PURITY AND COMPENSATED SILICON*
77421857	One-dimensional-based automatic defect inspection of multiple patterned TFT-LCD panels using Fourier image reconstruction
7702B361	A MEMS-based resonant-scanning lamellar grating Fourier transform micro-spectrometer with laser reference system
7A073EA3	Rate-optimal nonparametric estimation in classical and Berkson errors-in-variables problems
777AEDCB	Exact Reconstruction of Sparse Signals via Nonconvex Minimization
76BC537D	Fuzzy logic theory with applications to hybrid GPS and TDOA/AOA Positioning System
8152A7CF	Constrained via minimization for systolic arrays
750A44C4	The digital structural analysis of cadmium selenide crystals by a method of ion beam thinning for high resolution electron microscopy
7AA00650	Frequency-specific responses in the human brain caused by electromagnetic fields.
7F1A002D	Theoretical Comparison of Modal Expansion and Integral Equation Methods for Near-Field to Far-Field Transformation
7CFDAB5E	Reduced ICI in OFDM systems using the "better than" raised-cosine pulse
7523A9B1	Stress Analysis on Layered Materials in Point Elastohydrodynamic-Lubricated Contacts
7ADC2AA8	On signal reconstruction from its spectrogram
7AE66DC0	In vivo full range complex Fourier domain optical coherence tomography
7F5A1FA8	Facts and fiction in spectral analysis
7F2D5F74	A Progressive Refinement Approach to Aerial Image Registration Using Local Transform Perturbations
780D85DD	Two-dimensional Fourier-transform-Raman and near-infrared correlation spectroscopy studies of poly(methyl methacrylate) blends
7E0B1911	An adaptive linear combiner for on-line tracking of power system harmonics
78FDCA04	New Analysis of the ν 3 fundamental band of HDCO: Positions and intensities
80CB8E03	Fourier optical analysis of gradient-index array imaging
7D981BDD	Texture Image Classification Using Perceptual Texture Features and Gabor Wavelet Features
7D67B3FA	Irredundant sequential machines via optimal logic synthesis
760CD014	The weakly bound He–HCCCN complex: High-resolution microwave spectra and intermolecular potential-energy surface
7D099B70	Modified Fourier transform method for interferogram fringe pattern analysis
7E1D5DB4	Modeling of the generic spatial heterodyne spectrometer and comparison with conventional spectrometer
76318093	Image singularities of planar magnetoelectroelastic bimaterials for generalized line forces and edge dislocations
81314F73	Wavelet-based noise removal for biomechanical signals: a comparative study
7B10F783	Molecular structure of ArDF: An analysis of the bending mode in the rare gas–hydrogen halides
78720737	Transverse vibration of thick polygonal plates using analytically integrated trapezoidal Fourier p-element
79931ED3	Compensating Optical Systems. Part 3: Achromatic Fourier Transformation
7F7CDE99	EEG-defined subtypes of children with attention-deficit/hyperactivity disorder.
763A6396	Exact quantum and time‐dependent Hartree studies of the HBr/LiF(001) photodissociation dynamics
7C4A2356	Decay constants of the pseudoscalar charmonium and bottomonium
7FA442D7	Spread-space holographic CDMA technique: basic analysis and applications
8131FBD3	Fourier transform profilometry for the automatic measurement of 3-D object shapes
7F063275	Holographic representations of images
7A6756F8	A factorization method for the 3D X-ray transform
803D33B0	Finite layer analysis of layered elastic materials using a flexibility approach. Part 1—Strip loadings
78525098	Ionization potentials of small carbon clusters
79F76D44	Darboux transformation for the NLS equation
7F086C5B	A new numerical Fourier transform in d-dimensions
74E527C7	A unified approach to the fast computation of all discrete trigonometric transforms
7C9BBF0E	Wavelet applications in medicine
80B3F4DC	Numerical Multipole Analysis of Ultrawideband Antennas
7EB48FA2	Single event transients in scaled CMOS operational amplifiers
81282D24	Convergence of an iterative time-variant filtering based on discrete Gabor transform
77275535	Remote detection of methane by infrared spectrometry for airborne pipeline surveillance: first results of ground-based measurements
80E92C26	Speaker normalization based on the generalized time-frequency representation and Mellin transform
59A4E324	The S-Transform for Obtaining Localized Spectra
77C67639	The non-local theory solution of a Griffith crack in functionally graded materials subjected to the harmonic anti-plane shear waves
7ED05321	The Reconstruction of a Three-Dimensional Structure from Projections and its Application to Electron Microscopy
7B45854F	RELAXATION OF CONFORMERS AND ISOMERS IN SEEDED SUPERSONIC JETS OF RARE $GASES^{\ast}$
7BB09F8A	Distributed Sensor Perception via Sparse Representation
7B95046C	The Fourier analysis of biological transients
7F25A068	Fault Component Impedance Relay with Double Circular Characteristic
7E8E096D	Invariant Texture Classification Using Ridgelet Packets
760E6C26	On Riesz wavelets associated with multiresolution analyses
80465592	Femtosecond direct space-to-time pulse shaping
7FBDA2F3	Time-frequency analysts: a comparison of approaches for complex EEG patterns in epileptic seizures
78FB7D77	Ultra-high resolution 3D NMR spectra from limited-size data sets
79783559	Nanoprobe Fourier-Transform Photoabsorption Spectroscopy Using a Supercontinuum Light Source
7D9F7E84	A self-programmable Reed-Muller circuit realization
77F4EC4B	Error analysis about CCD sampling in Fourier transform profilometry
7B78D44C	Digitisation and data processing in Fourier transform NMR
80A2E2E4	Combined multiresolution (wide-band/narrow-band) spectrogram
583F57A6	Wide-band pulse-echo imaging with distributed apertures in multi-path environments
798B34D9	Routine analytical Fourier transform Raman spectroscopy
8072DB12	Coherent control of pump-probe signals of helical structures by adaptive pulse polarizations
777F9F45	Calculation of local Fourier transforms for formal connections
7E9E9D33	Application of fourier and wavelet transforms to the identification of EMI noise sources in SMPSs
7B7ED9EA	Nonparametric testing of variability and trend in some climatic records
7761DC93	Fourier transform measurements of water vapor line parameters in the 4200–6600 cm −1 region
7A2DCF6D	Computationally efficient method for summing interactions of point dipoles in three dimensions with two-dimensional periodicity
790C4CEC	Linear Vlasov plasma oscillations in the Fourier transformed velocity space
800D061C	Line intensities of acetylene: New measurements in the 1.5-mum spectral region and global modelling in the DeltaP=10 series
5D73BE80	Spectrally smoothed polynomial fourier transform for time-frequency characterization at low SNR
7AC3A6F9	New assignments, line intensities, and HITRAN database for CH 3 OH at 10 ¿m
7F3E1B14	Basefield transforms with the convolution property
77F33AFB	Generation of dark hollow beam by use of phase-only filtering
78681B0F	Application of ATR-FTIR for a rapid and simultaneous determination of sugars and organic acids in apricot fruit
7DED4FD3	Adaptive filtering in the frequency domain
7E53D421	A computationally efficient wavelet transform CELP coder
7990F9CE	Interlaced Fourier transformation of ultrafast 2D NMR data
801E8B5F	Performance of Sigma–Delta Quantizations in Finite Frames
79A06E24	An optimized mass storage FFT for vector computers
7A7DC218	Matching-pursuit∕split-operator Fourier-transform simulations of nonadiabatic quantum dynamics
7703D51A	Hybrid Fourier-wavelet image denoising
7A593D60	Approaches to chinese character recognition
77AB03ED	Absorption Spectrum of H 2 18 O in the Range 12 400–14 520 cm −1
5E191A99	Waveform Analysis of Whistlers
808965E5	Travelling waves distance protection in a distribution networks: a comparative study
75B988D3	View invariant human action recognition using fourier-based and radon-based point cloud analysis
81332B58	A high-speed reconstruction from projections using direct Fourier method with optimized parameters-an experimental analysis
7E24748A	Finite-difference time-domain analysis of flip-chip interconnects with staggered bumps
7D08EF7F	Magnetic and thermal performance of a synchronous motor under loss minimization control
7C0CC3D2	High pressure nuclear magnetic resonance study of the dynamical solvent effects on the rotation of coordinated ethylene in an organometallic compound
7B0BA10C	On an analytic generalization of the Busemann–Petty problem
7E581CB8	Image formation in phase-shifting digital holography and applications to microscopy
772737B9	Fourier transform technique with frequency filtering for optical thin-film design
7ED1992B	BECKNER LOGARITHMIC UNCERTAINTY PRINCIPLE FOR THE RIEMANN–LIOUVILLE OPERATOR
62C7C550	A Taguchi-based approach for optimal placement of distributed generations for power loss minimization in distribution system
7ED27C19	Operational notation for the analysis and synthesis of optical data-processing systems
7BD72E6C	FTIR-derived characteristics of fossil-gymnosperm leaf remains of Cordaites principalis and Cordaites borassifolius (Pennsylvanian, Maritimes Canada and Czech Republic)
78F08809	Isolation of H 2 S…ClF in a pre-reactive mixture of H 2 S and ClF expanded in a coaxial jet and characterisation by rotational spectroscopy
795C0E95	Temperature dependence of vibrational lifetimes at the critical density in supercritical mixtures
80D1E379	Motion blur identification from image gradients
7E0DAC6C	Flatfielding in spatial heterodyne spectroscopy
7F9CA594	Focusing Azimuth-Invariant Bistatic SAR Data With Chirp Scaling
77B885C9	AN ORTHONORMAL–SHELL–FOURIER DESCRIPTOR FOR RAPID MATCHING OF PATTERNS IN IMAGE DATABASE
766554A9	Deterministic quantization theory applied to ADC testing
7ED41C69	Effect of electrolyte on interfacial dilational properties of chemical flooding systems by relaxation measurements
7F93DC0C	Automatic Classification of Lymphoma Images With Transform-Based Global Features
851682DC	Rapid Defect Inspection of Display Device with Optical Spatial Filtering
76E65795	Structure of the Cumulene Carbene Butatrienylidene: H 2 CCCC
8173F94D	Generalized Discrete W Transform
76A163D7	Wave packet theory of dynamic stimulated Raman spectra in femtosecond pump-probe spectroscopy
7B982E95	Field-aligned coordinates for nonlinear simulations of tokamak turbulence
75CF821F	Multipliers, Phases and Connectivity of MRA Wavelets in L 2(ℝ2)
809703BC	A novel digital image hiding technology based on tangram and Conways' game
75BAA4E2	Variational Methods and Upper Bound Theorem
7DC60B94	On the dual decomposition of linear quadratic optimal control problems for vehicular formations
78784C6E	The rotational spectrum and molecular structure of the furan–HCl complex
7777B8AE	The rotational spectrum and molecular structure of the benzene–hydrogen chloride complex
7BDE636B	RCS Computation of Coax-Loaded Microstrip Patch Antennas of Arbitrary Shape
7B3F59A8	Carbon-13 nuclear magnetic resonance measurement of oil composition in single viable soybeans
7D07F980	Rheological Analysis of the Gelation Behavior of Tetraethylorthosilane/ Vinyltriethoxysilane Hybrid Solutions
750E1882	Sparse Reconstruction From GPR Data With Applications to Rebar Detection
7C203D55	Boundary layer separation by a step in surface temperature
7816C641	Unified Array Manifold Decomposition Based on Spherical Harmonics and 2-D Fourier Basis
7E8A363E	On the use of transform features for SAR image classification
81434684	Exact frequency-domain reconstruction for thermoacoustic tomography. II. Cylindrical geometry
74D0EFC0	Decomposition of 2D Hypercomplex Fourier transforms into pairs of complex fourier transforms
7C33056B	GROUND VIBRATION IN THE VICINITY OF A HIGH-SPEED MOVING HARMONIC STRIP LOAD
7D06D55F	Efficient mapping of advanced signal processing algorithms on multi-processor architectures
756C4C7A	Microwave and Submillimeter-Wave Measurements of HD 12 C 16 O in the ν 4 , ν 5 , and ν 6 Bands: Evidence of Vibrational Induced Rotational Axis Switching (“VIRAS”)
31E76C8A	Fourier transform, oscillatory multipliers and evolution equations in rearrangement invariant function spaces
7B2764A6	Moving loads on an infinite plate strip of constant thickness
7AC8851A	Quantitative SNR Analysis for ISAR Imaging using LPFT
80DB2179	Optimal Estimation and Detection in Homogeneous Spaces
7E4FDA59	Automated processing of shoeprint images based on the Fourier transform for use in forensic science
8174F690	Gabor systems with good TF-localization and applications to image processing
7CF9B5EC	Gradient Elasticity Theory for Mode III Fracture in Functionally graded Materials—Part I: Crack Perpendicular to the Material Gradation
7C509B7B	Syntactic pattern recognition based on spectrum of spectra
752994AA	Fully automatic software correction of fourier transform NMR spectra
7943DC35	PROTON FOURIER TRANSFORM NMR STUDIES OF THE UNFOLDING OF RIBONUCLEASE
788EB190	The ν1, 2ν2, and ν3 interacting bands of 14N16O2: Line positions and intensities
7C6B643D	Fresnel diffraction effects in Fourier-transform arrayed waveguide grating spectrometer
7BA6AAEE	Modelling vibrations caused by tram movement on slab track line
7D7FE532	The visible and near ultraviolet rotation-vibration spectrum of HOD
78E3C42D	Far- and Mid-Infrared Emission Spectroscopy of LiH and LiD
817A373C	Estimating Fried’s parameter from a time series of an arbitrary resolved object imaged through atmospheric turbulence
7A3F7922	Rotational spectrum, structure and modeling of an isomer of the HCCH–OCS dimer
80B88047	Chemical Order of Manganese-Antimony Liquid Alloys Obtained Experimentally by the Neutron “Null Matrix” Method
75518663	Phase image encryption of colored images using double random phase encoding technique in HSV color space
7C9B51DB	Algorithm for balancing both continuous and categorical covariates in randomized controlled trials
7C293E1D	Detecting ventricular fibrillation
7E4BC591	A New Method for Coarse Classification of Textures and Class Weight Estimation for Texture Retrieval 1
80BA7A27	Laboratory demonstration of accurate and efficient nanometer-level wavefront control for extreme adaptive optics
77713E6D	Deconvolution with unknown error distribution
7F97E352	Transient performance of substation structures and associated grounding systems
80B09FCE	Spectrum Estimation of Non-Stationary Signals in Power Systems
7452A375	Efficient Shape Priors for Spline-Based Snakes
7A87A8E3	Prediction, Linear Regression and the Minimum Sum of Relative Errors
7EC5F026	Standing-wave Fourier transform interferometer with an HPT
80B5EB19	Semidefinite programming methods for system realization and identification
76183119	Semi-empirical boundary conditions for the linearized acoustic Euler equations using Pseudo-Spectral Time-Domain methods
8110D395	Convolution theorems for linear transforms
7C2864EC	A numerical study of 2-D turbulence
7FBEAEEF	Submillimeter-Wave Spectroscopy of TiCl in the Ground Electronic State
7894C292	Dipole moment function and equilibrium structure of methane in an analytical, anharmonic nine‐dimensional potential surface related to experimental rotational constants and transition moments by quantum Monte Carlo calculations
7B8E324A	AIRS Retrieval Validation During the EAQUATE
7ED7C4B3	Online Applications of Wavelet Transforms to Power System Relaying - Part II
7EC93D04	Interaction of electromagnetic waves with general bianisotropic slabs
7DDC9A03	Bounds for truncation error in sampling expansions of band-limited signals
7548421E	Periodicity in rainfall at Madras
7D5C9177	Degenerate Unmixing Estimation Technique using the Constant Q Transform
