08220318	Perimeter Security Post 9/11
6C089CCF	An analysis of estimation of pulmonary blood flow by the single-breath method
75853516	Tools for quality control of fingerprint databases
81780C51	ADT: Age determination technique
764B1220	ArF step-and-scan system with 0.75 NA for the 0.10μm node
7F4AE648	Using experiences as a basis for distinguishing identically manufactured and assembled semi-autonomous systems
803122DB	Keystroke Dynamic and Graphical Authentication Systems
75775C45	Monitoring fluorescence quenching of polycyclic aromatic hydrocarbons by humic acid in water using fluorescence fingerprints
75A66712	Iris-Based Human Verification System: A Research Prototype
7A7EB1FF	Hybrid FCM/ANN indoor location method in WLAN environment
794E1061	The morphological identification of domesticated zebra finches, Poephila guttata (Passeriformes: Estrilidae), in Australia
7BE91F47	Multimodal eye recognition
76905B89	Fundamentals of Biometric System Design: New Course for Electrical, Computer, and Software Engineering Students
789240F8	Probabilistic scoring using decision trees for fast and scalable speaker recognition
779B4336	Feasibility of bulk explosives detection using photoneutron spectroscopy
76CF4106	Gait recognition based on the feature fusion
7B3A014C	Revisiting feature level and score level fusion techniques in multimodal biometrics system
7B6F94CA	Forensic Identification Reporting Using A GMM Based Speaker Recognition System Dedicated to Algerian Arabic Dialect Speakers
773428DB	Authentication services and biometrics: network security issues
0A051114	Mitochondrial Phylogenetics, Biogeography, And Evolution Of Parental Care And Mating Systems In Gymnogeophagus (perciformes: Cichlidae)
75F7AE3C	A study on the effective protection of digital content based on real-time fingerprint recognition mechanism in the digital library
796394C9	Process data comparison for topology inference
776F7AC0	Design and Implementation of a Distributed Intelligent Network Intrusion Detection System
7C9671A1	Imaging the time sequence of latent electrostatic fingerprints
76EAF54D	Likelihood ratio tests for variance components in linear mixed models
7542E5D7	Confocal scanning beam laser microscope/macroscope: applications requiring large data sets
6B42261D	Fingerprint classification based on fractal analysis
7AAA1899	A relevant online examination system
04917791	Copy image detection based on local keypoints
797CFADF	Identification of clusters in the fingerprinting method using power measurements
0A700935	Study of Biometric Authentication Method Using Behavior Characteristics on Game Consoles
685E0E8F	Adaptive authentication system for behavior biometrics using supervised pareto self organizing maps
80CFD72F	A 2.6 inch VGA LCD with Optical Input Function using a 1-Transistor Active-Pixel Sensor
7E7C1724	CBCD based on color features and landmark MDS-assisted distance estimation
01F0E27E	Exact misclassification probabilities for plug-in normal quadratic discriminant functions. I. The equal-means case1
79136195	Fault-Tolerant Dynamic Deduplication for Utility Computing
797D57E5	A survey of information authentication
7127592F	Biometric Methods - A Secure Survey
7F7BA275	Energy Normalization for Pose-Invariant Face Recognition Based on MRF Model Image Matching
80C6F35B	Fingerprint recognition algorithm development using directional information in wavelet transform domain
80F2AC8D	Modular neural network integrator for human recognition from ear images
8379595F	Fingerprint: Technologies and Algorithms for Biometrics Applications
7D3D1F32	Parallel image thinning through topological operators on shared memory parallel machines
3B090AFB	Credibility analysis of a multi-biometric identification system for fingerprints
7D279DBB	Periocular Recognition Using Unsupervised Convolutional RBM Feature Learning
7736B8B7	Multi Biometrics Fusion Identity Verification Based on Particle Swarm Optimization
801BA1E7	A Modified Matched Filter With Double-Sided Thresholding for Screening Proliferative Diabetic Retinopathy
7E98A9BA	Financial Inclusion in India: Integration of Technology, Policy and Market at Bottom of the Pyramid
791BAAB8	Calculating a Vagal Tone Index using Webcam Photoplethysmography
3A26939F	The Right to Know and the Right Not to Know: Suspects, victims and others: producing and sharing forensic genetic knowledge
7E01F1F2	Indoor positioning in Bluetooth networks using fingerprinting and lateration approach
788B5C72	Robust video fingerprinting system
770BBD97	Phonovibrography: The Fingerprint of Vocal Fold Vibrations
79A27CBC	Nutritional ecology of gelatinous planktonic predators. Digestion rate in relation to type and amount of prey
7BECC1AA	Low-complexity iris recognitionwith orientedwavelets
650B165F	Newborn footprint recognition using subspace learning methods
74A16538	Biometrie a identita člověka - ve forenzních a komerčních aplikacích
73C8D60D	Geometrical facial feature selection for person identification
14779DC2	Improved biomedical electrode
028826D7	Guide de l'identité électronique : à l'intention des parties prenantes d'Afrique
7DFA845C	Provable Security for the Fuzzy Fingerprint Vault
7960BAF2	Advanced palmprint recognition using unsharp masking and histogram equalization
7EED693F	How to detect problematic signers for automatic signature verification
79DDDD70	Image forgery detection by means of no-reference quality metrics
2F760812	ENSURING A SECURE FUTURE : CURRENT DEVELOPMENTS IN BAGGAGE AND PASSENGER SCREENING AT AIRPORTS ARE DISCUSSED
7DBA84A8	Fingerprint Image Segmentation Based on Support Vector Machine
77567E41	Further notes on age of first breeding, plumage and biometrics of kelp gulls in South Africa
19465EF1	Identification Algorithm Using a Matching Score Matrix (Special Issue on Biometric Person Authentication)
73788FB4	생체인증시스템을 위한 인공해마 알고리즘 구현
80FCEC45	On the security of the digest function in the SARI image authentication system
7FC189AA	Face Recognition using PCA versus ICA versus LDA cascaded with the neural classifier of Concurrent Self-Organizing Maps
808F3AD6	Coding theorems for biometric systems
7A511039	Transparent and perceptually enhanced JPEG image encryption
75BEFB0A	A Forensic Model on Deleted-File Verification for Securing Digital Evidence
76C98337	Observation of the human body thermoregulation and extraction of its vein signature using NIR and MWIR imaging
589B7AB0	A monkey metabolism pod for space-flight weightlessness studies.
325E08BA	FINGERPRINT IMAGE ENHANCEMENT AND MINUTIA MATCHING
76A4DDFE	First experimental study of self-forming synthetic lipids by confocal laser tweezers Raman spectroscopy
75D43841	Intrinsic Physical-Layer Authentication of Integrated Circuits
760738AF	Material analysis with EUV/XUV radiation using a broadband laser plasma source and optics system
7CF1E660	Biometric Handshake Protocol on Telebiometric System Mechanism for National Infrastructure
79D061BA	Modelling faba bean production in an uncertain future climate
2445C1E1	A USER PROTECTION MODEL FOR THE TRUSTED COMPUTING ENVIRONMENT
194485D9	Determining the Security Enhancement of Biometrics in Internet Passport Scheme using Cryptographic Algorithms
1C9C266A	LibGuides. Epidemiology and Population Health . On the web.
7E155BCD	Sociable Weaver biometrics and primary moult
7E7EC432	Working sketch of an anatomically and optically equivalent physical model eye
5F63C0ED	FingerCode for identity verification using fingerprint and smart card
7E0B3A19	Application of distributed safe log management in Small-Scale, High-Risk system
5BD6E20A	Fuzzy vault and template-level fusion applied to a binary fingerprint representation
31DEA82E	Establishment Code Hand Palm (Palm Code) 2D Gabor-Based Method
7CF6C1DB	Applications of optical analog computing
7AB6ADA3	An Assessment of Dynamic Signature Forgery and Perception of Signature Strength
7B8B40E6	Fingerprint sensor LSI
7A04AB29	2D CLAFIC Subspace Technique in Probabilistic Speaker Verification
7C7424DA	Evolution of biometric and life‐history traits in lizards (Gallotia) from the Canary Islands
7D986A03	Finger vein identification based on 2-D Gabor filter
7AAB2D86	Information fusion in personal biometric authentication based on the iris pattern
7F18299C	Integration of fingerprinting and trilateration techniques for improved indoor localization
5ED83937	Comparative analysis of Palm-Vein recognition system using basic transforms
7A312ECC	Robust audio fingerprint extraction algorithm based on 2-D chroma
76C5F0B4	Evaluation of Face Datasets as Tools for Assessing the Performance of Face Recognition Methods
80743AD7	Independent Channel Multi Method Multi-Factor Authentication (MMM-FA) model for B2P remote Commerce
7D0F99E1	Securing high resolution grayscale facial captures using a blockwise coevolutionary GA
7E332CC7	Off-Line Bangla Signature Verification
7BD2AE3D	The use of patient biometrics in accessing electronic health records
792BD5CC	Multistage pulse code modulation for progressive spectral signature coding
5F229635	Biometric Authentication for a Mobile Personal Device
5CADBDC2	Ethernet card discrimination using unintentional cable emissions and constellation-based fingerprinting
05528D26	Automated Border Control: A Comparative Usability Study at Two European Airports
7C2A108D	A Mobile-Based Face Verification System
01B11D9E	Computational Methods in Biometric Authentication
76B12E91	An Improved Fingerprint Image Segmentation Algorithm
75C8B2CB	Can We Identify NAT Behavior by Analyzing Traffic Flows?
7233743B	LTE energy saving SON using fingerprinting for identification of cells to be activated
8074A2C1	Construct a new fixed-length binary fingerprint representation using Kernelized Locality-Sensitive Hashing
834B421E	Robust Biometric-based Remote User Authentication Scheme using Smart Cards
0E9BAF54	Identification Systems: A Risk Assessment Framework
8017FEF2	Fingerprinting Executable Programs Based on Color Moments of a Novel Abstract Call Graph
801264A8	LearnLoc: A framework for smart indoor localization with embedded mobile devices
80A6DF17	Multimodal Approaches for Emotion Recognition: A Survey
624FA2AB	Matched Sampling for Causal Effects: AFFINELY INVARIANT MATCHING METHODS WITH ELLIPSOIDALLY SYMMETRIC DISTRIBUTIONS, THEORY AND METHODOLOGY
7D558AF1	Designing Fingerprint-Recognition-Based Access Control for Electronic Medical Records Systems
765EBFB9	Oxide degradation and charging damage by dry etch processing
2551E55C	A Comparative Analysis of Face Recognition Performances for Advanced Immigration Services
7EDACE01	Science Study Break - Gattaca
7C044F0A	Joint Fingerprint Embedding and Decryption for Video Distribution
76242BC6	Characterization of thermal inkjet technology TNT deposits by fiber optic-grazing angle probe FTIR spectroscopy
240DF34E	ADVANCED BIOMETRIC SOLUTIONS
75F578E3	Local fingerprint image reconstruction based on gabor filtering
67F8A0C3	Complex Energy Signal Model for Digital Human Fingerprint Matching
755AFA96	One Time Biometric Transform to secure biometric templates
77310432	Enhancing forensic science with spectroscopic imaging
76B88B21	The observation of terahertz spectra of all-trans beta-carotene molecule
0745B167	Fingerprint Feature Extraction Based on Macroscopic Curvature
7C50B0AB	Remote User Authentication Using a Voice Authentication System
7C8E425D	Identity dominance: Using fingerprints to link an individual to a larger social structure
7B37480B	VOLUME TIGE D'UN ARBRE : OU D'UNE COLLECTION D'ARBRES POUR SIX ESSENCES PRINCIPALES EN FRANCE
78D46D38	An Effective Approach to Fingerprint Segmentation using Fisher Basis
7C6DAC65	A spam filtering technique based on feature fingerprint
54F42861	BIOMETRICS IN SAFETY, PROTECTION AND SURVEILLANCE OF INFORMATION SYSTEMS
7890266E	Wide area active collaborative tracking of waterborne vessels
77AFA417	Non-invasive, optical latent fingerprint acquisition from cartridge casings: A first feasibility study using a laser-scanning confocal microscope
7BFA049F	Development of a biomimetic robotic bear: Or is a bare bear bearable?
7F662498	Breadth-first-based decision algorithm for facial biometrics
5B613E81	Enhancing security of one-time password using Elliptic Curve Cryptography with finger-print biometric
7800BEBB	Statistical authentication of fingerprint
77E96C58	Spectral biometrical recognition of fingerprints
75B81C1D	A study of the efficacy of using Wavelet Transforms for Palm Print Recognition
81005868	Decision Making Model Supporting Emergency Medical Care
772E60E4	Internal fingerprint zone detection in optical coherence tomography fingertip scans
799442B1	Raman spectroscopy and SERS analysis of ovarian tumour derived exosomes (TEXs): a preliminary study
85E59D67	Improved object optimal synthetic description, modeling, learning and discrimination by GEOGINE© computational kernel
7568FE47	Feature-preserving image/video compression
590E9B9C	BIOMETRIA DE FRUTOS E SEMENTES E SUPERAÇÃO DE DORMÊNCIA DE JUCÁ (Caesalpinia ferrea Mart. ex Tul (LEGUMINOSAE - CAESALPINOIDEAE)
765F5903	Development of compact slip detection sensor using dielectric elastomer
76E58104	Ontogenetic evaluation of grain yield and time to maturity in barley
762B53D6	Adaptive Noisy Fingerprint Enhancement Based on Orientation Consistency
77C6A4BC	Optimization of WLAN Indoor Location Network Based on Signal Coverage Requirement
7D2C2BEC	Tracing Pirated Content on the Internet: Unwinding Ariadne's Thread
846F194E	사용자 인증시스템의 인증결과 예측을 위한 바이오정보의 품질평가기법
21D8EF25	MEDPHOS: A NEW PHOTOGRAMMETRIC SYSTEM FOR MEDICAL MEASUREMENT
760E2AC0	Chemometric tools for analysing Terahertz fingerprints in a postscanner
4B616EE4	Approximation of 3D Face Model
30FBC7FF	FUZZY FACE MODEL FOR FACE DETECTION USING EYES AND MOUTH FEATURES
711B5A5D	물리보안의 기술동향과 미래 서비스에 대한 연구
7870DC49	The design and application of automatic online monitoring system of algae based on fluorescent sensing technology
7A17B8DB	Analysis of Computer Infection Risk Factors Based on Customer Network Usage
7BD04FED	Prioritization of the causal factors of fatigue in seafarers and measurement of fatigue with the application of the Lactate Test
78A3FA9B	An Efficient Method for Skew Correction of License Plate
772DE31F	Remote sensing of plant nitrogen status in corn
81459ED2	A Dual Taxonomy for Defects in Digitized Historical Photos
7C607BC1	General fusion approaches for the age determination of latent fingerprint traces: results for 2D and 3D binary pixel feature fusion
7734E163	Implementation of an Effective and Secure Biometrics-Based Student Attendance System
77F5919B	Parallel processing for Fingerprint feature extraction
7BED8630	Design of a Vein Based Personal Identification System
78E3FD5E	Experimental evidence of hyperbolic transverse patterns in a nonlinear optical resonator
59F44B23	Identification of critical bands in DCT domain representation for fingerprint recognition
85EEA41D	Biometric authentication systems and service delivery in healthcare sector in Kenya
7B45F18B	Secure human face authentication for mobile e-government transactions
7A5E713C	Handbook of fingerprint recognition [Book Review]
7FBD7046	Quality Assessment for Fingerprints Collected by Smartphone Cameras
0B981034	Israel's Biometric Database Law: Risks and Opportunities (in Hebrew)
5E6F397D	Fusion of hand based biometrics using particle swarm optimization
8080B01D	Comprehensive evaluation method of traditional Chinese medicine fingerprint similarity based on fuzzy RBF neural network
7397B44C	Iris Based Person Recognition System
2C6F3CB0	Koncepcja systemu do pomiaru temperatury podczas prób wysiłkowych u dzieci
7AB0E583	An efficient floating-point to fixed-point conversion process for biometric algorithm on DaVinci DSP architecture
75F76162	50 Years of Image Processing and Pattern Recognition in China
78CA812A	National defense applications of autonomous underwater vehicles
7D7B17E4	Creating digital fingerprints on commercial field programmable gate arrays
7863F0D1	Feeding damage effects of three aphid species on wheat root growth
7ADC9DAD	Low Power Detection Circuit for a Capacitive Fingerprint Sensor
77A77736	Feature Extraction of Iris Images using ICA for Person Authentication
7BC6A092	Functional data analysis in the use of eyebrow shape as a biometric indicator in face recognition
7A808179	New recognition methods for human iris patterns
7D59D6FE	Cost-effective localization in underground mines using new SIMO/MIMO-like fingerprints and artificial neural networks
5D4BDC8A	Précision de la biométrie de datation à l'échographie du premier trimestre dans la pratique courante
76482A24	Scalable collusion secure fingerprinting for multimedia
7A55B5D4	Applying backpropagation neural networks to fringe analysis
76EC840E	Collaborative real-time scheduling of multiple PTZ cameras for multiple object tracking in video surveillance
5C91DB66	영상 품질 기반의 지문 데이터베이스의 난이도 정량화
0ED1B119	Biometric Door Lock System With Alcohol Detector
7D6ECC51	Prototype Analysis of OTP Key-Generation Based on Mobile Device Using Voice Characteristics
7A74DE9B	A PHY-layer Authentication Approach for Transmitter Identification in Cognitive Radio Networks
77AC6198	Similarity score computation for minutiae-based fingerprint recognition
7EAA7256	Bayesian sensor model for indoor localization in Ubiquitous Sensor Network
79D565AF	Keystroke dynamic analysis using relative entropy & timing sequence Euclidian distance
7B0EA979	Quantitative assessment of hand vein image quality with double spatial indicators
07AE8AB1	Facial image analysis
5BCB3EA1	Variance Reduction Techniques in Biometric Authentication
7E0ED425	A robust human face identification system
76E7FBAB	Biometric System Based on EEG Signals by Feature Combination
76E797CE	A face identification algorithm using two dimensional binary principal component analysis
059EE9B5	Soluciones TIC para la creación de sistemas de seguimiento de historiales clínicos en campos de refugiados
76737AE1	Integrated circuit (IC) aging effects on radio-frequency distinct native attributes (RF-DNA)
75344E44	Counter-Terrorism and the EU Strategy for Border Security: Framing Suspects with Biometric Documents and Databases
7A300F6D	Enhanced fingerprinting in WLAN-based indoor positioning using hybrid search techniques
25DBF62D	LASTING IMPRESSIONS: TIGHTENED SECURITY CHECKS HAVE PROPELLED BIOMETRIC TECHNOLOGY INTO THE LIMELIGHT.
78C9AD25	Columnar-thin-film acquisition of fingermark topology
56A447D2	Wireless Data Services: Perspectives
85FFCC31	Application of the mutual information minimization to speaker recognition / verification improvement
7832C60A	Development of emergent processing loops as a system of systems concept
75D8C6E7	JVM-Based Dynamic Attestation in Cloud Computing
5A229AA9	Dynamic tracking system for object recognition
7CB6539C	Biometrics in Laminaria digitata : A useful tool to assess biomass, carbon and nitrogen contents
78D9C3E4	Research of a System for Monitoring Body Posture Based on Wireless Sensor Networks
79810E2C	Mining Visual Collocation Patterns via Self-Supervised Subspace Learning
7BDB5543	Full-hand 3D non-contact scanner using sub-window-based structured light-illumination technique
7A228BF2	Image Quality and Performance Based on Henry Classification and Finger Location
7C8A0589	Fluid mechanics measurement based on the anisotropic core structure of pseudophase singularities in analytic signal representation of speckle pattern
5D1DE58A	Age-Invariant face recognition using shape transformation
5E997F25	SuperIdentity: Fusion of Identity across Real and Cyber Domains
01F2E483	Flexible Electronics Development Supported by NASA
76048628	Fingerprint segmentation based on ridge search
7A67DA2C	Cyber crimes: Threats and protection
7E101DDF	A novel fingerprint image sensing device and recognition algorithm for sensed fingerprint image
6BC43C8F	Effects of spaceflight on rat humerus geometry, biomechanics, and biochemistry.
7C1A6AB6	Modeling equipment functional behavior to track and match performance by fingerprinting
755B4104	Directed self-assembly of poly(styrene)-block-poly(acrylic acid) copolymers for sub-20nm pitch patterning
6E6FD838	Wireless security study guide: mediocre at best [book review]
7BECAF95	Vascular Biometric Systems And Their Security Evaluation
5F9713E1	High Sensitivity Stress Sensor Based on Hybrid Materials
78B13538	An interdisciplinary practical course on the application of grid computing
806016FB	Appearance Modeling Using a Geometric Transform
7F021F52	Expression-invariant face recognition for small class problem
7EB97DD0	The Intelligent Blood Collecting Apparatus Based on Internetworking
813232AF	Ear Detection in 3D Profile Images Based on Surface Curvature
0B8E4655	Chapter 56 - Biometrics
80EE7B6A	Fetal brain MRI: segmentation and biometric analysis of the posterior fossa
7256927E	Watermarking of streaming video for finger-printing applications
2505A115	Biometrics in Asia
789EA22E	An intelligent video framework for homeland protection
8093370F	Usability of Visual Evoked Potentials as Behavioral Characteristics for Biometric Authentication
5D06127D	Touching Big Brother
7EDC67A6	Approximate Ensemble Methods for Physical Activity Recognition Applications
687E8812	Fingerprint image compression by a natural clustering neural network
7EEAC8DB	Thermal Faceprint: A New Thermal Face Signature Extraction for Infrared Face Recognition
775B4AD0	Toward measuring concentration gradients in polymer-dispersed liquid crystals with secondary ion mass spectrometry
79C3C56C	Multicontrast microscopy technique to dynamically fingerprint live-cell focal contacts during exposure and replacement of a cytotoxic medium
75FBE821	Development of Electrocardiogram Identification Algorithm using SVM classifier
774DFA3E	Analysis of postural kinetics data using Artificial Neural Networks in Alzheimer's Disease
78479A07	Stand-off Raman instrument for detection of bulk organic and inorganic compounds
7C01AE7B	Discrete cosine transform (DCT) based face recognition in hexagonal images
7A4B6639	Evaluation of Trouble-Shooting Overlay Designs
7B43762E	Low power location protocol based on ZigBee Wireless Sensor Networks
79B06FFD	Fingerprint recognition techniques and its applications
78E4153C	Carrier relevance study for indoor localization using GSM
7B9C2990	NIS03-6: Remote Password Authentication Scheme with Smart Cards and Biometrics
7D2EECC2	A hybrid approach with the wavelet transform, modular neural networks and fuzzy integrals for face and fingerprint recognition
7B7C6D91	Tapered TeX glass optical fibers for remote IR spectroscopic analysis
79480B2E	Guest Editorial Special Issue on Biometric Systems
5A699C6E	A Fingerprinting Technique for Numeric Relational Databases with Distortion Minimization
7D4B7E36	Impact of Wi-Fi Access Points on performance of RBF localization algorithm
78FE1CDD	A New Fingerprint Thinning Algorithm
329727E1	Image processing methods in person identification applications - ear biometrics
83D40E3E	Human Cloning: Impostors and Essentialism
5B335359	On-line eta off-line sinaduren azterketaren bidezko ezagutze biometrikorako proposamenak
798145EE	Life cycle of Leishmania major (Kinetoplastida: Trypanosomatidae) in the neotropical sand fly Lutzomyia longipalpis (Diptera: Psychodidae).
7E51093F	Integrity monitoring and thresholding-based WLAN indoor positioning algorithm for mobile devices
8000F98E	Research on Integrated Metadata for Distributed CAS Appliance System
7765C9AB	Decentralized topology inference of electrical distribution networks
773503A3	Analytic Plotting In Biometrics
7D80C9AA	Multiband received signal strength fingerprint based location system
2353D9A1	A study on keystroke-based identification
792A7980	An improved biometric identification system based on heart sounds and Gaussian Mixture Models
77825C99	RESEARCH ON DUAL-INTERFACE SIM AND FINGERPRINT RECOGNITION FOR MOBILE PHONE
12625BB4	TWIC or treat
38229D2F	3D Face Recognition by Matching Shape Descriptors Abstract
83CC4709	Secure verification by multifactor optical validation
624FEF47	Database Correlation Method for Multi-System Positioning
757F0DE1	Transport-based dopant metrology in advanced FinFETs
7D35C528	Generation-V dual-Purkinje-image eyetracker
7B2093D3	Fingerprint image segmentation method based on normal distribution model
7C589147	Bimodal single molecule microscopy: multiparameter spectroscopy gives insight into photodegradation processes
25C32055	Multi-Biometrics for Enhanced Airport Access Control
7E1F4E4A	Qualitative Characterization of Deforming Surfaces
7A3C9F14	Smart Phone Based Indoor Pedestrian Localization System
79067726	Sensor fingerprint digests for fast camera identification from geometrically distorted images
708E37E8	스마트폰에서 효과적인 장문 인증 가이드라인 이미지
803C153A	A pupil center detection algorithms for partially-covered eye image
7D08C012	Biometric mechanism for enhanced security of online transaction on Android system: A design approach
77D3F8E7	Separable Reversible Data Hiding in Encrypted Image
7FDA94A1	Voice as a Key
7F06F1F9	Feasibility of a Socially Aware Authentication Scheme
7C14EF89	Model selection and estimation in the Gaussian graphical model
7DB9D8F9	Multivariate distance and classification of winter wheat breeding programs
7DF76A47	Ear biometric recognition using local texture descriptors
816A42DE	Face recognition in open environments: developments at CSIRO
7615A1CE	Curvelet feature based fingerprint recognition: Using fourier enhancement
7C3FDA65	A Networking Identity Authentication Scheme Combining Fingerprint Coding and Identity Based Encryption
79246AEF	FPGA wavelet processor design using language for instruction-set architectures (LISA)
25FCA730	Hilbert-Huang変換を用いた脳波信号のデジタル化とその生体認証への応用の提案 (バイオメトリクス)
7F32E225	An advanced scratch removal method for Fingerprint biometrics
753088BD	Covert Cognitive Games and User Response Patterns
80E9D75A	Malicious Web Pages Detection Based on Abnormal Visibility Recognition
2572BA80	A new EEG measure using the 1D cluster variation method
764DD195	Applications of Ion Laser Systems
5DB417D6	Flat-Format Lens-Free Imaging Using an Organic Sensor With Guided Illumination and Application to Fingerprints
04C904E7	ECG based biometrics verification system using LabVIEW
7D1AEC3A	Creus que la teva veu és única?
5EB0CA5B	Face spoofing detection using local binary patterns and Fisher Score
76C1E33C	Multilevel data fusion approach for gradually upgrading the performances of identity verification systems
094AF738	Contributions à la dynamique de frappe au clavier : multibiométrie, biométrie douce et mise à jour de la référence
7C197CF5	Pose-Invariant Face Recognition Using Markov Random Fields
80F2B152	Robustness of 3D indoor localization based on fingerprint technique in wireless sensor networks
7C796E4A	Spherical harmonic feature analysis for 3D skull models
76A02D6E	Depth of field estimation: theory, experiment, and application
6D2CE6A2	Fingerprint matching using M Band Wavelet transform
6DA0B4D8	Estudio biométrico de las especies del género Homalia (Neckeraceae, Musci) presentes en la Península Ibérica e Islas Canarias.
7562DE35	Compressive sensing applied to fingerprint-based localisation
75D11D24	Optimising password security through key-pattern analysis
7A544CDF	A Spatial Dirichlet Process Mixture Model for Clustering Population Genetics Data
7DCB5617	Dermatoglyphic analysis of finger prints (Pattern and TRC) in mentally retarded population of Quetta, Pakistan
7D056768	Semantic-based indexing of fetal anatomies from 3-D ultrasound data using global/semi-local context and sequential sampling
803BB32D	Negatif olmayan matris ayrıştirma ile ikili video kiyimlama binary video hashing by non-negative matrix factorization
7EE293BB	In‐line quality control of product coding from Cobalt IS
0AC82E9B	Biometric differences between date mussels Lithophaga lithophaga colonizing artificial and natural structures
7CC1FF38	Fingerprint phalanx-based score fusion
763CF4FE	New data processing method of differential optical absorption spectrum for measuring atmospheric trace gases
00839864	Biomécanique du coude : application aux prothèses de coude
7DAEC514	Creating a unique digital fingerprint using existing combinational logic
75B83E61	Half iris Gabor based iris recognition
80078373	A Study about Recommendation Based on Underlying Desires
814A4C35	A Correction of Missing Reliability for Robust Bimodal Speaker Identification
764AE25A	Fingerprint of the features of oil film on water surface based on scanning white-light interferogram
76D61C63	A new approach for willingness test in biometric systems
082FFC5F	Design of Secure Mobile Communication using Fingerprint
3483524F	Krótki przegląd technik biometrycznych do rozpoznawania osób
75DD786D	Coercion resistance in authentication responsibility shifting
7E5E4FC5	Contact Lens Extraction by Using Thermo-Vision
2FB2FB25	Biomedical applications engineering tasks
7591685E	Using biometric key commitments to prevent unauthorized lending of cryptographic credentials
762D0FBB	The effect of time on the performance of gait biometrics
741FF644	바이오인식을 이용한 원격의료에서의 개인정보보호
7C0F79FB	Improving 1D optical proximity effect matching for 45-nm node by scatterometry metrology
7F68A612	Research on synergetic fingerprint classification and matching
01A8406B	Design and Performance Evaluatiojn of Webbased DRM System using Real-time Fingerprints Recognition Mechanism
830B2E4C	Performance evaluation of different support vector machine kernels for face emotion recognition
7E7E3EE7	Palmprint Verification Based on Orthogonal Code
5E04149D	Multimodality in BioSecure: Towards an evaluation protocol on virtual multi-modal databases
7BC9050D	Fingerprint recognition system by use of graph matching
7F3562B0	Application of neural network with genetic algorithm to UHF PD pattern recognition in transformers
7CF0D5CB	A Study on Network Security Protocol to Defend against Fragmented Packet Attacks Using Biometrics
7DA48A01	Applied Research on Discriminative-Adaptive Neural Network Algorithm in Indoor Positioning System
7ACEDA80	Interhybrid competition affects sunflower character expression
80BBE5AA	Transient Otoacoustic Emissions for biometric recognition
7EA6F10A	On the Shannon capacity of DNA data embedding
78767866	Intelligent Systems Applications Technical Committee
59F3283F	SIFT-based algorithm for fingerprint authentication on smartphone
7C486EA6	A Secure and Efficient BiometricAuthentication as a Service for Cloud Computing
7B096DB3	Indoor Location Fingerprinting Based on Data Reduction
764ACA3A	Biometric data reduction for embedding in small images
7AE77CF7	On Engineering Challenges of Applying Relevance Feedback to Fingerprint Identification Systems
7D21004C	Fuzzy Comparison Scheme in Biometric Template Matching
76917149	Electronic signatures and security issues: An empirical study
7A3F854A	Environmental impact to multimedia systems on the example of fingerprint aging behavior at crime scenes
785E6F41	Vocabulary harmonisation for biometrics: the development of ISO/IEC 2382 Part 37
0A5895B1	Fetal weights and measurements as determined by postmortem examination and their correlation with ultrasound examination
7F47927F	The application of eye movement biometrics in the automated detection of mild traumatic brain injury
7EB7A52D	An Exploration of Keystroke Dynamics Authentication Using Non-fixed Text of Various Length
76A7A078	Fuzzy Logic Approach for Person Authentication Based on Palmprint
79AEB0B1	Successful design of biometric tests in a constrained environment
7391F5D7	Evaluation of sensor calibration in a biometric person recognition framework based on sensor fusion
7CEFEE25	Biometrics Health Care Information Systems and Secure Clinical Messaging: The Case of the NHS
79390A15	Use of fluorescence lifetime imaging (FLIM) for latent fingerprints detection
7552F751	Semantically transparent fingerprinting for right protection of digital cinema
80442674	Wide area power grid health state diagnosis and early warning system based on fault power flow fingerprint identification and MAS technology
7EE592D1	Engineering Self-Service Correctional Facility Biometric Computer-Based Systems
7E321836	Reusing UML specifications in a constrained application domain
72020C2C	생체인식기술의 지속사용의도에 영향을 미치는 요인에 관한 연구
78387C40	Subsurface screening of petroleum hydrocarbons in soils via laser-induced fluorometry over optical fibers with a cone penetrometer system
71AF70DA	T-transitive closures, openings and approximations of similarity relations
7723CD77	Automatic user identification by using forearm biometrics
7F42B456	Pointing a Finger toward Standardized and Automated Biometrics
790A8AE3	Fingerprint Matching Using Correlation and Thin-Plate Spline Deformation Model
7B7B91AC	A Comparative Study of Biometric Technologies with Reference to Human Interface
7F3567DB	An artificial fingerprint device (AFD): a study of identification number applications utilizing characteristics variation of polycrystalline silicon TFTs
7B1EA441	Fourier transform infared spectroscopic imaging for the identification of concealed drug residue particles and fingerprints
77300DD0	Imaging performance of the EUV alpha semo tool at IMEC
76C56971	The Weighted Generalized Estimating Equations Approach for the Evaluation of Medical Diagnostic Test at Subunit Level
7A864343	Database for chemical weapons detection: first results
7C2B3CF4	A fingerprint matching algorithm using probabilistic graphical model
7F69D285	An Approach to Detect Executable Content for Anomaly Based Network Intrusion Detection
80506E1F	Online Signature Verification system
78395989	An application of the P300 event-related potential as a biometric
7F1776B1	La prosòdia com a identificador biomètric
793A99DB	An Enhanced Method for Detecting Iris from Smartphone Images in Real-Time
8007C4F6	Medical Device Clinical Trial Design, Conduct, And Analysis
5F2F7F51	Global Anti-Terrorism Law and Policy: Terrorism and technology: policy challenges and current responses
8189C216	Periodic pattern enhancement: A stochastic resonance approach
