0B80918E	The Rascal Language Workbench
754C148B	Integrated reverse engineering and machining system
76403B8E	Model-Based Design of Embedded Systems
7FD76147	'ATG' test generation software
75ABF948	Towards a collaborative framework for the design and development of data-intensive mobile applications
5BF705CC	MASITS – A Tool for Multi-Agent Based Intelligent Tutoring System Development
760F2584	Implementing concurrent C
5A2643F1	Aligning UML 2.0 state machines and temporal logic for the efficient execution of services
0C51FDF9	On-line recognition of handprinted schematic pseudocode for automatic Fortran code generator
79C6F580	Understanding the GIOVE-B broadcast codes of the Galileo system
587E1271	Linear loop transformations in optimizing compilers for parallel machines
0BB3D5E6	PROCESS IMPROVEMENT AND SOFTWARE REUSE AND GOOD DOCUMENTATION
69E306F2	Design, Implementation and Verification of MILS Systems
7B1CA090	An investigation of residual form error compensation in the ultra-precision machining of aspheric surfaces
0B5708E0	Generation of simple, type-safe messages for inter-task communications
7FD28565	Interaction Testing in Model-Based Development: Effect on Model-Coverage
80FD7869	A Java real-time kernel
0971F398	Complete High-Performance Code Generation from UML Models
7DBC6AC2	Architecture for modeling, simulation, and execution of PLC based manufacturing system
5934D7F7	Integration of an action language via UML action semantics
85C2BDD0	Generating execution infrastructures for component-oriented specifications with a model driven toolchain: a case study for MARTE's GCM and real-time annotations
7F430EB8	The design and implementation of a code generation tool
5E1E6957	On Z2 Z4 linear codes and duality
7FC02B21	Component-based development of networked embedded applications
80793250	Automatic generation of optimized 3-axis NC programs using boundary files
5BEC5751	Run Time Reusability in Object-Oriented Schematic Capture
6BA49662	A Systematic Approach to Web-Application Development
6DF6CC77	Recursive construction of 16-QAM Super-Golay codes for OFDM systems
7CDC9C13	Practical Word-Sense Disambiguation Using Co-occurring Concept Codes
7D19826A	Performance evaluation method for trellis modulation code without uniformity
076523DF	A 14-bit successive-approximation AD converter with digital calibration algorithm
00F34B09	Compilation and code generation for multiprocessor computers
7EE4393B	A development toolkit to realize autonomous and interoperable agents
59F9BCA3	HIERARCHICAL HYBRID-MODEL BASED DESIGN, VERIFICATION, SIMULATION, AND SYNTHESIS OF MISSION CONTROL FOR AUTONOMOUS UNDERWATER VEHICLES
069B2C5C	Filaments: Efficient Support for Fine-Grain Parallelism
5D310D79	A general conversion method of fingerprint codes to (more) robust fingerprint codes against bit erasure
74152B16	Using the adaptive blockset for simulation and rapid prototyping
7E21131E	Safe optimization for hard real-time programming
79682AFC	Dynamic interoperability between heterogeneous services
77A6FA7C	On the Dimensional Estimate of Rounding-Errors of a typical Computing Process
5F72A018	SOFT – Generating Highly Flexible Object Code from XML Specifications
7ECE19C6	Islamic organizational leadership within a Western society: the problematic role of external context
85B82E31	Code generation for streaming: an access/execute mechanism
77B71688	Using Graph Coloring in an Algebraic Compiler
79E78D08	Code size and performance optimization for mobile JavaScript just-in-time compiler
7B5DA3C1	Testing a conceptual locus
5DE8419D	A Genetic Approach for Generating Good Linear Block Error-Correcting Codes
6D586D9A	The use of ROOM in the design of data-acquisition software components
7F52DF1B	Symmetric LDPC codes and local testing
58F04847	A CSP-BASED TRAJECTORY FOR DESIGNING FORMALLY VERIFIED EMBEDDED CONTROL SOFTWARE*)
7E70ACDD	Tool Supported Specification and Simulation of Distributed Systems
7BA7D041	High performance embedded domain specific languages
767F16CC	Automated Unit Testing of a SCADA Control Software: An Industrial Case Study Based on Action Research
7E1E8B03	Fast Variation-Aware Statistical Dynamic Timing Analysis
028BD6F0	Co-Synthesis of Instruction Sets and Microarchitectures
7BCFD597	Seismic Performance Evaluation of Steel Moment-Resisting Frames Using Iranian, European and Japanese Seismic Codes
5A85D286	Design abstractions for innovative web applications
77BEAE22	A Markup Language for Parallel Programming Model on Multi-core System
7BF091B1	Development of CAD/CAM software used in laser direct manufacture
7C0FA22E	Applying CIM-to-PIM model transformations for the service-oriented development of information systems
81744BF3	Tolerating hardware device failures in software
764D0485	Introducing variability into aspect-oriented modeling approaches
6423D476	Flexible Environments for Grand-Challenge Simulation in Climate Science
800AB2DE	VHDL Code Generation from Formal Event-B Models
595D3F8A	Low-cost all-polymer integrated circuits
7A0CA49C	A genetic programming problem definition language code generator for the epochX framework
8154068A	Applied Research of EDA Technology in Course of Digital Communication Principle
5D793C9F	Workshop 9 Summary
7A1E6D0B	General principles and new trends in the simulation of static converters and drives
770426EB	Application Software Modeling and Integration Methodology using AUTOSAR-ready Light Software Architecture
7AA11478	Round-Trip Modeling Using OPM/PL
7EAD36CF	Measures of Syntactic Complexity for Modeling Behavioral VHDL
7A487701	On codes from hypergraphs
815A9961	QoS measurement issues with DAML-QoS ontology
7B1B0A80	Dynamic data scratchpad memory management for a memory subsystem with an MMU
78C8DD27	Machine Code Generation within a Compiler—a Teaching Model
815F9CAC	Architecture of a mediator for a bioinformatics database federation
5A9116B8	Timing Performances of Automatically Generated Code Using MDA Approaches
5FBEA856	Design method of supervision and accommodation of a machining center control
5ECC75A8	A compact programmable array processor
80EE2F5A	SAW Quadraphase Code Generator
5B6F9CD9	A Reflection Based Framework for Automation of Parameter Variations in Simulation
7D2A0430	A critique of Web application generators
5ECF5F0F	EpsiloNN - A Specification Language for the Efficient Parallel Simulation of Neural Networks
7BF41970	A modular and hierarchical meta-model for the control design of manufacturing systems
7F49A552	Model Based Test Generation for Microprocessor Architecture Validation
12575041	Building Code Generators for DSLs Using a Partial Evaluator for the Xtend Language
7608EEA2	Application of a remote code generator
01611F3A	Predictability in Real-time System Development (2) A Case Study
6B59BCB5	Domain-specific language design requires feature descriptions
5CEE2158	Supporting Separation of Concerns to Automation of Code Generation * *
00CDE3F2	Meta-level Architecture for Extendable C++ Draft Document
7F04257A	Towards a Text Generation Template Language for Modelica
80EC8AB5	Model-based energy management strategy development for hybrid electric vehicles
7B85D2FF	SIMSOLUTION: an open simulation environment founded on extreme multitasking
830B1FAB	AspectAssay: A Technique for Expanding the Pool of Available Aspect Mining Test Data Using Concern Seeding
635556EA	Spread-spectrum Markovian-code acquisition in asynchronous DS/CDMA systems
7DA5CFEB	A declarative language approach to device configuration
7931A590	Visual identification of industrial components using part family classification coding system
74F16EF7	Reducing data access penalty using intelligent opcode-driven cache prefetching
7C13418F	Performance estimation framework for FPGA-based processors
79A3C7CE	CORBA-based Common Software for the ALMA project
795D20AA	APL2M: Cross-computer software for straightforward language definition and code generation
0A7598EA	C3NET: Smart Environment for .NET Code Generation using MDA
7BD32219	New convolutional codes. III
5CB10847	Using annotations to check structural properties of classes
6ABE9176	Machine Code Programs are Predicates Too
03F6C3CF	Research activities of the Study Center of Aleatory and Geophysical Phenomena
7D1EAFC8	Automatic generation of platform-specific transformation
7516333F	Simulations of Disc Explosive Magnetic Generators and Quasi-Spherical Liners with a 1D Code
08092BB9	The price of certainty:
60199780	Request Interface for Operations: A Web Service and Workflow Prototype
816651C5	Does Code Generation Promote or Prevent Optimizations?
78D311BD	A flexible compiler structure that allows dynamic phase ordering
794B85C4	Wavelength-time optical CDMA scheme adopting commercial 2 m ×2 m arrayed waveguide gratings
0B103BDC	Automated approach to quantitative error analysis in neutron transport calculations
586B01A5	A Generic Approach for Energy Efficient Context Recognition Using Smart Phones
5E1BC98A	The development of Web-based e-business system for rapid prototyping manufacturing
5BD04C7B	Recent Developments in Federal Income Taxation
7E6D2563	Monitoring Cycle Design for Fast Link Failure Localization in All-Optical Networks
03FD283A	Configuration and Code Generation Tools Targeting Middleware for Embedded Devices
77DFB055	AMP-activated protein kinase is activated in adipose tissue of individuals with type 2 diabetes treated with metformin: a randomised glycaemia-controlled crossover study
8126E65B	An investigation of time transfer accuracies over a utility microwave communications channel
7B7B515D	The programming of cross-assemblers on the ES-computer with the use of standard macroassembler
779EDBCD	Bianchi-symmetric metrics
7723D47F	Feature based automatic CNC code generation for prismatic parts
5C221672	COLOR-X: Object Modelling profits from Linguistics
7F3AD240	Formal verification of an optimizing compiler
7F1FD397	A H.264 decoder: A design style comparison case study
7DD9842E	Iterative knowledge based code generator for IEC 61499 function block
5F81AE37	Partitioning Non-strict Functional Languages for Multi-threaded Code Generation
03C58A0B	Composition Filters in Smalltalk
805D95C9	Top–Down Gaze Movement Control in Target Search Using Population Cell Coding of Visual Context
79CE942C	A code-splitting algorithm
5A5A80D7	Implementing LOTOS Specifications by Communicating State Machines
0A443B02	Reusing distributed simulation through processing tools
7B13974E	A toolbox for program manipulation and efficient code generation with an application to a problem in computer vision
7EB17F0F	A Toolbox for the Development of Logic Controllers using Petri Nets
7F2AFAEC	Group codes for phase- and amplitude-modulated signals on a Gaussian channel
5C6D6761	Secure code generation for web applications
7B9BA2A0	Experiences with Software Specification and Verification Using LP, the Larch Proof Assistant
7C79E727	Application of Code Generation Technology in Software Projects
760BBB12	Optimizing two‐state case statements in Pascal
7C4DD92D	The 6th OOPSLA workshop on domain-specific modeling
7A114AA6	An improved IDL compiler for optimizing CORBA applications
768B4952	Presetting polynomial code generators
75191363	Visual behavior programming with automatic script code generation
7B9D4959	A class of optimal constant composition codes from GDRPs
6E602DC9	A Parallel Algorithm for Dilated Contour Extraction from Bilevel Images
7A3CE427	LDPC codes based on Progressive Edge Growth techniques for block fading channels
60907921	FPGA Implementation of LS Code Generator for CDM Based MIMO Channel Sounder
7852A284	Optimisation of clustering algorithms for the reconstruction of events started by a 1GeV photon beam in a segmented BGO calorimeter
6FB2206B	Harvesting software systems for MDA-Based reengineering
811462D9	Critical performance path analysis, and efficient code generation issues, for the Seamless architecture
84ED60C4	Optimal vs. heuristic integrated code generation for clustered VLIW architectures
7DEC04DD	FRIDGE: an interactive code generation environment for HW/SW codesign
12734A05	Two -Level Grammar as the Formalism for Middleware Generation in Internet Component Broker Organizations *
81D62764	The Texture Animator
0EBB8C3F	CRSEC: a general purpose Hauser--Feshbach code for the calculation of nuclear cross-sections and thermonuclear reaction rates. [In FORTRAN IV for CDC 7600 (CRSECI conserves isospin properly in all reactions)]
0AFFE960	Manual for the program CASLE: cycle analysis and second-law evaluation
7FA7AA12	Functional Verification of Memory Circuits from Mask Artwork Data
7D7E2CAC	Automated testing of security functions using a combined model and interface-driven approach
80FA1FFF	An Authoring Tool and Extendable Production Architecture for Interactive Television Services
802FDD83	Volta: Developing Distributed Applications by Recompiling
7F365CE5	Analysis of a factory of the future using an integrated set of software for manufacturing systems modeling
7E932C59	An integrated framework for rapid system prototyping and automatic code distribution
72A1057E	A code generator for an application specific pipelined processor
80879606	Towards auto-tuning description language to heterogeneous computing environment
5B151503	A Placement/Routing Approach for FPGA Accelerators
78E749BF	Extracting a domain specific language from an example: a bottom-up method using the ngrease metalanguage
587D5592	Analysis of Air Traffic Track Data with the AutoBayes Synthesis System
7F8183DE	CTP-A family of optimizing compilers for the NS32532 microprocessor
79656917	Probabilistic search of nonbinary LDPC codes for distributed video coding
5AAAB941	Specification of an IF1 to PG translator for the Epsilon-2 dataflow machine
786CBE1F	Analysis of in-situ stitches in precast concrete segmental bridges
7760098E	General circulation model sensitivity experiments with pole‐centered supercontinents
02598548	A Comparison of Aspect-Oriented Approaches to Model Driven Engineering
7F19BFBE	Synthesis of diagnostic techniques based on an IEC 61508-aware metamodel
764C0900	ModelRob: A Simulink Library for Model-Based Development of robot manipulators
80232E8D	Full rank distance codes and optimal STBC for BPSK modulation
6F78985D	Behavioural VHDL code generation for synchronous FSMs
7DBE337B	10-Gb/s CMOS ultrahigh-speed gold-code generator using differential-switches feedback
7D7B9F4E	Design Phase Analysis of Software Qualities Using Aspect-Oriented Programming
80C41B07	GrassRoots: socially-driven web sites for the masses
06602E36	Unify and Conquer (Garbage, Updating, Aliasing, ...) in Functional Languages
84A83AB3	Integrated code generation by using fuzzy control system
78D89B50	SECG: The SCOOP-to-Eiffel Code Generator
785F53DF	Validation of HELIOS Neutron Cross-Section Library for RBMK Reactors Against the Data From the Critical Facility Experiments
7EA81D67	Shape Code Based Word-Image Matching for Retrieval of Indian Multi-lingual Documents
06F031CC	Command and Control for ADSP-21992 : template design for mechatronica project
8165A9F4	Off-line segmentation of GPS signal tracking using a Bayesian approach
667CBEDA	Multi-matrix Real-coded Genetic Algorithm for Minimising Total Costs in Logistics Chain Network
7FB9F080	Automatic design of parallel implementations of DSP algorithms
7E184509	A pair of asymmetric weighting receivers and polyphase codes for efficient aperiodic correlations
77AD5DAD	Challenges in generating qos-constrained software implementations
7BE2F3F4	Perfect DFT sequences transformed into orthogonal sequences
7DCF3E48	EIGER™ development and application to an IR frequency-selective surface
022FC899	A Transportable Code Generator System
8026D2AE	Distributed P2P computing within Triana: a galaxy visualization test case
775AC5D6	A compiler tutorial scaled for the programming languages course
7F077C67	Generating Web Monitors
81548216	Unified systems of encoding and decoding for a class of algebraic-geometric codes
7ACA7565	Matching program code generators to software developers' needs
80D221E7	Toward tools and methodology for the fixed-point implementation OF linear filters
