7D97E2A4	Information not present<--Symmetric clock synchronization in sensor networks
80E0D669	International Conference on Computer Communications<--Global clock synchronization in sensor networks
79F4EE44	Foundations of Physics Letters<--Is there a universal scale of time?
0565F44F	Information not present<--Fail-Aware Clock Synchronization
7F9C6FB5	IEEE Transactions on Communications<--Dissemination of System Time
0061E68E	Information not present<--DCNET Internet Clock Service
7F51DA89	Information not present<--Low Cost Approximate Agreement In Partially Connected Networks
80343203	IEEE\/ACM Transactions on Networking<--Optimal anycast technique for delay-sensitive energy-constrained asynchronous sensor networks
78652F88	Ad Hoc Networks<--Scalable synchronization of clocks in wireless sensor networks
58B5612F	Information not present<--Performance of a dedicated VLBI system for TDRSS navigation
7B3E4E66	Algorithmica<--On the Feasibility of Time Estimation under Isolation Conditions in Wireless Sensor Networks
7930FA39	IEEE Communications Letters<--Mitigation of Asymmetric Link Delays in IEEE 1588 Clock Synchronization Systems
0A384774	Information not present<--Formal Methods at NASA Langley
80417E75	Information not present<--On-condition maintenance for wind turbines
738375AC	International Conference on Distributed Computing Systems<--A probabilistic approach to distributed clock synchronization
7562E2BC	Information not present<--Joint sequential target state estimation and clock synchronization in wireless sensor networks
001D1BE4	Information not present<--Dichotomy: A Practical Architecture for Multi-channel IEEE 802.11 Multi-hop Networks
85886C0E	Grid and Cooperative Computing<--Self-adaptive clock synchronization for computational grid
7D7CFAB0	IEEE Transactions on Software Engineering<--Using Timed Automata for Modeling Distributed Systems with Clocks: Challenges and Solutions
7CE521AA	Wireless Personal Communications<--AdaSynch: A General Adaptive Clock Synchronization Scheme Based on Kalman Filter for WSNs
7E0F03AB	Custom Integrated Circuits Conference<--470 MHz digital filter on delta-sigma modulated signals
12C3AD77	Information not present<--Technology Update on IEEE 1588: The Second Edition of the High Precision Clock Synchronization Protocol
796ECF31	International Conference on Communications<--Stochastic Sleep Scheduling for Large Scale Wireless Sensor Networks
762EB754	IEEE Transactions on Computers<--Synchronization of fault-tolerant clocks in the presence of malicious failures
7F4DC590	Computer Science and Information Engineering<--Clock Synchronization in Clusters for Performance Evaluation: Numeric/Scientific Computing
6016C447	Information not present<--Convention in the general definition of distance.
7FEFCC59	Advanced Industrial Conference on Telecommunications<--Passive cluster based clock synchronization in sensor network
8022410E	Local Computer Networks<--Real time multicast in wireless networks
5E1F2D8C	Emerging Technologies and Factory Automation<--Using UPPAAL to model and verify a clock synchronization protocol for the controller area network
7EAA60BC	IEEE Transactions on Instrumentation and Measurement<--Precision Clock and Time Transfer on a Wireless Telecommunication Link
04DDD184	Information not present<--Clock synchronization in hard real-time distributed systems
7C5FE362	Information not present<--Improvement of precise time synchronization algorithm based on IEEE1588
80998D01	Information not present<--Modeling and tracking clocks with time-varying skews using information criteria
7FC3B8EC	Dependable Systems and Networks<--Design and implementation of a consistent time service for fault-tolerant distributed systems
7D173F77	Multimedia Signal Processing<--Performance evaluation of enhanced FIR filter based module for clock synchronization in MPEG2 transport stream
7F9EF735	EURASIP Journal on Advances in Signal Processing<--Extension of pairwise broadcast clock synchronization for multicluster sensor networks
621BB400	Information not present<--Some popular problems of substation automation in China
8061CC4F	IEEE Transactions on Power Systems<--Efficient and accurate representation of asynchronous network structure changing phenomena in digital real time simulators
63CA229F	Information not present<--A burst compression and expansion technique for variable-rate users in satellite-switched TDMA networks
7EA129F7	Neural Computing and Applications<--Fail-Aware Publish/Subscribe
7E9FABBB	Information not present<--Physical design of YAK SoC by using an efficient clock tree synthesis method
765A6A67	IEEE Journal of Solid-state Circuits<--50–250 MHz ΔΣ DLL for Clock Synchronization
7C079FCA	Microprocessors and Microsystems<--Layered interactive convergence for distributed clock synchronization
83CBDB91	Iete Journal of Research<--Simultaneous Two-Way Time Transfers between National Physical Laboratory, Space Applications Centre and Madras Earth Station Via the Symphonie Satellite
7DAD2D87	IEEE Transactions on Signal Processing<--Low-Complexity Maximum-Likelihood Estimator for Clock Synchronization of Wireless Sensor Nodes Under Exponential Delays
7C1AF04F	Journal of Software<--Research of the Precision Clock Synchronization Based on IEEE 1588
606217AE	Information not present<--FPGA application of marine navigation system for DSP
80928BCB	International Conference on Network Protocols<--TrueLink: A Practical Countermeasure to the Wormhole Attack in Wireless Networks
7F83E106	Information not present<--Demystifying Data-Driven and Pausible Clocking Schemes
639ED2BE	Information not present<--Cislan-2 extension final document by University of Twente (Netherlands)
5D2E3367	Real-time Systems<--A Network Time Interface M-Module for Distributing GPS-Timeover LANs
7FF30DD3	IEEE Transactions on Communications<--External Clock Synchronization Plans for the GTD 3 EAX Digital Toll/Tandem
62F79E50	Clinical Orthopaedics and Related Research<--Linear-time Self-stabilizing Byzantine Clock Synchronization
80FCDE47	IEEE Transactions on Parallel and Distributed Systems<--A global-state-triggered fault injector for distributed system evaluation
789EB8D5	Physical Review A<--Accelerating light clocks
80FEEF8A	American Control Conference<--Real-time operating environment for networked control systems
5A68FCE2	International Conference on Wireless Networks<--Robust multi-hop time synchronization in sensor networks
76CBF1D9	IEEE Journal of Solid-state Circuits<--A Low-Power Wide-Range Clock Synchronizer With Predictive-Delay-Adjustment Scheme for Continuous Voltage Scaling in DVFS
7CCFCDF4	Formal Methods in Computer-Aided Design<--A Formal Model of Clock Domain Crossing and Automated Verification of Time-Triggered Hardware
79FF000D	Information not present<--On timeliness of a fair non-repudiation protocol
7CA163AC	Communication Systems and Networks<--A robust gradient clock synchronization algorithm for wireless sensor networks
7D5A81E6	Advanced Information Networking and Applications<--Efficient,and scalable IEEE 802.11 ad-hoc-mode timing synchronization function
4C01E6B6	Automation, Robotics and Control Systems<--An Approach to Fault-Tolerant Clock Synchronization for Wireless Local Area Networks
7F7136DE	International Symposium on Parallel and Distributed Computing<--Hierarchical detection of strongly consistent global states
7A6DA72E	Science China-physics Mechanics & Astronomy<--Orbit determination for geostationary satellites with the combination of transfer ranging and pseudorange data
8004BC10	Symposium on Applications and the Internet<--Estimation of clock offset from one-way delay measurement on asymmetric paths
7A5FAA68	Principles of Distributed Computing<--Wait-free clock synchronization
813CBD6E	Modeling Analysis and Simulation of Wireless and Mobile Systems<--Modeling and simulation comparison of two time synchronization protocols
7666EEF0	IEEE Photonics Technology Letters<--Low Noise Ultrashort Pulse Generation by Direct RF Modulation at 22 GHz From an AlGaInAs Multiple Quantum-Well Laser at 1.55 $\mu{\rm m}$
6DB704B1	International Colloquium on Automata, Languages and Programming<--On Distributed Algorithms in a Broadcast Domain
061A259D	Information not present<--TREE STRUCTURED TIME SYNCHRONIZATION PROTOCOL IN WIRELESS SENSOR NETWORK
808B1C65	IEEE Transactions on Instrumentation and Measurement<--Towards master-less wsn clock synchronization with a light communication protocol
00ACCAA7	Information not present<--High-Accuracy Time Services and Fault-Tolerant Clock Synchronization
78471A94	Design, Automation, and Test in Europe<--Exploring pausible clocking based GALS design for 40-nm system integration
7D6B7F02	Automatica<--Clock synchronization protocol for wireless sensor networks with bounded communication delays
7868D2CE	American Journal of Physics<--Clock synchronization, a universal light speed, and the terrestrial redshift experiment
764304E8	Principles of Distributed Computing<--1/k phase stamping for continuous shared data (extended abstract)
7DA3F24D	IEEE Transactions on Communications<--Self-Noise Spectral Measurements in Clock Synchronizers
62830468	Information not present<--A Comparison of Intercontinental Clock Synchronization by VLBI and the NTS Satellite
7DE88EB3	Euromicro Conference on Real-Time Systems<--Harmonious internal clock synchronization
5B7DE08C	Information not present<--About using TV broadcasting satellites for the time scale synchronization
5EC1BD46	Communications in Theoretical Physics<--Effects of Quantum Noise on Quantum Clock Synchronization
7FE5EF14	Information not present<--Clock synchronization in MAFT
7ACD725C	Information not present<--Analysis and resolution of key issues in OFDM system simulation
7FE25D7D	International Symposium on Circuits and Systems<--Asynchronous-QDI 2D IIR digital filter circuits
7F0D0ECC	Parallel, Distributed and Network-Based Processing<--The Controlled Logical Clock – a Global Time for Trace Based Software Monitoring of Parallel Applications in Workstation Clusters
7F3A6D00	Journal of Biological Chemistry<--Differential Sorting of the Vesicular Glutamate Transporter 1 into a Defined Vesicular Pool Is Regulated by Light Signaling Involving the Clock Gene Period2
7E47E674	Next Generation Internet<--A non-cooperative active measurement technique for estimating the average and variance of the one-way delay
58C8F28E	Information not present<--High Performance Microprocessor Design Methods Exploiting Information Locality and Data Redundancy for Lower Area Cost and Power Consumption
79DA8799	IEEE Transactions on Computers<--A design approach for self-diagnosis of fault-tolerant clock synchronization
7675EEBE	International Conference on Mobile and Ubiquitous Systems: Networking and Services<--Time Division Flooding Synchronization Protocol for Sensor Networks
7C2AB401	Optical Fiber Technology<--High speed quantum key distribution system
5A12C12C	Information not present<--Channel Modeling and Time Delay Estimation for Clock Synchronization Among Seaweb Nodes
81339811	IEEE Signal Processing Letters<--Frequency Modulation and First-Order Delta Sigma Modulation: Signal Representation With Unity Weight Dirac Impulses
7E2EB541	Applied Physics Letters<--Distant clock synchronization using entangled photon pairs
80AD1DD2	Information not present<--Implementation of time offset estimation with General Cell
5BE1BC8A	IEEE Transactions on Reliability<--Distributed time-management in transputer networks
7E263F28	Global Communications Conference<--QRPp1-4: Characterizing Quality of Time and Topology in a Time Synchronization Network
801323B7	IEEE Transactions on Instrumentation and Measurement<--Power consumption reduction in Wireless Sensor Networks through optimal synchronization
7D1D1A0E	Workshop on Intelligent Solutions in Embedded Systems<--Establishing wireless time-triggered communication using a firefly clock synchronization approach
7FFB7B50	Journal of Optics B-quantum and Semiclassical Optics<--Clock synchronization and dispersion
5F8E17F6	Information not present<--Mirage: a model for latency in communication
806CE9BA	IEEE Journal on Selected Areas in Communications<--Timing recovery for OFDM transmission
77E1339D	Information not present<--Verification of a Byzantine-Fault-Tolerant Self-Stabilizing Protocol for Clock Synchronization
5E37E054	Information not present<--Multi-band acoustic modem for the communications and navigation aid AUV
795921E1	Information not present<--Clock Synchronization Using Expectation-Maximization Algorithm in Wireless Sensor Network
024D9735	Information not present<--Real-time systems using local-area networks. Technical report
80BCC300	Information not present<--Reliable monitoring of network-related performance parameters in wireless environments
67AA9F8F	International Journal of Computers and Applications<--Egophobic Voting Algorithms
818F7030	International Solid-State Circuits Conference<--A 150mW subscriber line board controller
79B35850	Information not present<--York Map, Non-Inertial Frames and the Physical Interpretation of the Gauge Variables of the Gravitational Field
78DA4353	Symposium on the Theory of Computing<--On the possibility and impossibility of achieving clock synchronization
011C731E	Information not present<--Influence of relativity theory effects on VLBI clock synchronization
7DD07AE1	Information not present<--The algorithm of rapid signal capture and synchronization recognition in wireless communication and its implementation
76913DBD	Information not present<--Single-Event Characterization of Multi-Gigabit Transceivers (MGT) in Space-Grade Virtex-5QV Field Programmable Gate Arrays (FPGA)
81B91587	Theoretical Computer Science<--Near-optimal radio use for wireless network synchronization
0B2729B3	Iete Journal of Research<--An Error Monitoring and Correction Circuit for Clocks
809EFE7C	International Solid-State Circuits Conference<--A 6.5mW inductorless CMOS frequency divider-by-4 operating up to 70GHz
7B5AF025	IEEE Transactions on Reliability<--Egocentric voting algorithms
75ADA2B3	Physical Review D<--Optical position meters analyzed in the non-inertial reference frames
7B6EE57C	Information not present<--The programmable logic implementation of GPS/GLONASS clock synchronization
7C0F5767	IEEE Transactions on Instrumentation and Measurement<--Time Synchronization by Television
58907B2C	Information not present<--Twenty-five years of satellite beacon studies in India
785CF91E	Information not present<--An energy-efficient clock synchronization protocol for Wireless Sensor Networks
7D8315EE	Information not present<--Low power optimization for a 40nm RFCMOS wireless connectivity chip
761E71DC	Computational Intelligence<--Energy Efficiency in Wireless Sensor and Actor Networks by Distributed Time Sychnronization Algorithm
76472979	Principles of Distributed Computing<--A better wake-up in radio networks
6ED9BA06	Lecture Notes in Computer Science<--Clock synchronization state graphs based on clock precision difference
80E2767B	IEEE Transactions on Communications<--Bit Synchronization in the Presence of Asymmetric Channel Noise
759C022B	Information not present<--A Reliable and Self-Aware Clock for reference time failure detection in internal synchronization environment
5C0DFC9A	Information not present<--Highly-accurate real-time syntonization by use of a single-frequency receiver with GPS carrier phase
7E8E0CA3	Information not present<--Cryptanalysis of the chaotic-based key agreement protocols
6346B316	Information not present<--Measurement of one-way velocity of light and light-year
7BC02CE4	Information not present<--The cost of variability
7CC036A6	International Conference on Intelligent Computing<--Design and quantitative evaluation of a novel FlexRay Bus Guardian
7BF00854	Acta Informatica<--Randomization adaptive self-stabilization
7D0402C2	American Control Conference<--A novel control scheme based on online delay evaluation for a class of networked control systems
768D22E1	International Conference on Ubiquitous Information Management and Communication<--Broadcast analysis in dense duty-cycle sensor networks
6069F5C9	Information not present<--Operational VLBI clock synchronization and platform parameter determination
7E55010D	IEEE Transactions on Communications<--Time and frequency transfer between master and slave clocks
75620336	Modelling Autonomic Communications Environments<--Research on high-precision real-time automatic detector
85BF1BB4	Information not present<--Self-adaptive clock synchronisation based on clock precision difference
7F0B6B94	Information not present<--Re-examine the two principles of special relativity and the Sagnac effect using GPS' range measurement equation
0462686F	Information not present<--Ananlysis of clock synchronization algorithms
7CECD81E	Information not present<--UWB-over-fiber sensor network for accurate localization based on optical time-division multiplexing
79185679	Journal of Optics B-quantum and Semiclassical Optics<--Defending continuous variable teleportation: why a laser is a clock, not a quantum channel
7F0DBD83	Information not present<--Localization and clock synchronization need similar hardware support in wireless LANs
80DF8C2C	Electronic Proceedings in Theoretical Computer Science<--Modelling Clock Synchronization in the Chess gMAC WSN Protocol
7C488B89	Physical Review Letters<--Quantum clock synchronization based on shared prior entanglement
80417A7C	Information not present<--Recursive time-synchronization in sensor networks
178CABEE	Information not present<--IMPROVED CLOCK ESTIMATION FOR PAIRWISE BROADCAST SYNCHRONIZATION IN WIRELESS SENSOR NETWORKS WITH GAUSSIAN DELAY MODEL
7C90388E	Information not present<--Fully distributed clock synchronization in wide-range TDMA Ad-Hoc networks
63D2C1DF	Canadian Conference on Electrical and Computer Engineering<--Multichannel multipoint distribution service system synchronization using global positioning system clock
80888067	Symposium on Reliable Distributed Systems<--Interaction of formal design systems in the development of a fault-tolerant clock synchronization circuit
7ECC3159	Information not present<--Fault detection and recovery coverage improvement by clock synchronized duplicated systems with optimal time diversity
595932E1	Information not present<--Fuzzy-system of clock synchronization at random changes of the phase of input action
813E3E38	Design, Automation, and Test in Europe<--Remote measurement of local oscillator drifts in FlexRay networks
7F2A5C8A	IEEE Transactions on Computers<--Temporal Predicate Detection Using Synchronized Clocks
7990C021	Information not present<--A clock synchronization method for ad hoc networks
7F0F6C3A	Foundations of Physics<--Superluminal Signals and the Resolution of the Causal Paradox
5D6F6AFF	International Conference on Computer Communications<--On setting-up asynchronous ad hoc wireless networks
60B4D34F	Information not present<--An analysis of radio interferometry with the block O system
80158EB2	Information not present<--Pushing the limits of remote online diagnosis in flexray-based networks
7D9D8581	International Conference on Data Engineering<--Implementation and measurements of efficient communication facilities for distributed database systems
77D9510F	Information not present<--An improved Kerberos protocol based on fast RSA algorithm
133A247B	Information not present<--High Accuracy Clock Synchronization Experiment(WSANE2006)
7DDDD8B8	Formal Methods<--Analysis of a Clock Synchronization Protocol for Wireless Sensor Networks
6F1A4B42	International Conference on Communications<--A scalable RTT estimation algorithm for multicast congestion control
05BB90C9	Information not present<--Time/frequency dissemination and clock synchronization
80E72FFA	Global Communications Conference<--MMAC-HR: Multi-Channel Medium Access Control with Hopping Reservation for Multi-Hop Wireless Networks
5DAE8638	Information not present<--Submicrosecond comparison of intercontinental clock synchronization by VLBI and the NTS satellite
7FCFC545	Information not present<--Research of time synchronization in digital substation based on IEEE 1588
78A7CEF7	Foundations of Physics Letters<--Non-standard clock synchronization in special relativity and the hypothetical ether frame
60CE51EA	Clinical Orthopaedics and Related Research<--Quantum Clock Synchronization with one qubit
77104C17	Information not present<--Wait and Watch Technique: Removing Time synchronization overhead in Wireless Sensor Network
62A8F8D0	Information not present<--Remarks on Clock Synchronization
640AC857	Information not present<--System Timing and Synchronization.
8078F819	IEEE Transactions on Communications<--Optimum receiver design for OFDM-based broadband transmission .II. A case study
5C6669E9	Information not present<--A new, nearly free, clock synchronization technique
78129FCD	Information not present<--Application of Gibbs Sampler for Clock Synchronization in Rbs-Protocol
807D1B73	IEEE Transactions on Nuclear Science<--An integrated high performance FASTBUS slave interface
7DB0BCC4	Information not present<--Research on RSS based Indoor Location Method
77F76B9E	Principles of Distributed Computing<--Self-stabilizing clock synchronization with Byzantine faults
792663B0	Information not present<--Impedance simulator for automatic calibration of LCR meters over the entire complex plan
5BCCC17B	International Conference on Principles of Distributed Systems<--Optimal Deterministic Remote Clock Estimation in Real-Time Systems
791A752E	Principles of Distributed Computing<--Self-stabilization—beyond the token ring circulation (brief announcement)
806249C4	Radio Science<--A review of satellite time transfer technology: Accomplishments and future applications
6020FECA	Information not present<--Source structure errors in radio-interferometric clock synchronization for ten measured distributions
75B3BF5C	Mobile Ad Hoc Networking and Computing<--Internal synchronization of drift-constraint clocks in ad-hoc sensor networks
7DB9B07E	International Symposium on Circuits and Systems<--Wave pipelines via look-up tables
71C4FB95	Information not present<--АЛГОРИТМ ТАКТОВОЙ СИНХРОНИЗАЦИИ И ОЦЕНИВАНИЯ МОЩНОСТИ ШУМА, ИНВАРИАНТНЫЙ К МНОГОЛУЧЁВОСТИ И ВИДУ МОДУЛЯЦИИ
7A355BA2	American Journal of Physics<--A New Method of Clock Synchronization without Light Signals
78D14C95	Computer Communications<--Clock recovery based on packet inter-arrival time averaging
758DBEC0	Principles of Distributed Computing<--Brief announcement: linear time byzantine self-stabilizing clock synchronization
785300FF	IEEE Transactions on Aerospace and Electronic Systems<--Clock Synchronization from Satellite Tracking
753A7A32	Information not present<--Clock Synchronization Via Relay II, Preliminary Report
7A7D8CFD	Design Automation Conference<--An Effective Delay Analysis System for a Large Scale Computer Design
5CEABA7B	Information not present<--Simulation of an all optical time division multiplexing router employing symmetric Mach-Zehnder (SMZ)
7FE5F9C5	Vehicular Technology Conference<--Asynchronous power management scheme for wireless ad-hoc networks
7D70D5C3	Information not present<--Analog Versus Digital Control of a Clock Synchronizer for 3 gb/s Data with 3.ov Differential Ecl
80D42C77	IEEE Transactions on Communications<--An all digital receiver architecture for bandwidth efficient transmission at high data rates
610B4FF5	Electrical Engineering in Japan<--Receiver for global positioning system
77A8D4E1	Information not present<--Secure topology discovery through network-wide clock synchronization
75A13D3A	Communications of The ACM<--Time, clocks, and the ordering of events in a distributed system
03BAFD29	Information not present<--Interval-based Clock Synchronization Revisited
795957F2	Information not present<--Digital Clock Synchronization Via Switched Long Distance Telephone Lines
81060E67	International Symposium on Information Theory and its Applications<--Ultra-precise clock synchronization of remote atomic clocks with PRARE onboard ERS-2
5CFC9815	Mobile Adhoc and Sensor Systems<--Interval-based clock synchronization is resilient to mobility
813815D2	Information not present<--Path Selection Based on Single Direction Delay Difference
7C649FE3	Principles of Distributed Computing<--On the interconnection of causal memory systems
78CFDAFB	Operating Systems Review<--Non-byzantine clock synchronization—a programming experiment
80EC38C0	IEEE Photonics Technology Letters<--Electrical subharmonic hybrid mode locking of a colliding pulse mode-locked laser at 28 GHz
63FD63B9	Information not present<--Preliminary error budget for an optical ranging system: Range, range rate, and differenced range observables
7E80C0F3	Information not present<--A new clock synchronization architecture of network for Internet of Things
7F95A7E4	Euromicro Conference on Real-Time Systems<--Clock synchronization for wireless local area networks
79B30521	Information not present<--Clock Synchronization and Sub-clock Extraction of Optical Signals at High Rates using an Opto-Electronic PLL Based on Three-Wave Mixing in PPLN
80D90D38	IEEE Transactions on Signal Processing<--Robust Clock Synchronization in Wireless Sensor Networks Through Noise Density Estimation
5BC354FE	Real-time Systems<--Integrating External and Internal Clock Synchronization
58EFE930	Telecommunication Systems<--Clock synchronization of MPEG-2 services over packet networks
7F9FF99D	Principles of Distributed Computing<--Collecting distributed garbage cycles by back tracing
7B24446D	Measurement Techniques<--Evaluation of circuits for synchronization of electronic clocks with standard time and frequency signals
7E1BA761	Dependable Systems and Networks<--Loki: a state-driven fault injector for distributed systems
755287BE	Radio Science<--Ramp time synchronization
80E5DD00	Information not present<--Optimal FIR filtering of clock models
7C11C902	Real-time Systems<--CesiumSpray>: a Precise and Accurate Global Time Servicefor Large-scale Systems
76E618BA	Principles of Distributed Computing<--Tight bounds for clock synchronization
6163F27F	Information not present<--Theoretical Predictions for VLF Radio Propagation
7E5F6534	IEEE Journal on Selected Areas in Communications<--MH-TRACE: multihop time reservation using adaptive control for energy efficiency
7D773A2A	Information Processing Letters<--Four-state stabilizing phase clock for unidirectional rings of odd size
0A7A8E43	Information not present<--Investigations on Security Aspects in Clock Synchronized Industrial Ethernet
79E7278D	Resuscitation<--Defibrillator and dispatch center clock synchronization is essential for time-sensitive treatment of cardiac arrest
80B95B14	Fundamenta Informaticae<--Formal Refinement Checking in a System-level Design Methodology
7CF103EF	IEEE Transactions on Communications<--Slot Synchronization in Optical PPM Communications
7D4C763F	Information not present<--Ordering in time: A new routing approach for wireless networks
77C7010D	Operating Systems Review<--Exploring the interdisciplinary connections of gossip-based systems
06892212	Information not present<--A New Form of clock Synchronization
76832C90	IEEE Transactions on Wireless Communications<--Joint Node Localization and Time-Varying Clock Synchronization in Wireless Sensor Networks
633604F3	Information not present<--Clock Synchronization Capabilities of the VLBA
81D82F3F	International Solid-State Circuits Conference<--110 GB/s simultaneous bi-directional transceiver logic synchronized with a system clock
80C73C07	Assembly Automation<--A precise clock synchronization protocol
6FE59570	Software Technologies for Embedded and Ubiquitous Systems<--Reactive Clock Synchronization for Wireless Sensor Networks with Asynchronous Wakeup Scheduling
760C5254	Information not present<--A Primer on Energy-Efficient Synchronization of WSN Nodes over Correlated Rayleigh Fading Channels
58AE7E04	Information not present<--Source structure errors in the synchronization of clocks by radio interferometry
772ABA26	Sigmetrics Performance Evaluation Review<--Maximum likelihood network topology identification from edge-based unicast measurements
5CC373F7	International Conference on Network Protocols<--Sniffing out the correct physical layer capture model in 802.11b
5B559002	Information not present<--Statistical Probabilistic Clock Synchronization Algorithm
7928BDD4	Information not present<--Improving IEEE 1588v2 time synchronization performance with phase locked loop
67176381	Information not present<--Stochastic Net Model for Self-Stability Measures of Fault Tolerant Clock Synchronization
7C11975D	Distributed Computing<--Alternators on uniform rings of odd size
8145DC43	International Conference on Acoustics, Speech, and Signal Processing<--Fully distributed clock skew and offset estimation in wireless sensor networks
7F7D7BBD	Sensors<--Clock Synchronization in Wireless Sensor Networks: An Overview
77AF52EB	Symposium on Reliable Distributed Systems<--An integrated architecture for dependable embedded systems
5D35FBBB	Information not present<--Clock synchronization in real-time distributed systems based on FIP field bus
7A750D13	Foundations of Physics<--Conventionalism in special relativity
79471849	Principles of Distributed Computing<--Fault-tolerant clock synchronization
01E8EC71	Information not present<--The Time-Triggered Communication Protocol TTP�/C
5ABAEC7A	Information not present<--Design of large-scale Photonic Page Buffer ICs
5B2E9895	Formal Methods<--Modeling and verification of master/slave clock synchronization using hybrid automata and model-checking
76E0C500	Information & Computation<--A new fault-tolerant algorithm for clock synchronization
7B8B4EF5	Physical Review A<--Nonequivalence of ether theories and special relativity
59EC5EDA	Clinical Gastroenterology and Hepatology<--Approaching hybrid wind-diesel systems and controller area network
624A9C38	Information not present<--Threshold and Bounded-Delay Voting in Critical Control Systems
5E300E50	Information not present<--DESIGN GUIDELINES FOR DEPLOYING CLOSED LOOP SYSTEMS
75C0F6ED	International Symposium on Low Power Electronics and Design<--Robust level converter design for sub-threshold logic
7EDA3912	Algorithmic Aspects of Wireless Sensor Networks<--Near-Optimal Radio Use for Wireless Network Synchronization
7CE64129	Principles of Distributed Computing<--Easy impossibility proofs for distributed consensus problems
782B6181	Principles of Distributed Computing<--A simple algorithmically reasoned characterization of wait-free computation (extended abstract)
7EC939D7	IEEE Transactions on Communications<--Experimental Evaluation of the Jitter Generated in Timing Transfer
76D49A44	Formal Aspects of Computing<--Verification of clock synchronization algorithms: Experiments on a combination of deductive tools
7DF050D6	International Conference on Acoustics, Speech, and Signal Processing<--Joint motion estimation and clock synchronization for a wireless network of mobile nodes
607A9DCE	Information not present<--On methods for clock synchronization.
7755BF8C	Wireless Communications and Mobile Computing<--Vertical and horizontal synchronization services with outlier detection in underwater acoustic networks
80B8793C	IEEE Transactions on Communications<--Digital frequency estimation in burst mode QPSK transmission
7FD91BF8	Vehicular Technology Conference<--Virtual time synchronization for multimedia ad hoc networks
7E24CA94	Information not present<--Clock synchronization in powerline networks
0240A8BC	Information not present<--Mechanical verification of a schematic byzantine fault-tolerant clock synchronization algorithm
61C73D87	Information not present<--Timing and time signal distribution in digital communications networks
807240DE	Information not present<--A referenceless all-digital fast frequency acquisition full-rate CDR circuit for USB 2.0 in 65nm CMOS technology
7AE67149	Information not present<--Dynamic Continuous clock Synchronization for IEEE 802.15.4 based sensor networks
7793F93A	Information not present<--Clock synchronisation in multi-transceiver HF radar system
75FF2BE8	Nature<--Constant darkness is a circadian metabolic signal in mammals
5CA36F27	Solid State Ionics<--Design and Analysis of Transport Protocols for Reliable High-Speed Communications
6D40A6B4	Information not present<--A new multi-channel MAC protocol with on-demand channel assignment for multi-hop mobile ad hoc networks
7C2C112B	Network and System Support for Games<--Fairness in dead-reckoning based distributed multi-player games
7B7D2677	Information not present<--Development and test of IEEE 1588 Precision Timing Protocol for ocean observatory networks
5E83DCF9	Information not present<--Lower Bounds for Function Based Clock Synchronization
7CF9C1B0	Information not present<--Coding and decoding of clock synchronization in digital multiplexing system
0943BA2C	Information not present<--Conjunto de Experi�ncias de Baixo Custo para o Ensino de Sincroniza��o de Rel�gios
7F329A74	International Conference on Database Theory<--Clock Offset and Skew Estimation in Wireless Sensor Networks with Known Deterministic Delays and Exponential Nondeterministic Delays
7E952EF8	Lipids in Health and Disease<--Postnatal ontogenesis of clock genes in mouse suprachiasmatic nucleus and heart
752AE328	International Conference on Wireless and Mobile Communications<--On the Performance Gains of Cooperative Transmission Concepts in Intensity Modulated Direct Detection Visible Light Communication Networks
7FFD6AA8	Mobile Adhoc and Sensor Systems<--Building Ring-Like Overlays on Wireless Ad Hoc and Sensor Networks
5ED85D2E	Information not present<--Synchronizing Clocked Transition Systems
76391A51	IEEE\/ACM Transactions on Networking<--The case for feed-forward clock synchronization
7F9BB1D0	Embedded and Real-Time Computing Systems and Applications<--SM: real-time multicast protocols for simultaneous message delivery
7A9853A7	Information not present<--A secure SSO protocol without clock synchronization
7E658C9B	Information not present<--Scalable Byzantine-Fault-Quantifying Clock Synchronization
7F7BC550	Systems, Man and Cybernetics<--Meeting the strict real-time requirements of distributed continuous multimedia applications
809AC7E9	International Conference on Communications<--Power and time efficient clock synchronization in Fiber Channel
7D532245	Real Time Technology and Applications Symposium<--A configurable adjunct for real time systems (CARTS)
82BB15F4	Information not present<--Epidemic Synchronization in Robotic Swarms
639553FB	Information not present<--A Demonstration of DSN Clock Synchronization by VLBI
7CAC7F74	Proceedings of The Institute of Radio Engineers<--Results of a Long-Range Clock Synchronization Experiment
7E8A87A6	Measurement Science and Technology<--Precision timing in ocean sensor systems
7D06ED15	Sensors<--Clock synchronization simulation for wireless sensor networks
05182779	Information not present<--N-Way Conferencing with Packet Video
813DF726	Information not present<--Joint non-linear ranging and affine synchronization basis for a network of mobile nodes
7C19FF0A	Synthesis Lectures on Distributed Computing Theory<--Impossibility Results for Distributed Computing
606185F8	Information not present<--Clock synchronization by the Symphonie and Laser Synchronization from Stationary Orbit (LASSO) geostationary satellites
5AC5A438	Recent Patents on Electrical Engineering<--Patents on Synchronization Techniques in Wireless OFDM Systems
5D5D1A78	International Symposium on Parallel and Distributed Processing and Applications<--Event Chain Clocks for Performance Debugging in Parallel and Distributed Systems
76403E83	IEEE Sensors Journal<--Distributed Cooperative Sensing Scheme for Wireless Sleep EEG Measurement
7F57FAE5	Global Communications Conference<--Artificial neural networks for smart detection of digitally modulated signals
5C5A01BF	Information not present<--Towards the pervasive verification of automotive systems
