75E9EE08	7490F672
79C99A78	81402407 77BBAB01 051E94AF 77AE1A21
809AD924	7ECE4C55 591BE7DB 0C17FB83 808AFADC 806226EB 832589BA 5F6A34CA 77081C38 5CFA2FBB 5F86AA10 800052BF 79B116C5 5C2CD755 7954E35C 730739C4 785F8791 77C8C861
7642DF16	7BFBF140 7CE08BAE 75478B80 79F8639A 77F168B3 77EB8601 79DF9152 7C1524A8
78BE454D	7EB4A623 75BDFDAE 5E9BB890 7901C9F8 7B3EF9FB 59B3E6B2 75ACD32E 7DDEE552 7DA63683 7FF2E7C5 787A36EC 79E0CE3E 7AEEBDF1 7843BE60 7886F13A 7DEADE2E 7F0D50FE 7A0A59E3 7B5C795E 7859FAC0 79863824 7A40D7F9 7A539D4F 75766416 7E9787D6 78E9427D 78865CD4 7CCD2847 7BA8CFB3 0B147285 8452E3F5 7BF77ABC 7B53787E 61B1A771 59634E74 7E95DB43 811FD9F9 7EA8C7E2
7CE72B2E	81183269 00F46AEF 77F5BB42 7FA1B1E4 75D56C49 79C1E3F3 80416396 5A9623E7 7F8B8885 7275E41E
7C978C83	75DC0CE0 790998DA 76390C54
7EDD3D6D	5915CAC7 0724DDEF 5AC87A25 7DFEB42B 7DE46C49 002465A6 7BBC60B0 7E8A8BDC 5E3166AD
5C2FC365	7FD90E44 76543170 805EECB1 7623E4D0 7DA65E91 797D1BDC 5CA05D46 79386F22
7EDBE735	76A0FE1C 7518CC97 7F4F7CA5 58E59577 801082CA 7F21F811 58AD8B20 7FE79BB7
5B4563A9	05780642 047B51DF 792C0F40 688DBF9E 7DE28246 59AEE050
7E4DBD1D	07A1FE00 59258A47 7E592943 7F92E25F
7B5B53D3	638196DE 5873A282 07C3BC7F 7D452360 5A326109 7BA8DB2B 803AA7BA 82035F3B 77271521 5C813AF3 07A3050A 021E5AE7 7F13C9F5 7FF74CA8 80B0F31B 5B449EC4 79C6CB96 7F672B05 08EC74D3 7DDDDC14 7D3D9EC7
811BB948	088B8922 85C7E261 5F8FDCC4 7DFFE6F2 7D1BF56F 7FBA72DD 810A948C 816C812E 7E2ABA0D
75B85995	7E59A8AB 8153DE43 7CFE381C 7F2B5500 76215951 75308656 75623716 7D7BF007 7BCFAD89 77D3198A 80361E48 756C9281
7B0B78CE	5BE1267B 75875D71 776C6B56 763D81AB 7704B148 7BE7872A 7EDD55D6 757BF49E 78E2C669 7B7C30C8 7DF235D3 0DC1D821 7B5D22B9 85EF4EFF 7C991494 769274DF 7B4531C7 81275138 7D949226 758D5B28 7B47416C 7A1DBFAF 7A9FEA1A 75AB4625 797B967C 8168510B 5A50ABCD 7856D937 7A100FB3 7A6FEBEC 7B3CEB5E
7E347418	813E0F4E 77248DEE 796DEAF7 77C48543 5FC8DB22 7D84C84E 780BBBE2 80E5AD28 80AF8AAD 7EF960C8 7F9B643C 7C0DCB2B 75AF01CC 802D9F74 591A865F 75803BBC 75939C15
775E4EB1	04A52905 77FAB4C0 7DE4AA65 6DFAAED1 8010B9DD 7A4DEF12 7E0D2A70 7E757FD4 7F82BDAB 7F326C8F 7CF3DE79 7983268C 7ADFAAFB 65FBB89A 7E4140AB 7710D1D9
802FB15B	5FA0E607 592484F9 05BC02E9 5907E0C6 030FBFE5 7FFBF953 7FFAEBA4 6B7A902D
7EE2A7F6	7BE110AF 7AF7E839 7BFBD40D 684BC22A 79B0AD8D 5F444A15 78C62763 78D6A2C9 7A6F2ACD 77BEB856 77C51018 7A73DB81 84DAF309 00CA2EC1 5E51C385 7B5A0238 7DC46670 7FBBDBB5 6B823020 75F5FA47 7D496975 7B3433AF 76DABBCC 5F8DB21B 7AD7EC8B 7868FD71 7AC25AD1 810B78FE
7BE020BB	0995F768 7EE23E4A 5874E00C 759E67B0 77D03FB1 79081E3D 7A7DF8CC 7AD52813 7FBA3E84 75AA1D69 8097B03A 77E823C6 5F0035B7 77788E11 78D5D0A9 76CAEFA0 79133771 7B6D479C 7D0D66AF 76220E4B 7B304F39 08325EC9 7BBC5ECF 7C7F9E25 7F746D15 77CEEAF3 78C12D9B 78EB7903 7D566950 061ECD12 75D66319 785BA0D1 7959E768 7C451FCF 7523BA53 773F0509 77DE68E8 7B7AD097 754A84BC 75E40AE4 7868FD71 796DEAF7 25B84B5D 773FE176 76D1A3CF 7851FC0D 796723B7 7ACC82E9 76B6F4A3 79D513F8 79E4E9E1 7A0E253C 763B7B2E 768F620A 80251566 5F87067B 79729271 81555C1A 78D63F14 7CCD2847 7D016BD0 76CE456B 779D46E4 7827E559 79379D40 79A87C4E 7B1EB022 76E22821 76FDC45C 7974F7B3 7ADA98D4 810B78FE 231984DE 759B6C43 7691F86C 7B15C12A 7C1C1953 7CA13635 815B0E2D 76166812 7ED48FB4 80EFC1F6 0BBEF552 783E069B 7EBE8518 768D444A 774473C9 7869B2B9 779DA349 7AA179D0 80A5556E 76FE73AD 78635A6D 7C7E68F0 8177F6C3 75B5B447 75A8D72B 7BBCC6B6 7D556CC2 7B8C7805 759143F7 774A0A5D 77F168B3 75642753 75BD6B8F 76C7909F 7DB5EF2B 7511BD4B 7988C351 7B65E8DD 7BB17BF4 7F2708F3 75F7AE24 77FCEED2 7B38CDAC 809BE5FB 08060468 776D0730 78C09A87 7FF1A99B 7987E050 8018C2DF 785DBE9E 78DF7898 79841A8C 7985AAAE 7F81C120 76BA2C07 773BFFD7 8027F29C 80345C02 01EF8FE9 75C14B83 7B18641D 7CAA9C9A 7D19BF27 816E2193 03CD49C3 5F5D0D29 7D6ABC02 80CB73A2 85741B5D 7560E9FC 755E5573 7A7833EC 7BF77ABC 7C90A312 753D755F 786A8CFC 79D56488 75DEE19F 7E75DC46 76B6C860 7961D45E 7ABD2944 7F77AF12 7AA1F913 81161535 0BDA6AEB 76D67D16 797768A5 7BFCDD4E 80A8DCDE 774DA1FC
7DEE2258	813743E3 7EF5B221 80FC94C1 6C71CB07 80EDBD1E 7D039DA1 7D0C2CF1 79C1D62C 7DE9FB64
80267972	5C08720A 7EE96C94 7D96AF9E
81505393	7D156301 77A0AF4F 7F9CFFC6 80083D12 81292BEA 0031EF60 806CE81B 5F3322BF 5A4484C8 5A6D3160 7B1E66B2 806DC5AA 81699F2C 0734E04F
7F4219C0	7EC5F8F8 7888937E 79DD97F0 811F4E3F 81632890 8059DBF4 7846D649 7BCA864D 7BB716C4 79B48138 807514FD 0BA12D9A 7E2A8480 8176DAB3 795E3671 7EAE5ED5 7F691C60 78C7B7EE 7DB17C82 79D9FF63 7C92769F 773218C5 7B5586B0 813EC620 79B9A583 80953931 80B34E6C 812E9DC1 77147DFB
7FD56975	7E82406F 80A13A1D 7F9ECAC2 81421E17 7E74012B 5CB6D66D 06B7747D 58EF2878 584A7689 5AD59294 7F2A4804 794A4D31 5D4D0CA9 5A702B64 8171A43F 00055FA6 7E974F08
0BD5B525	06CC1A09 60F09176 58959A0F 743A09A3 5A367720 5EFA9857 5B875D69 7756C490 5D1C9CBC 80331FF4 5B02F3C3 5BC6094C 59E1BB50 7C0E6313 6489882E 803B3286 045F3CAE 0317DFF0 5A1AB922 78BADCC2 78DB7A67 7D064FFA 768D5C93 0377C7F4 5EDC73F3 7F16BE6A 74E9DAE4 7CB9892A 7EB9478F 0C21BE16 01D18314 7DC5959F 7FDBFFE3 5E54C787 0298AFAE 0541A521 080F1C89 810D9A57 58C6B565 5C98AF49 5E938CED 61F1B520 7FDFCD00 5E4CA93B 6D7CAD86 77960382 806CB59D 80F0CDA4 597CBF21 815D84C9
7E0BAC66	80373DBF 79B4AEEA
7F002DD5	08013EB6 5B1ABDF2 8228BDEE 5A08E619 58CA0D51 5A7D0AB4 5AA8CE09 5E925F3B 5CCEABA0 5BBD539D 6E435B2A 583A5E3A 7554EA31
80E1ED9C	08205EA1 0266CD4E 6BB8874A 59AF3461 09AB8839 5E1B3013 7E913266
7BE14AB5	5A71BE9F 75F7A332 8064CB31 02F0906D 7A3A2B59 7627EC73 7676FFC2 5F87067B 75AB7E4D 58585EE9 7A68438B 02A7B854 77599862 0BC52AF2 7749B5D0
81606F83	7CF1B4DE 800A3B52 7D43D04A 0B57975D 7D5EE9B2 71127E2A 5DA23023 5C90F9A8 7CA002A7 75B715FD 6991FCDB 8002F118 7BAE2F12 79B30C42
809F212C	5E21C2EB 752D8624 64C781D8 5A68325B 791965ED 5F48E760 7FAD2F48 7A31C92F
751B95CD	7F97C9DD 7AA0D6CF 7F136957 7FBCC7EF 7FD25751 7F2B0BF5 7EE06D22 7E2C399D 7D8F5486
81280216	07D30CCE 751BD44C 7E8DB581 7FA9CD71 01205951 06F27619 81189298 86248004 75BC0307 70D4510D 7ABE5A32 7E568801 5A131CF6 80B46666 074064C7 04190FE4 7E15AF4D 061FA429 7E3554C6
7FBED310	80D3EFD4 72A90966 7D7BEC3F 7F6BD9FD 7EF2EE8F 7FB44C9F 75259103 7CF632EF 7E5F3A49 5DDA2A62 7E88B1FB 807277AD 7F79A164
80F99DAF	806C6DD7 7C5D922F 7DB06730
813FF177	7D58838C 7FD34876 7F8647B0 7A919D59 80A13A1D 62634F35 5F7809B8 7E44A621 7F6999C3 03B2FB6A 80E8B26D 7E91C55E 6326E611 805CF88A 80EDA9F6 6B3FB9BD 6DF0544F 80222620
7DA5CD91	778CEFB6 5FDA5E22 8053054C 13118DC2 6CA6102D 585FCC43 7FF836CC 05A41392 75AB2B83 7970B8A0 7C567CBB
7FC9EC8E	5ABEE3E2 5AA3ED10 7B44D419 7D8A6D7A 5BCC2670 7E689396 7E857C8E 5C10867B 801F5681 58C5416B 76B4D9DA 7FA9624D 669B1EA8 81762C14
79FAFCAE	77C21488 5DC14825 755EE213 7A787E58 7F1B934B 04627D3D 790EDA4C 7BF590B2 808E806F 7A138E4D 077B7AB0 58A4313C 753F4346 590ECE77 77A553EC 584DF8AC
7E628B40	77F0BAA9 7D333507 5BA02DDD 76ADF0C2
7DA13E74	808A282C 77E8F623 805C9D9B 78AEFBCD 00967B1A 7FB00010 7B167707 767AFBD6 76CD46E7 7D4C1F95 7AF4C2C7 80E84A48 7EB46B7C 7A8F24AE 80F066D3 77128ADA 7E1072D9 7CED2D54
8095F9A9	792F6D73 7A1909CD 75991EF3 80D1C8F4 7E55434E 77B62BAB 77588D56 79AC49C4 77EA3584 7A8DE6A6 76D2C229 80D53340 81149F5C 78CBB16B 7C91B3BF 769FAD2E 7BBBDF74 7D3E61F6 7C61B05E 7EE8330B
7FEA68C3	6A5C26C4 5D9859B5 5F6BC92C 76445E75 7064808D 092383FE
7E965253	7A438245 8137812E 7DCD63BE 805FA604 80EDA9F6 62634F35
7D0BE183	0AD2CC31
7F8647B0	7BEBA82C 75D62805 8178AC3B 5F4231F7 02390F04 06454C10
7E849F31	7D0A556B 7F649EBB 7B873BEE 7E23B526 58A1F319 5F610116 7E3AC735 799CE506 68BB9BB3 7FA6FC94 7E4390D5 0A50EF88 7FB31E31 7E986B7F 7897960E 7B14E594
75414E42	7DD67A2F 6D929752 7933E168 815F73FF 5CAC8D34 7EFF45B1 7EA7CC04 7F9EC716 80D34DDC 77AC6797
808DAA36	5CF51D85 5B9D0A23 7105141A
7EBC87C9	641D5808 812313D9 805164F8 59C818AC 5861E2C8 7978E150 814F8D10 7B132B81 7EE32D7A 5F32BFFF
80F3124E	139D57FA 7FC0FF90 5E50CC54 7A285086 7D61A84B 7FA19DF6 813016D8 75D0B5E5 7DFE4E62 8015F391 7EFB5EE6 80D147E3 5A0ED582 82F259B6 01D8E49D 79173E15 8589DFB7 7E18D4A9 7588DBE4 7E39B6D4 79E4A7FC 77263681 80E48899 812FD753 58FFA5FE 5FB95C8E 801B17AE 7928FAE1 806E70C8 5D7F66EC 7762AF19 7D5D00C1 7F9A2B27 74B81672
7E2FC58E	7864D61E 7D77A030 7DAC656C 7EE55120 010F7375
8054BAA1	7EB887FB 7EB899D2 801158B2 7D7EFAE6 7EB3FB01 8002353C 01C3056A 7B2EBCA7 7F320A66 7D7A64F1
768147B4	7FA36B57 7B3A10C3 7E75DC46 7A5FE1A1 77A92203 75FD12CA
7D86DFA4	065E35D9 79E1DB81 7E5FDAE1 80726F29 80EC5C2F 7DD9D2C7 77D42945 7F771033 7EC4DF42
7744371D	7CF4B752
7DC09C93	751E9EFF
8112A382	80D2AAA2 78157660 80969563 8130E23F 7AED4CDA 5C04FCCF 79E85E86 7A437B48 7F32F4BA 7E08177B 80ABBC44 79B75B99 811BEDEA 7D695FBC 7BC59E16 7CDB6F25 7E77D711 800B74C7 7E4FAF16
7D91D555	7EDB49AC 7FB08A70 7E220C5A 7EEFEBC9 7E3DE898 7E847BAB 7EC25353 7DDD481A
769769E5	77432795 7DAB7C16 7DE94737 7D5367E8 803A330C 7E9F7703 75870A0B 59A79447 819C6D58 7EB369B2 7A4CD861 7D21AA95 591FC8E1 7A9D0118 816093DB 7ECB3989 79AC49C4
7D66FE20	7EB1070E 78FBDD8B 7EDA99D2 80D3782F 7E7E6955 816BDF1C 7D47830B 70026E6B 808F748F 7B1EDBF1 7F856A26 806C9B4F 7FB78AEC 775DD63B 80625368 81268C84 5BF55387 7D4A0DF3 76E7424B 80D87545 80246E3D
811C1F9B	7DFF56DE 7CD73557 7D1E4B0D 80EE9D59 81679AD6 5A3B070A 6D676251 8010EE03 63EE9BA8 7866F971 5DE93B0A 7C18BF2D 772E0614 5FA77681 5A139371 6164F0B1 7A68DA11 7C5F348A 5E81FE9C 805112FA 7E220C5A 7E4E5D7F 80BFC0EB 7FB08A70 7E0C00BD 807DD401 7D728000 81773AB1 5F9DE3E1 75D315DE 7DC25476 79B1E879 7FBA84CE 7CB3D891 5F34371E
7FB12CB9	5AF9618E 09AD6D19 5EA45BEC 791FBA81 5EC58C86 7B0FAEE2 0A588E81 07173AE4 58858554 7C9990D4 7DEDF9A6
7DBC8138	814EB442 79EF24DF 7D27217E 7FD75EFA
7CFE58E5	5D235FCC 593870CF 796F6F7B 7E7E9AB2 5D12BD74 085CCA75 7EFF8E01
7EB958A1	5DCCBA4F 5C969A4B 75272698 7A1F95ED 7CCB97C7 8022EB19 7A02AC09 7DF586C0 5D9F3134 7E3028E1 7A3EB1F8 807DB0FD
7E163B50	58E658B6 81751E5B 80FAA62D 7BDB436B 7F4D6839 80F31363 5E0E1672 7AEE67CD 7CE7BE6C 7D13137F 77F68273 7F2430F1 80B8F72A
7DD807DA	7978577A 7ECFCC84 04DF41CA 2522569C 75D70972
80DAC5F7	7C730370 77921776 8093CD90 816B7390 8128AF50 79602F22 774B29BF 7EA91160 75DCD405 5B12D853 7BACC24C 7DE36109
8115272F	7CEA950C 7622EBDC
7E57BA68	5F12776A 5A5B497F 7F8A79C7 7FEE8BA7 60AF2282 5C87B186 7366A368 809CCFF9 59C73B69 807AF51D 5BD7DD79 801603E9 69824D01 7D1B265D 5AEAE687 794F5C7E
7E3E5ADE	5D8B3375 7E3CD98E 7DDC4292 7CF34E72 7D4D1158 801BA6B4 8019541D 72F7D048 5C5A096F 7CF36957 595F8B25 81190663 8000F57C 7FBFD66B 813C8815 7D7BC91E 807DBDB0
7EA801C5	75E643FF 7616C000 097C35A0 80CF97EC 7C0C7E8F 80AE306A 6E851260 7C86A927 7F92112D 75CAEAE1 5E1E015D 6F684CE9 5BA90585 7E09F5A9 7D84B28D 7F669E21 7D57ED17 768AE608 7FA40D63 7FB03D21 7E22C36E 76E520BF 803F36FB 7A6F5F82 7FAF2839
7C2EC52D	7D50CD56 80F3E923 709F477F
7F07270E	7FC0C529 80485FDF 7D1F8502 7E44A621 49E55C8E 8137812E 80EDA9F6 8053054C
775B4EB4	78252227 593E5200 036F548C 765AF5D9 7C436982 61B1A771 26AC1773 6F756243 7FBAAAEF 76BF355B 7CC3C2CC 85DC36EE 3DC4B80A
77476C7C	807764F4 7564C97F 78AA9C76 7655824D 773FD043 7A305453 7A161363 77D241D6 7A30878E 75C93AC5 7963CE3D 761057C1 7DE3EA20 778D1A84 7F3E0856 78107C0B 3C3921E5 7FCCFA21 7F2D5330 79EAB5D0 7CB7B224
80F294FB	58CEF31F 79251C88 76FCCC2A
7D43BFAF	75E3DBFD 5EE4F81C 7D364939
72B5272D	80FB2322 5DEE563C 7EF514A9 7ECE7E21 7EAAD654 7EF90420 8148CF3C 7DC096B9 804F4AB0 7F0F60F5 7968D704 768032B9 7626EA73 774E9517 7E803F01 7A1874BE
80DE276D	8006634B 7926A13F 7DC5959F 6AF1404A 8105918D 5F9BB638 5D425C7F 5CF20EE0 75D5CCEC 611959F2 7D75B978 5DE94AC3 5DB9628C 7531B350
800C3227	047E9AE7 09F00187 7EAD67ED 7FF9870B
7676E40A	7BE5F2B6 7BFCDD4E 8097B03A 79E4E9E1 01178A9C 107E4170 810B78FE 80EFC1F6 6B823020 7AE16E8D
80EFFC2D	5D807AC3 807CC9D7 596F0384 80C4B674 0A3E82E2 81634A5F 7884E69B 7FE2D7D2 80366196 5CA5E567 7F07EA7F
80C021BE	80BEDFA4 803F00D9 7FA291E5 042488AE 6F3905CC 77120616 7CF1ADA5 7D8F15D0 7E2938E8 7B7559AA
805F4EDA	7FFD5613 7D76F639 7DF269D5 7793230F 809FBD88 7F9BB7DB 778CEFB6 7FD61EC7 7D8F3D66 59AF6FAA 7EB1F577 80D97089 7EA98B5B 7E7849A6 099B346A 7E7D04C5 7E2CF7C8
7ADE2980	767FA8CC 7E36E4DA 80D24CE1 7D31E00A 779F3784 7F162D29 78526909 7F3938D8 752B4B8E 7744016F 762434B2 81214744 6CA439CF 7E7628FF 7F969D56 801B59F1 81642276 7EDC857C 80255DA4 7FE24BBD 80165F07 7965353B 80EC8D54 7D04B6C1 59373ED8 768DEC70 797DC773 77848343 80937475 78C0773F 8153B33D 5E93E5E2 7D6E5DAE 791DBC4E 77A3B411 78DD243D
7DF1AF9E	7E0E0891 7D6A77FA 5EF1070B 773A0AF2 818CDB1E 79A07788 80449B29 75731C23 75125D8E 80A39F33 75A90A2D 7D928713
7DAC82CE	7AA3B9F7 75A13D3A 807FCFF2 056B740E 811FDE14
7A15B261	763C122A
7E601A45	810D958D 0597C395 7D1A1737 7DC4FC85 7D82D62D 62994583
7D473756	7E4C657C 809F312E 85E490E1 81469373 5E0CE936 7D68547F 80673195
7DFC1426	59E3FB60 7D5D037A 77401DEB 70DCCC34 02CC420D 5CD04708
0C9BA767	8091D7C4 0523F2E4 568E3009
8049842B	630F558B 00E9AE78
789C0D98	2E62263F
82FFC7AD	7714F47C 7DA55924 811AFAF9 7275EC43 7CFADAD1 787E63F1 58F767BF 7E9B9801 7CB25E16 8123BB63
781F2CEF	8361A22D 5BAD2EC9 58354A83 7B653D38 7E251D71 7E5DDB5E 7F54C7BD 80202CB3 7C31665F 5A80B628 7DFB52A0 80EDEA2F 7890939D 7FCCE2B7
7D28EDA9	77929D83 821EA08A 75503623
7FE768BD	8000F8C4 7D0D991E 80093A72 80F4E80C 7DDB1F53 59B02CC0 69BA5FCF 7F6BDD5D 5858ADBB 763C9339 7D149ABA 7D83498E 7DC04B09 5CD4CA8C 7D80EEFB 7A0A5241 7FFE1320 5A9C5D99 7F7D8078 04B3C049 7D6D4744 85390BC3 788D4917 7FEFD888 79E98D10 7C3676EB 7EFB4BE5 7F57D53E 7EC52393 7FBB5586 790A6DFB 7D8C5E6E 5C4BBAC6 60C112C0 7EF9656B
5DFCA242	234B3951 7AA7F159 762F117D 75B5B447 7593774E 77AC9755 7C4C2AA4 7A7833EC 79E4E9E1 7C527F9A 76D5749A
80D5D12C	59700010 0EFFA441 66101739 809C7FF4 07BDAECD 054ACC5C 7F5FA7A9 7ED32D02 80DCC6AC
7F70F47D	5FCEAFE1 80F43BFF 7ADF3A55 039C84D5
78866B03	85901F6B 7FDA6C6C 7EE21E6B 73ABFA59 5BF8186D 78984396 858E5CD7
8161990F	7CE986E2 7EBD401E 80B7E4D1 799C730C 7D7BDBD8 768C95FD 74BB119D 7F88DA89 7B5F736A 7C92263A 7D06445B
7F9B672E	772D4542 74FB648C 5E17E6FD 80C68299
7DCFD422	5A5B7680 80CB9321 813E781F 7E40C20B 5AF678C2 7FC5149A 7E5BF858 0481E602 75508398 75769423 5CB5246B 7553145B 03121CF6 5BCAADE6 6AF32AC9 7E5197C4 79CD76E7 81673F30 588F3FA1 5FCB04EC 806B02E7
7E02074D	77E07432 00A46C5C 8137812E 8002A5BF 7A6791A5 80522EBA 7F5078D0 5C409B14 803F2776 59C7C3D4 5A5D5E75 7DB6659E 7DD7AC70 7EF24982 7DC677C8 80B4F33F 7F99BEC9 7E9595A1 80AD2234 7E74012B 739F9F78 7FB330A2 7D87515E 7A9B2D44 0E4D9031 718D8C16 5A06E36B 7DA71EAD 804513B7 7ECEFC4E 7EE98EAC 809F3999 7CA17F65 7ED823E2 7D7C7E4B 807A3EB9 7C8C5027 5A396342
8034567D	80E1D98E 80A67FAC 5B2EABDE 65EF3947 5E89F38E 5F29738B 755B0233 73D77F8E 5B384F59 79DDFB22 08F27A22 5B85D529 7AE367B2 59431EC5 753E85F8 5B29BC62 5BC08CD3 7DEB3FE3
7C10F93E	7A7C6472 7A1FC092 7A520F80 78467CE2 7A399012 799579B5 7DC9BE23 8082D0D3 8487400E 76A1E22A 76B6B2B4 7B89431E 809BE5FB 751F3CAD 7ACC82E9 7B07A2EA 7B75B697 77A9B487 7579FA97 79CBC71F
83180596	81749C3B 786FADE0 7FE3D880 5DA492F2 771ACBAD 76D220AC 7869007A 5BB80400 5F4C67B0 0053E77F 751D56E7 7B8BE146
7FEF8175	80EDA9F6 5DCAEA41 7CF933D0 62634F35 5D45C8E0 7A2D63A5 0A2AB85F 5ACA6734 75746EAA 7EE10EB0 7B650B70 7E44A621 02332DC9 7E511D32 5AB0D708 589542D3 7FB2B54B
79F24AE0	7B032E66 25AA7E9B 587F6785 76940688 7F979001 7A455091 7C9A7C6A 24200847 7A5AF8FC 79591BEE 00871DDC 7EBE235E 5C4D99C8 75AEE6F0 7B4A5C76 79B52B70 5F1DB5D4 7C297DC0 7627EC73 7A4486E0 78A9A711 09FFD72C 7917EEA0 5E9383D6 79BFCE4F 7EF66035
8004EAC2	7786ADA9 7733A6E7 08B09505 7D9CB91E 7BF77ABC 78DC07B4 757E7BB8 7943D735 03EF826E
7799F659	798358C1 789963F7 586B5F12 79C5AA56 7CA2CFFE 7A30878E 21AB49D0
7D976E5F	7A9AE4FB 7C6E496D 7D00E85A 7CDD4966 7FD967A2 7E490F88 5982B65E 776A7599 8062E400 7FA37E78 804A22CB 7A1837E0
7F7146F5	7FAFCF26 7D7A8D57 7E69F003 5BCA1AE8
80177BCB	7DA4C952 7754EEEB 7E367096 80AE90B9 81238D09 7E7BF780 7E23B526 810351F4 71067CCE 7CC509A3
80E31F13	7DC54822 7E7BF780 7A182387 79720427 7F186029 80596A2A 7754EEEB
7FC4B18C	767CEFAA 7EFDABFE 7D40023F 790BF306 75C9913F 7F61666E 7E8751C8 7F1F9668 7D4B83E8
7CF0EA27	79A13778 7AB46F07 5967D438 7B036EC0 7A930C7C 7B4C3F6A 79D56488 770B8A6F 095B2C41 00A1C17C 773E895E 75CCD7CB 799F9F92
76B9C874	7EC59E6E 7C8CACC5 7BC66152 7DE9FB64
7A183F3D	7DC8E564 807115EF 7F282985 80E8E6AE
7F4E9E6E	7AC43257 775043D3 77081C38 7D93E179 5AA4CF04 78FC5D52 7EC4D86F 5E828DF3 78AF8BCA 7FB2C525 7FD44FC5 5E7DF923 5BD8AAD1 751E9EFF 76FFAD2A 772822AF 78AE2BCC 5DB38871
7BAE8772	7C73ACC7 76CE456B 77D03FB1 789ECBAD 5DF3E4CB 7632454A 768D444A 76CAEFA0 774DA1FC 7FFDC108 7867367C 7988C351 779D46E4 7AE16E8D 783E069B 7ADA98D4 783DCFEC 7B1EB022 776D0730 5EEC84D5 81555C1A 75B5B447 09D4EED7 7F81C7C0
787F659D	77076BB7 7921311F 76EE829A 80E16C5F 7EC7AE50 79E77EFC 79EA7918 7D324334 77B67AA5 790895A1 79BE3A8A 7A80A5A6 7C68CC10 75C633A9 7C16D2CD 751734FD 79F25836 775CBA3F 78181B11 75F7E18F 78B9A341 768F87D7 797B0CE8 7A3B3866 7B8D59C7 7ACCBE65 7BE3DBEB 79D13B09 7CBA2C27
7FDFBFE7	80A9BE85 80FFB1FD 7E2080CF 7D49C333 7F5767E5
809807B9	7AA2E66B 7D2AD34C 816D6E50 7DC211B6 80C5ED42 6976F19C 7DB6EFB9 75B87D9E 7D3672A9 7FDA6C6C 7F07C886 7DCCB038 8045C667 7A78D701 7E7CAE9A 7F162CB5 7792829C 75332325 7ECFCC84 5BA7A605
80739B95	0796BC1C 0B38E213 08A9B2C2 5DA50C26
7F6F46B5	80C4C0FB 069F9586 7B5D9D2F 814AD11A
789B4E8E	788608AC 815E15AF 7747E43E 7C424EF8 0BAA8BCE 755AD7A7 7B379F35 80E102E3 751974BA
7D3C0C37	7BF91875 78382A62 8092CE72 80DC2834 77EC554F 7F5EFE88 78820BA9 7E22B565 7F4DFF48
7CF28635	80B34E6C 7F705421 7FDCC5BD 7E269448 7C162114 7F77A7F2 80151BEB 822981F4 5D0ECF02 80AAC392 7F1FF3D6 80F4C36E 7EF07E61 7F5FB87E 776385A0
754AE931	7C13F905 7ED73D8C 7D8639F7 7FAE89BB 5E773458 62C3FC39 7BD15B17 7E4EF2CE 7C1AB0B7 7EF338FC 5E509972 5DA106AA 79EEE422 7B0FE007 7BAECEB1 79A92029 797F823D 80B3252D 753A1F5F 77DEBCED 7C4ACCE7 0657A938 5938C7D7 7A6FB77C 7A00C476 75D11785 81757DC2 58D823E9 5D205EC2 76E15014 778B4D5F 7BE7FC8C 784C8B94 7C089443 5A01E2E8 7FEC6A9F 75518CCA 75B5CD5D 7A77E997 78BA9D0B 7C3941A4 7C7CD989 7CA3C592 80C0C9FE 7E3443F6 757BB126 7C6221E9 75226B52 790C4BC0 7BA289D6 75C041B2 78A64FA4 7F2B995E 77270A42
7F2C2E75	7F99F281 76524481 7E82406F 5E0FE8D4 7D493153 788E19DB 7F49F383 7E9E576B
80343A36	7E3E22F3
76E71649	75404F75 7A970C26 7C21FA68 5E4E70B7
7FCC9BCD	7E5A5C3C 5C772299 7FC7D08C
8024DC19	7834E929 065A86D7 80F1D5FD 7E2741F2 0F7B11D7 5C791519 006378E5 7A286A95 06A30F07 690FE76B 02F8618F
7B4A5C76	79B52B70 7A4486E0 78167DD1 77C9EE02 7C255B92 78CF1E65 5F1DB5D4 791DC5C4 0134254D 7AAD5C06 09FFD72C 24200847 7C9A7C6A 7A455091 78B74610 7B032E66 7C297DC0 79BFCE4F 00871DDC 79591BEE 587F6785 7F979001 80ACEAB0
7FCE658A	808E91E3 7C1BF10C 7FB18193 7E426C9A 0505226C 7BF77ABC 7733A6E7 79BEBFDB 7B2D7794 7943D735 7069D87A
804DA3DF	814393F8 7DBBDFBF 80EFD01C 7856C4E9 6F47B712 7E614B9D 5D622F94 5EAF5F7E 80DEC415 776D71E8 8025E4AC 7949C4B2 7F3AA47C 77AAF56C 7E5170AC 75F55190 7D3EBD12 58879556 7EF338FC 7F89ED35 7BF50AE6 0A8F223E 81494005 75236E6F 5AB0AF0B 5BBDE51C 593EB0B8
7ED03E84	7DCC625D 7F2DF451 77824E1F 80C74093 58B5006F 7F930D34 7EFBEB53 7E82406F 80A33CD6 80841120 7F2902D7
8107D16C	7E6655E5 7FDA6C6C 80C58523 7E1045AE 7E2B11AC 7D072AA4 80097713 804BCAA9 78B1C49A 8151DBE3 7FEE67C6
7E609E5C	80837348 781D701E 77130251 7D8414EB 816A975E 8618331F 79932EBD 7E174D4A 7E0C0211 7D994A99 7AD6CF72 81E4DE9D
7E15ACCB	65533F3D 7F39CA05 7252D29E 7E4AEF43 5DAA07A2 03F89965 7FCF5327
