7538AFB4	Signal Processing-image Communication<---A region-based subband coding scheme
5F4F5FC8	International Conference on Acoustics, Speech, and Signal Processing<---Few decoders in the encoder: a low complexity encoding strategy for H.26L
7E85A0AC	IEEE Transactions on Circuits and Systems for Video Technology<---Efficient Motion Re-Estimation With Rate-Distortion Optimization for MPEG-2 to H.264/AVC Transcoding
761F5D79	Information not present<---Model based bit allocation between texture images and depth maps
8000110E	International Conference on Multimedia and Expo<---Error resilience of video transmission by rate-distortion optimization and adaptive packetization
8001A90B	International Symposium on Information Theory<---Rate-distortion optimal tree algorithms for piecewise polynomials
5DAF7981	International Conference on Embedded Software and Systems<---The computation model of code error distortion based on the rate-distortion theory
7C3F21DB	IEEE Transactions on Circuits and Systems for Video Technology<---Improved Estimation of Transmission Distortion for Error-Resilient Video Coding
80A34107	IEEE Transactions on Multimedia<---Correlation-Aware Packet Scheduling in Multi-Camera Networks
75CADB5A	Journal of Visual Communication and Image Representation<---Optimal resource allocation for Medium Grain Scalable video transmission over MIMO channels
7CED9A6D	International Symposium on Mixed and Augmented Reality<---Feature Tracking for Mobile Augmented Reality Using Video Coder Motion Vectors
80BB694C	Multimedia Tools and Applications<---Motion mapping and mode decision for MPEG-2 to H.264/AVC transcoding
7F15CC5C	IEEE Transactions on Circuits and Systems for Video Technology<---Rate-distortion analysis for H.264/AVC video coding and its application to rate control
004D1BC7	Information not present<---RATE-DISTORTION OPTIMIZED VIDEO FRAME DROPPING ON ACTIVE NETWORK NODES
7E10CD53	IEEE Transactions on Image Processing<---Light field compression using disparity-compensated lifting and shape adaptation
814301D1	IEEE Transactions on Image Processing<---Optimized quadtree for Karhunen-Loeve transform in multispectral image coding
6FA649D3	International Conference on Acoustics, Speech, and Signal Processing<---A rate-distortion optimal scalable vertex based shape coding algorithm
08337B57	Information not present<---Rate-distortion optimized streaming over di serv networks
7F29274A	International Conference on Image Processing<---Joint Optimization of Transform Coefficients for Hierarchical B Picture Coding in H.264/AVC
7D67B757	International Conference on Image Processing<---Adaptive Redundant Picture for Error Resilient Video Coding
7BD97A8B	International Symposium on Signal Processing and Information Technology<---An Efficient Mode Decision Algorithm Based on Dynamic Grouping and Adaptive Adjustment for H.264/AVC
5B106998	The Kips Transactions:partb<---A Feedback Buffer Control Algorithm for H.264 Video Coding
5D9D3CA6	International Symposium on Circuits and Systems<---Multi-source multi-path video streaming over wireless mesh networks
7EF132FE	Information not present<---Efficient mode decision for H.264/AVC frame-skipping transcoding
76C6CBFE	Intelligent Information Hiding and Multimedia Signal Processing<---A Fast Inter-frame Prediction Algorithm for H.264/AVC
5CF091B6	International Conference on Communications<---An embedded still image code algorithm with rate-distortion optimization
08FB5DE6	Information not present<---Rate-distortion optimal tree based coding algorithms for piecewise polynomials
7CF6DA13	IEEE Transactions on Information Theory<---Rainbow Network Flow of Multiple Description Codes
789DF65C	Signal Processing<---Rate-distortion optimization of the image compression algorithm based on the warped discrete cosine transform
835E166F	Information not present<---CSI with Quantizer Selection for Video Coding
77CBC247	Information not present<---A highly efficient mode decision algorithm and architecture for AVS HD Video Encoder
7DE345C6	Signal Processing Systems<---Frame skipping minimization in low bit-rate video coding
7D1DF000	International Conference on Image Processing<---A non-parametric method for fast joint rate-distortion optimization of motion estimation and DFD coding
8042EE59	Design, Automation, and Test in Europe<---An HVS-based adaptive computational complexity reduction scheme for H.264/AVC video encoder using prognostic early mode exclusion
7B12FC93	Vehicular Technology Conference<---An Adaptive CU Depth Selection Mechanism Based on Visual Sensitivity for HEVC Inter Coding
815E1990	Information not present<---Intelligent Multimedia Delivery? It’s a question of semantics
5BC74636	Information not present<---Selective encryption and scalable speech coding for voice communications over multi-hop wireless links
7EAE06B6	Information not present<---Rate-distortion optimized H.264/MVc video communications over QoS-enabled networks
7BB882C9	Signal Processing-image Communication<---Fast mode-decision for H.264/AVC based on inter-frame correlations
7D06A3B3	IEEE Transactions on Image Processing<---Rate-Distortion Optimized Bitstream Extractor for Motion Scalability in Wavelet-Based Scalable Video Coding
80B9C129	Designs, Codes and Cryptography<---Bit allocation in sub-linear time and the multiple-choice knapsack problem
814E9249	Information not present<---Rate-distortion optimized reference picture selection
7AE5E68E	Journal of Visual Communication and Image Representation<---Adaptive rate control for H.264
58D37996	Pacific Rim Conference on Multimedia<---MPEG-2 to H.264/AVC Intra Frame Transcoding
7FE11B91	International Conference on Image Processing<---Synthesis-in-the-loop for video texture coding
8028FB1E	International Symposium on Circuits and Systems<---Efficient inter mode decision for H.263 to H.264 video transcoding using support vector machines
7745CC99	Picture Coding Symposium<---Depth perceptual video coding for free viewpoint video based on H.264/AVC
80FED0F2	International Symposium on Chinese Spoken Language Processing<---A CSI and Rate-Distortion Based Packet Loss Recovery Algorithm for VoIP
78B5B44D	Visual Communications and Image Processing<---Fast intra-mode decision in H.264 video coding using simple directional masks
7EF88D59	IEEE Transactions on Image Processing<---FAST Rate Allocation Through Steepest Descent for JPEG2000 Video Transmission
7D240DA3	Information not present<---Signal processing techniques for haptic data compression in teleoperation systems
797F8CFC	International Conference on Multimedia and Expo<---Joint Source Coding and Data Rate Adaptation for Multi-User Wireless Video Transmission
75984D8E	International Symposium on Circuits and Systems<---QP refinement according to Lagrange multiplier for High Efficiency Video Coding
7E7D6FE8	International Conference on Multimedia and Expo<---Rate-distortion optimization for arbitrarily-shaped object coding
7948A8A5	International Symposium on Circuits and Systems<---Perceptual-based coding mode decision
7DF3844E	Signal Processing<---Multidimensional signal compression using multiscale recurrent patterns
78949056	Information not present<---A slice-length selection algorithm based on the frame-level RDO
7E18156D	International Conference on Image Processing<---Complexity scalable rate-distortion optimization for H.264/AVC
5B996ADE	International Symposium on Circuits and Systems<---Direct mode coding for bi-predictive pictures in the JVT standard
7B324574	Visual Communications and Image Processing<---Adaptive intra mode skipping algorithm for inter frame coding of H.264/AVC
753636B1	Information not present<---Rate-distortion optimized multimedia delivery via orthogonal frequency division multiplexing (OFDM)
80F8006E	International Conference on Acoustics, Speech, and Signal Processing<---Distortion/decoding time tradeoffs in software DCT-based image coding
7DA00395	Workshop on Applications of Signal Processing to Audio and Acoustics<---Rate-distortion optimal high-resolution differential quantisation for sinusoidal coding of audio and speech
7DEDB5C8	IEEE Transactions on Wireless Communications<---Rate-Distortion Optimized Video Transmission Over DS-CDMA Channels with Auxiliary Vector Filter Single-User Multirate Detection
8168848D	Designs, Codes and Cryptography<---Intra Prediction via Edge-Based Inpainting
03510265	Information not present<---Rate-Distortion Optimized Embedding
79B41FD3	International Conference on Acoustics, Speech, and Signal Processing<---Joint optimization of the perceptual core and lossless compression layers in scalable audio coding
7FEE8452	Information not present<---Interferential Multispectral Image Compression with Classified Weighted Rate-Distortion Optimization and Adaptive Coding Depth Control
7D4AE445	Information not present<---Transforms and Quantization in the High-Throughput H.264/AVC Encoder Based on Advanced Mode Selection
7ADADFDF	Information not present<---Multistage mode decision for intraprediction in H.264 codec
7D4A0994	International Conference on Acoustics, Speech, and Signal Processing<---Rate-distortion optimized motion estimation for error resilient video coding
7AAF2F81	Designs, Codes and Cryptography<---Maximum Likelihood Rate Estimation: With Applications in Image and Video Compression
7E058AC3	IEEE Transactions on Circuits and Systems for Video Technology<---Improved Method to Select the Lagrange Multiplier for Rate-Distortion Based Motion Estimation in Video Coding
76F68664	Visual Communications and Image Processing<---New image coding scheme with hierarchical representation and adaptive interpolation
7E2203D9	International Conference on Image and Graphics<---Subjective Quality Optimized Intra Mode Selection for H.264 I Frame Coding Based on SSIM
717788BF	International Conference on Acoustics, Speech, and Signal Processing<---End-to-end rate-distortion optimized mode selection for multiple description video coding
7F4DF064	International Conference on Multimedia and Expo<---Mismatch Impact on Per-Pixel End-to-End Distortion Estimation and Coding Mode Selection
7EA2819F	IEEE Transactions on Circuits and Systems for Video Technology<---A Fast Mode Decision Method Based on Motion Cost and Intra Prediction Cost for H.264/AVC
591D1690	International Conference on Image Processing<---Rate distortion optimized mode decision in the scalable video coding
7FA0EC05	IEEE Transactions on Multimedia<---Fast Inter Mode Decision Using Spatial Property of Motion Field
75B5F1C1	International Conference on Image Processing<---Inter prediction using lapped transforms for advanced video coding
807E4B66	Information not present<---Disparity Compensated View Filtering Wavelet Based Multiview Image Code Using Lagrangian Optimization
5E8E9F90	Information not present<---Rate-distortion optimizations for region and object based wavelet video coding
79123DE8	Information not present<---Non-integer bit estimation for rate-distortion optimized video coding
7DF017A3	Information not present<---Computing rate-distortion optimized policies for hybrid receiver/sender driven streaming of multimedia
80DCC7BB	Information not present<---An application specific architecture for rate-distortion optimized motion compensation
81121067	Information not present<---A Fast and Efficient Intra Mode Decision Algorithm for H.264/AVC
78D0CFF3	Visual Communications and Image Processing<---Exploiting temporal correlation with adaptive block-size motion alignment for 3D wavelet coding
7952E5FE	Proceedings of SPIE<---Fast multi-symmetry adaptive loop filter algorithm
768803C7	Computer Standards & Interfaces<---Motion and disparity field estimation using rate-distortion optimization
8066D17C	International Conference on Image Processing<---Optimal hierarchical partitions for fractal image compression
8094E74B	IEEE Transactions on Circuits and Systems for Video Technology<---Low-complexity rate-distortion optimal macroblock mode selection and motion estimation for MPEG-like video coders
7BC7A05D	Signal Processing Systems<---Motion vector coding with decoder selectable PMV
79D7A8DA	Information not present<---Fast algorithm for intra-prediction mode selection in H.264/AVC based on pan algorithm
81D2D955	International Conference on Acoustics, Speech, and Signal Processing<---?-domain rate-distortion optimal rate control for DCT-based video coders
81E2B7CB	Information not present<---Adaptive Search Range Decision for Fast Intra- and Inter-prediction Mode Decision in H.264/AVC
7F1DDE61	International Conference on Multimedia and Expo<---A New Partial Codeword Updating Scheme Based on Rate-Distortion Optimization for Adaptive Vector Quantization
792BAE55	Information not present<---Fast Rate-Distortion Optimal Packetization of Embedded Bitstreams into Independent Source Packets
7EA830B7	International Conference on Multimedia and Expo<---Adaptive fast DIRECT mode decision algorithm using mode and Lagrangian cost prediction for B frame in H.264/AVC
813E09A3	International Conference on Image Processing<---A wavelet packet based block-partitioning image coding algorithm with rate-distortion optimization
801AA2BC	Information Sciences, Signal Processing and their Applications<---Fast block size selection for H.264 video-downsizing transcoding
7CF523C3	International Conference on Multimedia and Expo<---Analysis-by-synthesis distortion computation for rate-distortion optimized multimedia streaming
802698AD	International Conference on Image Processing<---Graph-Cut Rate Distortion Algorithm for Contourlet-Based Image Compression
784F7F39	Information not present<---Analysis of bit allocation of temporal scalability using hierarchical B frames
7C8501B9	Information not present<---Spatial quantization via local texture masking
77BFC888	International Conference on Image Processing<---Data hiding of intra prediction information in chroma samples for video compression
7356B033	Scientific Programming<---블록 크기 활동도를 이용한 H.264/AVC 부호화 고속 모드 결정
59686F30	Data Compression Conference<---Fast HEVC Intra Mode Decision Based on Edge Detection and SATD Costs Classification
7658970E	Information not present<---H.264/AVC Compatible Scalable Multiple Description Video Coding with RD Optimization
7E47FEF8	International Conference on Acoustics, Speech, and Signal Processing<---Perceptually adaptive rate-distortion optimization for variable block size motion alignment in 3D wavelet coding
8013EBB4	International Conference on Acoustics, Speech, and Signal Processing<---A two-layered trellis approach to audio encoding
80DFA02C	International Conference on Multimedia and Expo<---Off-Line Motion Description for Fast Video Stream Generation in MPEG-4 AVC/H.264
78DAB259	International Conference on Image Processing<---Optimal Power Allocation for Scalable Video Transmission over Multirate GMC-CDMA Wireless Links
7E6A4447	International Conference on Image Processing<---Rate-distortion optimized application-level retransmission using streaming agent for video streaming over 3G wireless network
762BAE7B	International Symposium on Circuits and Systems<---Optimized inpainting-based macroblock prediction in video compression
7E113487	International Conference on Acoustics, Speech, and Signal Processing<---Rate-distortion optimized product code forward error correction for video transmission over IP-based wireless networks
799C7737	IEEE Transactions on Consumer Electronics<---Structural similarity-based synthesized view distortion estimation for depth map coding
76857E2B	International Conference on Image Processing<---Error-resilient video coding using multiple reference frames
7FBEDB6E	International Conference on Acoustics, Speech, and Signal Processing<---Rate-SSIM optimization for video coding
7E01F070	Information not present<---A New Gradient-Based Mode Selection of Intra Prediction for 4×4 block in H.264/AVC
7D713D2B	International Conference on Acoustics, Speech, and Signal Processing<---Low-complexity predictive lossy compression of hyperspectral and ultraspectral images
773AD0F5	Picture Coding Symposium<---A complexity reduction scheme with adaptive search direction and mode elimination for multiview video coding
7F1ACE61	Journal of Electronic Imaging<---Document compression using rate-distortion optimized segmentation
775AA1D8	Designs, Codes and Cryptography<---Rate-distortion optimized spatial scalability for DCT-based video coding
8092B3AB	IEEE Transactions on Circuits and Systems for Video Technology<---Rate-distortion optimized frame type selection for MPEG encoding
7A8607EE	IEEE Transactions on Geoscience and Remote Sensing<---Progressive space frequency quantization for SAR data compression
7D3D7547	Information not present<---MPEG-2에서 H.264로 변환하기 위한 고속 모드 결정 기법
7F0D7CEA	International Conference on Multimedia and Expo<---A directional field based fast intra mode decision algorithm for H.264 video coding
81375AAA	IEEE Transactions on Circuits and Systems for Video Technology<---A New Low-Complexity Integer Distortion Estimation Method for H.264/AVC Encoder
79F16611	Information not present<---Coding and optimization of a fully scalable motion model
7DE4A389	Information not present<---Minimum Rate Distortion Based Scheduling over UDP for Single Nested Streaming Media
59597774	International Symposium on Circuits and Systems<---Fast adaptive inter-prediction mode decision method for H.264 based on spatial correlation
5A417C59	International Symposium on Visual Computing<---Fast Prediction Mode Decision Algorithm for H.264 Based on Hierarchical Mode Classification Framework
76E967E0	Data Compression Conference<---Linear Rate Estimation Model for HEVC RDO Using Binary Classification Based Regression
7E46C994	Information not present<---Semantic-aware delivery of multimedia
00D1E5ED	Information not present<---Adaptive disparity estimation for stereoscopic video coding
7BD36A86	Information not present<---Optimization of H.264 encoder using adaptive mode decision and SIMD instructions
59626598	International Conference on Image Processing<---Rate-distortion optimized region-based video coder
7D342A27	Picture Coding Symposium<---Efficient MB and prediction mode decisions for intra prediction of H.264 High Profile
7F65BBA0	Information not present<---Rate-distortion optimized video peer-to-peer multicast streaming
7F4C51BD	IEEE Journal of Selected Topics in Signal Processing<---Rate-Distortion Optimized Video Coding Using Automatic Sprites
591EDB47	Information not present<---Compression of point-based 3D models by shape-adaptive wavelet coding of multi-height fields
752E9EC2	Information not present<---Rate-distortion optimized multimedia communication in networks
80E083DA	IEEE Transactions on Image Processing<---Motion-vector optimization of control grid interpolation and overlapped block motion compensation using iterated dynamic programming
8111CE92	International Conference on Image Processing<---Error Resilient Video Coding using Redundant Pictures
7B571854	Picture Coding Symposium<---3D video coding using the synthesized view distortion change
75611CE9	Visual Communications and Image Processing<---Two-pass rate-distortion optimized rate control technique for H.264/AVC video
80A44F9B	IEEE Transactions on Circuits and Systems for Video Technology<---Rate-distortion optimized layered coding with unequal error protection for robust Internet video
80EF36FE	IEEE Transactions on Circuits and Systems for Video Technology<---A scalable wavelet-based video distortion metric and applications
5DDF8728	International Conference on Neural Information Processing<---Fast Intra Mode Decision for H.264/AVC Based on Directional Information of I4MB
7F627677	IEEE Transactions on Circuits and Systems for Video Technology<---An Efficient Intermode Decision Algorithm Based on Motion Homogeneity for H.264/AVC
7D518E0F	IEEE Transactions on Consumer Electronics<---A fast intra mode skip decision algorithm based on adaptive motion vector map
7948E879	Information not present<---Motion Vector Field Manipulation for Complexity Reduction in Scalable Video Coding
75BBD88E	Journal of Visual Communication and Image Representation<---Rate-distortion optimized layered coding of high dynamic range videos
7F45E9EA	Information not present<---Fast Intra Mode Decision Algorithm Using Directional Gradients for H.264
7E67E024	IEEE Transactions on Circuits and Systems for Video Technology<---A frequency-domain video transcoder for dynamic bit-rate reduction of MPEG-2 bit streams
78BBA9CB	International Conference on Image Processing<---Fast partitioning algorithm for HEVC Intra frame coding using machine learning
78EC38F1	Information not present<---Wavelet image coding using rate-distortion optimized backward adaptive classification
805D9D54	Information not present<---A Unified LZ and Hybrid Coding for Compound Image Partial-Lossless Compression
793F604E	International Conference on Image Processing<---Rate-distortion optimization and adaptation of intra prediction filter parameters
80276C0B	International Symposium on Circuits and Systems<---Chroma Coding Efficiency Improvement with Context Adaptive Lagrange Multiplier (CALM)
7DD9CD06	IEEE Transactions on Consumer Electronics<---Fast inter-frame coding with intra skip strategy in H.264 video coding
59D11E75	Information not present<---H.264 Rate-Distortion Analysis Using Subjective Quality Metric
63A74928	Studia Informatica Universalis<---Multi-Client Video Streaming Over Wireless Local Area Networks
800E1D58	International Symposium on Circuits and Systems<---An Efficient Intra Mode Selection Algorithm For H.264 Based On Fast Edge Classification
7B05C96D	International Conference on Image Processing<---A novel rate-distortion optimization method of H.264/AVC intra coder
7D2B3FDC	Information not present<---A fast intra prediction mode decision method based on high correlation of video sequences
7E79B787	International Conference on Multimedia and Expo<---Adaptive frame layer rate control for H.264
84226DBE	Computer Vision and Image Understanding<---JPEG2000 ROI coding through component priority for digital mammography
7EF4704B	International Conference on Acoustics, Speech, and Signal Processing<---Rate-distortion optimized DCT-domain video transcoder for bit-rate reduction of MPEG videos
7F2D3CDE	International Conference on Computer Modeling and Simulation<---A Macroblock-Level Rate Control Algorithm for H.264/AVC Video Coding with Context-Adaptive MAD Prediction Model
7EC020BF	International Conference on Image Processing<---Rate-distortion snake: a tool for optimal shape coding
809F9FAD	Information not present<---Difference detection with encoder adaptability for low complexity surveillance video compression
81505552	International Conference on Image Processing<---Intra-distance Derived Weighted distortion for error resilience
7D19A94C	IEEE Transactions on Signal Processing<---Rate-distortion-optimal subband coding without perfect-reconstruction constraints
7E5AD5E3	IEEE Transactions on Image Processing<---Coding Order Decision of B Frames for Rate-Distortion Performance Improvement in Single-View Video and Multiview Video Coding
7B05ECCB	Visual Communications and Image Processing<---Encoder optimization for H.264/AVC fidelity range extensions
701BA1DF	Information not present<---低計算複雜度之H.264/AVC視訊編碼
80D21304	IEEE Transactions on Audio, Speech, and Language Processing<---Efficient parametric coding of transients
77234A68	IEEE Transactions on Circuits and Systems for Video Technology<---A Single-Pass-Based Localized Adaptive Interpolation Filter for Video Coding
7EFFBB8C	Advances in Multimedia<---Fast Mode Decision for H.264/AVC Encoding of Tunnel Surveillance Video
7DB53C71	Pacific-Asia Workshop on Computational Intelligence and Industrial Application<---End-to-end rate distortion optimization for H.264/AVC in error prone environment
80D27A79	International Conference on Communications<---Rate-distortion optimized hybrid error control for real-time packetized video transmission
7F8DB94E	Multimedia Signal Processing<---Error resilient transcoding of Scalable Video bitstreams
7D7D5BA3	IEEE Transactions on Circuits and Systems for Video Technology<---Analysis of Packet Loss for Compressed Video: Effect of Burst Losses and Correlation Between Error Frames
5CD39646	International Conference on Image Processing<---Rate-distortion optimized video coding with stopping rules: quality and complexity
2FA3F904	Information not present<---位元率-失真最佳化網路視訊串流技術─H.264可調視訊編碼於實時傳輸協定進行接收端驅動重傳
7E2B833A	Southwest Symposium on Image Analysis and Interpretation<---Optimized Rate Allocation of Hyperspectral Images in Compressed Domain Under JPEG 2000 Part 2
7AD4F4B1	Visual Communications and Image Processing<---Syntax-constrained rate-distortion optimization for DCT-based image encoding methods
795B5E1C	International Conference on Image Processing<---Rate-distortion-optimized content-adaptive coding for immersive networked experience of sports events
7EC6C969	International Conference on Acoustics, Speech, and Signal Processing<---Fine-grained rate shaping for video streaming over wireless networks
7A7626A9	EURASIP Journal on Advances in Signal Processing<---Fine-grained rate shaping for video streaming over wireless networks
7C3F6AE5	IEEE Transactions on Circuits and Systems for Video Technology<---Rate-Distortion Optimized Cross-Layer Rate Control in Wireless Video Communication
7DF4951E	IEEE Transactions on Multimedia<---High-performance JPEG 2000 encoder with rate-distortion optimization
7157EDEA	Designs, Codes and Cryptography<---Improving scene cut quality for real-time video decoding
80BD3AC2	Pacific Rim Conference on Multimedia<---Combined Prediction Mode for AVS
76071AFF	Information not present<---Rate-distortion optimal thresholding in SNR scalability based on 2D dynamic programming
814CBE16	International Conference on Image Processing<---Rate-distortion optimized streaming for 3-D wavelet video
7EFBCA11	International Conference on Communications<---Rate Distortion Optimization for Mesh-Based P2P Video Streaming
7E2BBDC5	IEEE Transactions on Circuits and Systems for Video Technology<---SATD-Based Intra Mode Decision for H.264/AVC Video Coding
812ECEC9	IEEE Transactions on Circuits and Systems for Video Technology<---A Hardware-Efficient Multi-Resolution Block Matching Algorithm and its VLSI Architecture for High Definition MPEG-Like Video Encoders
80E11618	Picture Coding Symposium<---Temporal inconsistency measure for video quality assessment
5EACA831	International Conference on Image Processing<---Rate-distortion optimized on-demand media streaming with server diversity
79145BA4	Journal of Visual Communication and Image Representation<---Efficient one-pass frame level rate control for H.264/AVC
7F672C92	International Conference on Multimedia and Expo<---A highly efficient pipeline architecture of RDO-based mode decision design for AVS HD video encoder
7E831947	IEEE Signal Processing Letters<---JPEG2000 ROI Coding With Fine-Grain Accuracy Through Rate-Distortion Optimization Techniques
80F7820D	Optical Engineering<---Fast and efficient intraprediction method for H.264/AVC
780B05F1	Journal of Zhejiang University Science<---Dominant edge direction based fast intra mode decision in the H.264/AVC encoder
75859718	International Conference on Multimedia and Expo<---Synthesized View Distortion Based 3D Video Coding for Extrapolation and Interpolation of Views
7E336B89	International Conference on Image Processing<---Fractal video coding by matching pursuit
7A6D0F34	International Conference on Image Processing<---Analysis of quadratic R-D model in H.264/AVC video coding
7F7F4AEE	International Conference on Image Processing<---Tree structured hybrid intra prediction
766FF0E1	Intelligent Information Hiding and Multimedia Signal Processing<---Overlapping Interval Differences-Based Fast Intra Mode Decision for H.264/AVC
8105FBD2	Information not present<---LOW-COMPLEXITY MODE SELECTION FOR RATE-DISTORTION OPTIMAL VIDEO CODING
75AA0065	International Conference on Mobile Multimedia Communications<---Block-based graph-cut rate allocation for subband image compression and transmission over wireless networks
7B997505	Visual Communications and Image Processing<---On dead-zone plus uniform threshold scalar quantization
145DA6CF	IEEE Signal Processing Letters<---A Fast Distortion Measurement Using Chord-Length Parameterisation within the Vertex- Based Operational Rate-Distortion Optimal Shape Coding Framework
7D93C532	Information not present<---An inter mode decision method with motion correlation adaptation for H.264/AVC
7E6067D9	Multimedia Signal Processing<---Dense disparity estimation in multiview video coding
78418748	Visual Communications and Image Processing<---Rate distortion optimized quantization for H.264/AVC based on dynamic programming
7D519163	International Conference on Image Processing<---Context-conditioned composite coding of 3D meshes based on wavelets on surfaces
7E6DC77F	International Conference on Image Processing<---Conversational Video Communication of H.264/AVC with Region-of-Interest Concern
7D7D047E	Workshop on Applications of Signal Processing to Audio and Acoustics<---A perceptually enhanced Scalable-to-Lossless audio coding scheme and a trellis-based approach for its optimization
5DA8A8CA	Information not present<---Predicting the Perceptual Service Quality Using a Trace of VoIP Packets
7627BE62	International Conference on Model Transformation<---The Key Algorithm Implementation of XAVS
7D82B7D9	International Conference on Image Processing<---A model for entropy coding in matching pursuit
7F780B3E	International Symposium on Information Theory<---Cliff effect suppression through multiple-descriptions with split personality
7F1E487C	International Conference on Innovative Computing, Information and Control<---Fast Coding Mode Selection for Rate-Distortion Optimization in H.264/AVC
583C5F9C	International Conference on Image Processing<---Rate-distortion optimal skeleton-based shape coding
7C03C4A0	Visual Communications and Image Processing<---Rate-distortion optimized bit rate control scheme for a wavelet video coder
7DBC38E1	Information not present<---Wyner-Ziv coding of video using compressive sensing without feedback channel
765587F7	International Symposium on Circuits and Systems<---Joint rate-distortion optimization for H.264/AVC intra coding based on cluster computing
7DD67434	International Conference on Acoustics, Speech, and Signal Processing<---Adaptive rate estimation for H.264/AVC intra mode decision
7E8CCD14	International Conference on Acoustics, Speech, and Signal Processing<---Generating H.264/AVC Compliant Bitstreams for Lightweight Decoding Operation Suitable for Mobile Multimedia Systems
7C4F6A6E	Pacific-Rim Symposium on Image and Video Technology<---Robust Motion-Compensated Orthogonal Video Coding Using EBCOT
767D7F77	Information not present<---A Low Complexity Fast Intra Mode Decision Algorithm for H.264/AVC
7D4F5479	Information not present<---A Unitary-Optimized Operation for Wireless Live Streaming
7CFC6F77	Journal of Zhejiang University Science C<---Distributed video coding with adaptive selection of hash functions
7F794B37	Designs, Codes and Cryptography<---Rate-distortion optimized packet scheduling and routing for media streaming with path diversity
7F2ECA63	IEEE Transactions on Circuits and Systems for Video Technology<---Rate-distortion optimized compression and view-dependent transmission of 3-D normal meshes
80EDC73B	Multimedia Signal Processing<---An optimized Multiple Description video codec for lossy packet networks
80070C3A	International Conference on Acoustics, Speech, and Signal Processing<---Efficient anisotropic wavelet packet basis selection in JPEG2000
811190EA	International Conference on Multimedia and Expo<---Bandwidth-rate-distortion optimized motion estimation
80E4705B	Information not present<---Rate-distortion optimal wavelet packet transform for low bit rate video coding
7EA8CA4F	International Conference on Acoustics, Speech, and Signal Processing<---JPEG compliant efficient progressive image coding
5C658BA0	International Conference on Image Processing<---A low-complexity rate-distortion model for motion estimation in H.263
7DF1CF35	Designs, Codes and Cryptography<---Estimation-quantization geometry coding using normal meshes
59576F5A	Information not present<---Robust H.264/AVC transmission with optimal mode selection and data partitioning
7F8858C6	Information not present<---Fast intra skip method in H.264/AVC by using fuzzy logic
756EE248	IEEE Transactions on Multimedia<---Hash-Based Block Matching for Screen Content Coding
7869A387	Information not present<---An evaluation of TCP-based rate-control algorithms for adaptive internet streaming of H.264/SVC
7F3F8AC7	International Conference on Multimedia and Expo<---Key Frame Extraction in 3D Video by Rate-Distortion Optimization
80A23350	IEEE Transactions on Circuits and Systems for Video Technology<---Fast intermode decision in H.264/AVC video coding
779C3AFF	International Conference on Image Processing<---Adaptive Lagrange multiplier selection model in rate distortion optimization for 3D wavelet-based scalable video coding
7DD75C7D	Communications and Mobile Computing<---An Efficient Fast Inter Mode Decision Algorithm for H.264/AVC
76496D38	Information not present<---A fast intra mode decision algorithm for AVS
7ADDE8A9	Chinese Journal of Computers<---Error Resilient Video Transcoding Based on Layered Rate Distortion Optimization: Error Resilient Video Transcoding Based on Layered Rate Distortion Optimization
76D749FD	Picture Coding Symposium<---Shape-adaptivewavelet encoding of depth maps
79CF698C	Information not present<---Region of Interest Extraction Method Using Wavelets
7DEBA9AE	Designs, Codes and Cryptography<---Syntax-constrained encoder optimization using adaptive quantization thresholding for JPEG/MPEG coders
61A73F2D	Information not present<---Techniques for Improved Rate-Distortion Optimized Video Streaming
7B2ED4B1	Journal of Zhejiang University Science<---A rate control scheme for H.264 video under low bandwidth channel
80DEF79C	IEEE Transactions on Circuits and Systems for Video Technology<---Laplace Distribution Based Lagrangian Rate Distortion Optimization for Hybrid Video Coding
75114DD2	Signal Processing-image Communication<---SSIM-based error-resilient rate-distortion optimization of H.264/AVC video coding for wireless streaming
81289126	IEEE Transactions on Multimedia<---Joint Source-Channel Rate-Distortion Optimization for H.264 Video Coding Over Error-Prone Networks
7D50F31E	International Symposium on Circuits and Systems<---Efficient intra-4×4 mode decision based on bit-rate estimation in H.264/AVC
78DB8AD0	Visual Communications and Image Processing<---Layer coder for hierarchical rate-distortion optimal coding of images
5FDE410B	International Conference on Image Processing<---Object-based video coding using a dynamic coding approach
5DC9DE6A	International Conference on Image Processing<---Region-based coding of motion fields for low-bitrate video compression
7EC72215	IEEE Transactions on Information Theory<---New Coding Schemes for the Symmetric $K$ -Description Problem
7F0945DB	International Conference on Image Processing<---Low-complexity lossy compression of hyperspectral images via informed quantization
7C6E95E5	Information not present<---Improved video coding using long-term global motion compensation
7FA576F8	IEEE Transactions on Multimedia<---Dynamic FEC Algorithms for TFRC Flows
812C235F	Global Communications Conference<---VSHAPER: an efficient method of serving video streams shaped for diverse wireless communication conditions
7FB93FC8	Multimedia Signal Processing<---Rate-distortion optimized streaming from the edge of the network
7F4829BD	IEEE Transactions on Image Processing<---On multirate optimality of JPEG2000 code stream
7E5C026B	Journal of Visual Communication and Image Representation<---Real-time smoothing for network adaptive video streaming
7E0F280A	Broadband Communications, Networks and Systems<---A fast mode decision method for intra prediction in AVS-M video coding
786FAEE1	Information not present<---JPEG2000 block-wise truncation of quality layers
77494C9D	International Conference on Image Processing<---Adaptive measurement rate allocation for block-based compressed sensing of depth maps
