7F1A1204	Information not present<--Active mitigation of induced phase distortion in a GSM SoC
7C81F137	Information not present<--A Layered MIMO CPM System with Incoherent Demodulation
8075459A	Information not present<--Error performance of a duplex retrodirective array system
7F0A995C	IEEE Transactions on Instrumentation and Measurement<--Software PLL Based on Random Sampling
5E0176D9	Information not present<--FM based passive bistatic radar range resolution improvement
813DFDD1	Information not present<--Parametric simulation of tactical single channel frequency modulated communications.
764A5951	Journal of the Acoustical Society of America<--Method of Frequency Trimming Surface Acoustic Wave Devices.
697C6EBC	Information not present<--LOGRAN PRECISAR EL TAMAÑO DEL GENOMA DE LA SOLITARIA
76A53A93	Journal of Lightwave Technology<--Numerical Study of the Small-Signal Modulation Bandwidth of Reflective and Traveling-Wave SOAs
80C950F5	International Conference on Acoustics, Speech, and Signal Processing<--Adaptive chirplet based signal approximation
69EED4C5	International Symposium on Circuits and Systems<--Novel D/sup 2/T control for single-switch dual-output switching power converters
80F9E685	Journal of Dairy Science<--Pre- and Postweaning Attributes in Faunated and Ciliate-Free Calves Fed Calf Starter With or Without Fish Meal
7DD65B18	Information not present<--Photonic generation of ultrawideband doublet pulse based on cross-absorption modulation in an electroabsorption modulator
5EC64804	Information not present<--Magnetocapacitive response in organic spin valve with a 3,4,9,10-perylene-teracarboxylic-dianhydride spacer
7E8A93B3	Information not present<--A new parameter estimation method of linear frequency modulation signal
8034922A	Information not present<--Quantization noise shaping in digital PWM converters
7D24F980	International Conference on Communications<--Soft output MAP equalization and trellis coded modulation for severe frequency-selective fading channels
77CE9949	Information not present<--A 5.2–11.8MHz octa-phase relaxation oscillator for 8-PSK FM-UWB transceiver systems
7E3BE74C	Journal of Lightwave Technology<--Hybrid frequency-polarization shift-keying Modulation for optical transmission
79407A4F	Information not present<--An efficient line segmentation approach for handwritten Bangla document image
7DF49D97	Information not present<--Pulsed PECVD for the Growth of Silicon Nanowires
79057719	Transactions of The American Institute of Electrical Engineers. Part Iii: Power Apparatus and Systems<--A Study of the Use of Tone Modulation Over Complex Carrier Channels
5CD8BDBF	Vehicular Technology Conference<--Dynamic channel assignment using sub-carrier multiplexing techniques in microcellular systems
7C67C184	IEEE Transactions on Broadcast and Television Receivers<--Practical solutions to transistorized FM tuner design problems using new epitaxial stripe mesa transistors
7FB74187	Information not present<--Link adaptation with retransmissions for non-binary LDPC codes
76A3D512	Information not present<--Unique lasing mechanism of localized dispersive nanostructures in InAs/InGaAlAs quantum dash broad interband laser
7E4611C2	IEEE Communications Surveys and Tutorials<--A survey on jamming attacks and countermeasures in WSNs
7E6D4068	Information not present<--Adaptive spectrogram for time-frequency signal analysis
7F80100A	Information not present<--A 3.6GHz 1MHz-bandwidth ΔΣ fractional-N PLL with a quantization-noise shifting architecture in 0.18µm CMOS
59ED87A2	Information not present<--Error Probability in Binary Digital FM Transmission Systems.
5FDB8A9E	Information not present<--mSTAR: Testing special relativity in space using high performance optical frequency references
7D38F126	Information not present<--A 1.5-V Power Supply inductorless Low Noise Amplifier with 1dB-STEP programmable gain for FM-Radio receivers
7D4DB86A	Proceedings of the IEEE<--The design of an operational amplifier notch filter
75E70E6A	Information not present<--Nestled secondary power loops in multilevel modular converters
7F80EA22	IEEE Transactions on Aerospace and Electronic Systems<--Extending the Range of a Frequency-Modulated Altimeter
7637AB46	Communication Systems and Networks<--Circular Polarization Modulation for digital communication systems
7241BD4C	International Conference on Acoustics, Speech, and Signal Processing<--Harmonics tracking and pitch extraction based on instantaneous frequency
7DBD8CFF	IEEE Transactions on Communications<--Comparison of Calculated and Measured Bandwidth of the Florida-Cuba Tropospheric Scatter System
7D15F9BA	IEEE Transactions on Communications<--Convergence analysis of the least squares constant modulus algorithm in interference cancellation applications
6F70F281	Information not present<--10 Gbps operation of TO-can packaged 850 nm oxide confined VCSEL
6D09447F	Information not present<--Microwave FM receiver using zero intermediate frequency
5BB9F612	Information not present<--Frequency modulation of grazing-incidence PPLN OPO and its application in photoacoustic spectroscopic measurements
7F5EBC24	Information not present<--Demo system of amplitude modulation based on Java
75F22322	Information not present<--A dynamically reconfigurable architecture enabling all-digital transmission for cognitive radios
7BEEF7B4	Information not present<--Discrete-time representation of band-pass frequency-domain data for Envelope Transient simulation
77044DAA	IEEE Transactions on Electromagnetic Compatibility<--Effects of Impulsive Noise on Phase-Locked Loop FM Demodulator
7EF82734	Information not present<--The nonlinear distortion of directional loudspeaker
75C2D42B	IEEE Journal of Quantum Electronics<--Frequency shift in a line center stabilized CO 2 laser
7BF241F0	IEEE Journal of Solid-state Circuits<--A 56 mW Continuous-Time Quadrature Cascaded $\Sigma\Delta$ Modulator With 77 dB DR in a Near Zero-IF 20 MHz Band
7E2FC04B	Global Communications Conference<--Energy-Efficient Transmission in Frequency-Selective Channels
7CFDFBD3	Information not present<--Metrology of vector modulation error: Problems and solution
8096731D	IEEE Transactions on Communications<--Orthogonally multiplexed orthogonal amplitude modulation family
7C805323	International Symposium on Wireless Communication Systems<--An alternative multiple access scheme for the uplink 3GPP/LTE based on OFDM/OQAM
799390A9	Proceedings of The Institution of Electrical Engineers<--Filter with periodic phase delay and insertion-loss ripple
1A24348A	Elektrotechnik Und Informationstechnik<--5217 学習スタイルの変化から見た大学図書館におけるコモンスペースの在り方に関する研究 : ラーニング・コモンズのファシリティマネジメント研究(中高一貫・大学,建築計画I)
149484FC	Information not present<--HIGH ALTITUDE RADIO RELAY SYSTEMS
5B303D99	Handbook of Behavioral Neuroscience<--Chapter 6.2 - Frequency modulated 50 kHz ultrasonic vocalizations reflect a positive emotional state in the rat: neural substrates and therapeutic implications
7E34FF85	International Symposium on Information Theory<--Which sub-optimum receiver is optimum?
79622EEB	Information not present<--An review of fully digital audio class D amplifiers topologies
7627C5DB	Information not present<--A Reflective Array Compressor Using a Non-Linear Chirp
812FA08F	Journal of Lightwave Technology<--RF Nonlinearities in an Analog Optical Link and Their Effect on Radars Carrying Linear and Nonlinear Frequency Modulated Pulses
32067597	Information not present<--Performance of underwater acoustic communication system based on FH-MFSK
84431A24	Proceedings of the IEEE<--Special considerations for preemphasis design in FM/FM systems
7E8ED566	Information not present<--INICIA EL PROGRAMA ACADÉMICO UNIFICADO DE MAESTRÍA Y DOCTORADO EN BIOÉTICA
7C2F1472	IEEE Transactions on Ultrasonics Ferroelectrics and Frequency Control<--Method to suppress DDFS spurious signals in a frequency-hopping synthesizer with DDFS-driven PLL architecture
817750A4	Information not present<--A CMOS frequency-mixing transimpedance amplifier with 5nA rms input noise for frequency-domain near-infrared spectroscopy
7AF0614D	IEEE Transactions on Automatic Control<--A computer algorithm for the optimization of discrete-time pulse frequency modulated systems
816A61C3	IEEE Aerospace and Electronic Systems Magazine<--The present and the future of random signal radars
7F58F42A	Japanese Journal of Applied Physics<--Dielectric Properties of Frequency Modulation Twisted Nematic LCDs Doped with Palladium (Pd) Nanoparticles
80B71A9D	Information not present<--Characterization of sol-gel derived (Pb,La)TiO/sub 3/ pyroelectric thin film detectors
76F51D42	Proceedings of the IEEE<--Approximate calculation of closed&#8211;loop poles from the Bode diagram
7E07F077	International Conference on Communications<--An inter-carrier interference reduction scheme for OFDM underwater acoustic communications
7AE0C111	Information not present<--High-speed directly-modulated lasers with photon-photon resonance
7A4FD78C	Information not present<--Time-frequency representation reconstruction based on the compressive sensing
7AEAA0E9	Proceedings of The Institute of Radio Engineers<--The Phase-Shift Method of Single-Sideband Signal Generation
1466F6C1	Elektrotechnik Und Informationstechnik<--5290 日常生活施設の使われ方の実情 : 大学キャンパスにおける学生生活の日常生活施設に関する研究(その1)(FM・POE:キャンパス(2),建築計画I)
7D09E3E7	Information not present<--A continuous-time ΣΔ modulator with a Gm-C input stage, 120-dB CMRR and −87 dB THD
79C61807	Proceedings of the IEEE<--Optimum frequency demodulation in the presence of Gaussian noise
5EEC46C1	Information not present<--CHARLAS CIENTÍFICAS DE INVESTIGADORES Y ALUMNOS
78B65670	Information not present<--The Doppler Telemetry System for Free Fall Penetrometer
79B9CE1C	BioSystems<--Modeling of the response of midbrain auditory neurons in the rat to their vocalization sounds based on FM sensitivities
7B1A56D1	IEEE Sensors Journal<--Frequency Modulation Technique for MEMS Resistive Sensing
5E24820E	Information not present<--Range autofocusing for FMCW radars using time warping and a spectral concentration measure
5C0CD9AE	Information not present<--Design of 3D simulation platform for cargo airdrop system
59418E0D	European Solid-State Circuits Conference<--A Monolithic 5 GHz Frequency Divider IC Fabricated with a Standard Bipolar Technology
809FF4D8	Intelligent RObots and Systems<--Dynamic force/torque equilibrium for stable grasping by a triple robotic fingers system
71E3BA29	IEEE Transactions on Magnetics<--First-Principles Calculations of Magnetic Properties of Cr-Doped Ni 45 Co 5 Mn 37 In 13 Heusler Alloys
78D247C3	Information not present<--In-band SBS suppression for optical high power transmitter
765FCCD6	IEEE Photonics Technology Letters<--Dual-Comb Architecture for Fast Spectroscopic Measurements and Spectral Characterization
77611227	Information not present<--Joint time-frequency scattering for audio classification
7C8B570F	Ire Transactions on Medical Electronics<--Instrumentation for Spectral Phonocardiography
7E38CE10	Information not present<--Microwave multichannel system with a sideband injection locking scheme in the 60 GHz-band
7EC939D7	IEEE Transactions on Communications<--Experimental Evaluation of the Jitter Generated in Timing Transfer
78C2D3C4	Information not present<--Software defined radio and cognitive radio techniques
2FDFEA42	Information not present<--Photoelectronic vibrometer with polarized light. [for torsional vibration measurements
75D35CBF	Information not present<--Observation of continuous Ramsey-CPT fringes with optical pulses
75F8EC1E	Information not present<--A New FMT System Structure with Relative Coding
2E8F6E76	Information not present<--A study of the power spectral density of an FM signal
76531B1C	Information not present<--Analysis of the stability of recirculating frequency shifter used as a multi-tone wideband light source for Tb/s multi-carrier optical transmission
75583573	Information not present<--A test set for measurement of envelope delay distortion at audio frequencies with 1-microsecond precision
80235E87	Journal of Lightwave Technology<--Nondestructive optical fiber modulation using radiation mode coupling phenomena
71BA45CB	IEEE Transactions on Magnetics<--A Fast Method for Calculating Magnetic Hysteresis Loops
7ACA72F5	Information not present<--An outer loop link adaptation for BICM-OFDM that learns
7ABBD68C	Electrical Engineering<--Carrier for relaying and joint usage — I
59565F97	Information not present<--Waveform design and scheduling for agile sensors for target tracking
7FCA65F5	Information not present<--Effects of increasing switching frequency in frequency modulated power converters
7CD50054	Information not present<--A 0.5-V sub-μW/channel neural recording IC with delta-modulation-based spike detection
787282F4	IEEE Transactions on Consumer Electronics<--TV Multichannel Sound - The BTSC System
0F7938EC	Information not present<--GENERATION AND SUPPRESSION OF SPURIOUS OUTPUTS IN KLYSTRON AMPLIFIERS
75815AFD	IEEE Journal of Quantum Electronics<--Analysis of the carrier-induced FM response of DFB lasers: theoretical and experimental case studies
7B9A9E40	IEEE Signal Processing Letters<--On Computing Amplitude, Phase, and Frequency Modulations Using a Vector Interpretation of the Analytic Signal
78181ECE	Information not present<--A new algorithm for long range FMCW radar altimeter
77C806B6	Information not present<--A new technique of measuring low-power picosecond optical pulse trains
7590195B	Information not present<--Practical low-cost high-range-resolution ladar
79BD411A	Archives of Physical Medicine and Rehabilitation<--Deep Repetitive Transcranial Magnetic Stimulation With H-coil on Lower Limb Motor Function in Chronic Stroke: A Pilot Study
5914BC0F	Information not present<--Stereophonic acoustic echo canceller using single adaptive filter per channel
7B21535D	IEEE Journal of Solid-state Circuits<--A Spurious-Free Switching Buck Converter Achieving Enhanced Light-Load Efficiency by Using a $\Delta \Sigma$ -Modulator Controller With a Scalable Sampling Frequency
77B62F86	Biophysical Chemistry<--A theoretical modeling for frequency modulation of Ca 2+ signal on activation of MAPK cascade
6AC0D9F0	Information not present<--Enhancing the factorization method relying on its physical meaning
7662FB31	Quantum Electronics<--Dynamics of superradiant media in a resonator
8006A255	Information not present<--FACTIBLE HACER VACUNAS SINTÉTICAS; LA CREADA CONTRA EL PALUDISMO HA RESULTADO EFECTIVA
785DF53F	Information not present<--A Dynamic Phasor Estimator Based on Low-Pass Differentiator Energy Operator
5A735F16	Conference on Computational Complexity<--Implementation of obstacle avoidance technique for indoor coaxial rotorcraft with Scanning Laser Range Finder
7B3C0FC3	Information not present<--Performance of variable frequency ISPWM technique for a cascaded multilevel inverter
796AC5A6	IEEE Transactions on Industrial Electronics and Control Instrumentation<--A Microprocessor Control of A Three-Pulse Cycloconverter
7D972DB1	Pacific-Asia Workshop on Computational Intelligence and Industrial Application<--Automatic Contour Generation of 4D CT by Deformable Registration
80F89C5B	International Solid-State Circuits Conference<--A 2.75mW wideband correlation-based transceiver for body-coupled communication
7943D0DC	Information not present<--Analysis of asymmetrical cascaded multilevel inverter for traction systems
73536B67	Information not present<--EMOTIVA REAPARICIÓN DE ÀSCAR CHÁVEZ EN CU
590817C6	Information not present<--DEVELOPMENT OF AVALANCHE OSCILLATORS AT 10 GHZ AND 18.3 GHZ.
7FDA80A6	Studia Informatica Universalis<--A sparsity-driven approach for SAR image formation and space-variant focusing
7DADA628	Information not present<--AC power load controlling by using PWM based on phase locked loop
7E0366FC	IEEE Transactions on Geoscience and Remote Sensing<--Extended chirp scaling algorithm for air- and spaceborne SAR data processing in stripmap and ScanSAR imaging modes
7E44FA94	IEEE Photonics Technology Letters<--4-Gb/s heterodyne transmission experiments using ASK, FSK and DPSK modulation
7C93932F	Transactions of The American Institute of Electrical Engineers<--Frequency Modulation Receiver Design Trends
7EF8F1A9	Information not present<--DESIGN STUDY OF AN INTEGRATED AIRBORNE TELEMETRY SYSTEM
761B3986	IEEE\/OSA Journal of Display Technology<--A Regulated Pulse Current Driving Technique in Green Laser Synthesis With Electrical to Optical Conversion Efficiency Improvement for Mobile Projectors
7AFDD234	Information not present<--An effort to formulate frequency modulation constraints in ship-electrical systems with pulsed loads
58D712F8	Information not present<--Instantaneous Frequency Rate Estimation of Multi-component LMF Signals Based on LPFT
7A65963A	Quantum Electronics<--Difference-frequency generation in the field of a few-cycle laser pulse propagating in a GaAs crystal with a domain structure
7AF9F9AD	IEEE Transactions on Communications<--Multilevel SCPC System Design
7D52A741	Information not present<--Study of Side Lobes Suppression for Using Pulse Compression in Weather Radar
58E3B85A	Information not present<--The investigation of frequency modulation in voltage-controlled oscillator due to low frequency interference from supply voltage
796A2F3D	Information not present<--Empirical compensation of low order harmonics due to flat top modulation the "BATMAN" modulator
7796BFB6	Information not present<--A Microwave F.M. Noise Measuring System with a Simplified Calibration Procedure
7876304B	Information not present<--Characterization of Golay detector for the absolute power measurement of terahertz radiation
7EB389BD	IEEE Transactions on Communications<--The design of communication systems
5D640D28	Information not present<--MULTI-CARRIER RADIO COMBINING TECHNIQUE.
7FF88184	Information not present<--Custom spectral shaping for EMI reduction in electronic ballasts
786C4D63	IEEE Vehicular Technology Magazine<--Absolute Phase for Mobile Channels
76BF429E	Proceedings of the IEEE<--Comment "On the Fourier analysis of square-wave FM"
7FA82576	Educational Data Mining<--The statement of the "amplitude, phase, frequency" problem in radioelectronics
7A2A1C6C	IEEE Transactions on Industrial Informatics<--Extension of Pulsewidth Modulation From Carrier-Based to Dither-Based
84FCEAD5	Information not present<--Coby Electronics HD Radio Receivers | Gear Live
786B9A04	Information not present<--Optimization of orbital trajectory for frequency modulated gyroscope
80DFAC0D	IEEE Transactions on Applied Superconductivity<--Superconducting Excitation System of a Small Scale Linear Synchronous Motor
801AFE0C	IEEE Transactions on Magnetics<--An explanation of the observed frequency domain behavior of head-disk interface resonances in the proximity recording regime
7E1555F5	Information not present<--A coherent Ka band FMCW radar for real time target acquisition
5F84CCDF	Information not present<--FM一括変換方式によるFTTH光映像伝送システムについて(アクセス系,光無線システム,光映像伝送,光通信,オペレーション/保守監視,一般)
7A3EC2FD	Journal of Chemical Physics<--Observation of proximities between spin-1/2 and quadrupolar nuclei: Which heteronuclear dipolar recoupling method is preferable?
8075F914	Vehicular Technology Conference<--Highly efficient large-domain moment-method analysis and CAD of radio-frequency antennas mounted on or situated in vehicles
1380CCB1	Information not present<--A Modified Beat Frequency Modulated Accretion Model I. Spin Periods and Magnetic Moments of Z-Sources Inferred from Horizontal Branch QPO.
6DFCE006	Information not present<--Doppler properties of polyphase pulse compression codes under different side-lobe reduction techniques
68E3DFD8	Information not present<--The study on method for calculating the compressive strength of multi-hole concrete hollow block masonry
7A8DD46B	Information not present<--Satellite Communication Signal Modulation Which Based on FDM
7FB6E67C	IEEE Transactions on Industrial Electronics<--A novel sine PWM scheme using waveform generators
80525FDB	IEEE Journal of Quantum Electronics<--Experimental study of single picosecond light pulses
7E87781C	Information not present<--Pulse driven Gaussian minimum shift keying
7F7EDBAE	Journal of Lightwave Technology<--Frequency division multiplexing of fiber-optic gyroscopes
7EE9C410	IEEE Photonics Technology Letters<--All-Fiber ${Q}$ -Switched Ring Laser With Increased Repetition Rate
7D274A54	IEEE Communications Letters<--Reduction in harmonic distortion through use of aperiodic timing in frequency demodulation
7D78AE60	IEEE Transactions on Circuits and Systems I-regular Papers<--Dynamic flicker frequency modulation and noise instability of oscillators
5B9BF39D	Information not present<--Visual and Auditory Sensitivities and Discriminations.
7AD1F520	Information not present<--Electro-optical radiofrequency up-converter based on a Semiconductor Optical Amplifier
5AA2E354	Information not present<--AM/FM noise in fiber optic links for radar antenna remoting
7B62239C	IEEE Transactions on Broadcast and Television Receivers<--Nonlinear Response of Phase-Locked Loops
61577DFA	Information not present<--MEDICINA Y EL IMSS COEDITAN LIBRO ACERCA DE LA RELACIÓN ENTRE CLÍNICA MÉDICA Y TECNOLOGÍA
779FFA79	IEEE Transactions on Consumer Electronics<--A World Standard Video And Sound IF IC
6EE94B40	Clinical Oncology<--A subcarrier transmission approach to microcellular systems
76D27A54	IEEE Journal of Quantum Electronics<--Integrated-optical single-sideband modulator and phase shifter
781F2411	Electronics Letters<--Phase noise limited resolution of coherent LIDAR using widely tunable laser diodes
7C911C63	Information not present<--An EDGE transmitter with mitigation of oscillator pulling
3A9CE8D9	Information not present<--Radiative and predissociation probabilities for the OH A /2/sigma/plus/ state
8174A5B6	Information not present<--Traceable GMSK vector modulation error based on analog PM
7DB3F3E5	Information not present<--Partial discharge phenomena in artificial cavity in epoxy cast resin insulation system
81379CE1	Information not present<--Effect of wind on space-based radar performance
7A8D5FB9	Information not present<--Linear discriminant analysis for the discrimination of faults in bearing balls by using spectral features
769AD392	European Conference on Cognitive Ergonomics<--On factors affecting EMI-performance of conducted-noise-mitigating digital controllers in DC-DC converters—an experimental investigation
7CFFD58E	Applied Optics<--Optical time-domain reflectometry in optical fiber with reflection delay time matched to the period of the optical frequency modulation
76C8C45A	Information not present<--A low-power digitally controlled wideband FM transceiver
801A7F5F	Information not present<--The improvement and implementation in the algorithm of finding maximal motifs in DNA sequences
7839DDB6	Information not present<--Development of a laser range finder using the phase difference method
76ABF9C2	Information not present<--Detection of moving target based on fractional Fourier transform in SAR clutter
7E6207DB	Information not present<--Stereo disparity from multiscale processing of local image phase
2D7794BC	Information not present<--Sub-Nyquist Sampling and Moire-Like Waveform Distortions
7FF6759C	Information not present<--Fault detection of gearbox with vibration signal analysis by a linear combination of adaptive wavelets
7DB4FC03	Information not present<--Resolution enhancement in SPECAN algorithm for SAR image reconstruction using APES
5EF47F7C	Journal of Chemical Physics<--The Frequency Detuning Correction and the Asymmetry of Line Shapes: The Far Wings of H2O-H2O
7EA05090	Canadian Conference on Electrical and Computer Engineering<--Performance analysis of an in-band COFDM/FM digital audio broadcasting system
80331D2A	IEEE Transactions on Communications<--A discrete-time method of demodulating large deviation FM signals
7EC156A5	Family and Consumer Sciences Research Journal<--Antecedents of Intention to Adopt the Web‐Based Computer Aided Facility Management System
7756879E	Information not present<--Effect of Noise FM Jamming against ISAR Imaging
7CD9E720	Information not present<--Model-based safety assessment: Review of the discipline and its challenges
7E24C0C9	IEEE Transactions on Power Electronics<--Analysis and Design of Voltage Regulator With Adaptive FET Modulation Scheme and Improved Efficiency
7C0184FA	IEEE Transactions on Control Systems and Technology<--Development of a Sensorless Control Method for a Self-Energizing Brake System Using Noncircular Gears
7E1DD868	International Conference on Acoustics, Speech, and Signal Processing<--A hybrid coherent-incoherent method of modulation filtering for Single Channel Speech Separation
7531E58D	IEEE Transactions on Very Large Scale Integration Systems<--A Spur Suppression Technique Using an Edge-Interpolator for a Charge-Pump PLL
81F697D9	IEEE Transactions on Industrial Electronics<--An amplitude Modulation detector for fault diagnosis in rolling element bearings
767BB758	Information not present<--Compact and ultra-high-resolution spectrograph with multi-GHz optical frequency comb
7B38C89C	Electronics Letters<--Throughput of nonpersistent inhibit sense multiple access with capture
757AC2FE	Information not present<--Surface Roughness Measurements by using Low-Resolution FM-CW Radar Altimeters
8098F696	International Symposium on Circuits and Systems<--A CMOS class AB current-multiplier
1185A927	Information not present<--FM Correlator Spectral Data Transfer by Scrambled Transmission System.
76B820D5	Radio and Electronic Engineer<--A comparison of P.C.M. and F.D.M.-F.M. microwave radio systems
5C79E323	Canadian Conference on Electrical and Computer Engineering<--A DLL fractional M/N frequency synthesizer
7F6A42A8	Multimedia Systems<--Improving Ambiguity Function of Costas signal
75C53D44	IEEE Transactions on Broadcasting<--Investigation of Surface Educational Television Distribution
75F2B7C0	IEEE Transactions on Electron Devices<--Frequency modulation of three-terminal Gunn devices by optical means
79A5F496	Information not present<--AM to FM conversion via combine optical and electrical tuning
07D9DD53	Elektrotechnik Und Informationstechnik<--5296 国立大学法人の光熱水料等費・維持管理費に関する研究(キャンパスFM(2), 建築計画I)
70CACA37	Information not present<--EL PROYECTO DE GENOMA PUERTA A NUEVAS INDUSTRIAS
7A413A93	IEEE Microwave and Wireless Components Letters<--A 19 GHz CMOS Signal Generator for 77 GHz FMCW Radars
790D7077	Information not present<--F.M. quartz oscillators
7B32B6A9	Wireless and Optical Communications Conference<--Optical generation of low phase noise Microwave by Y-branch integrated dual wavelength laser
7F7954CB	Information not present<--Analyzing Current Ripple in Variable-Frequency Boost Converter
77043A0B	Information not present<--IFWM Suppression by Asynchronous Phase Modulation
7EF5A87E	Information not present<--Fuel-cell based on-board system with different switching frequencies of modulated inverters
0016B7A1	Information not present<--Apparatus for study of electron paramagnetic resonance under conditions of high pressure and shear
5D776CAD	Information not present<--CONCLUYEN ALUMNOS DE MEDICINA INTERNADO EN LA UNIVERSIDAD DE TEXAS
7D1C6301	Information not present<--Distortion in a semiconductor laser under quasi-sinusoidal current modulation
73542D5E	Information not present<--A signal processing approach to bearing fault detection with the use of a mobile phone
7E0BAE6D	Information not present<--Enhanced direct modulation efficiency by FM to IM conversion
628908C5	Information not present<--Techniques for Reduction and Analysis of Upper Atmosphere Research Data.
7D63F2BB	IEEE Photonics Technology Letters<--Remote downconversion with wavelength reuse for the radio/fiber uplink connection
7BEA71BD	Information not present<--Analytic Kravchenko-Kaiser wavelets and their physical properties
7D303BF9	Information not present<--Reducing printed circuit board emissions with low-noise design practices
7FDAD726	Information not present<--Self-modulated Gunn diode self-oscillating mixer
5DF53ADF	Information not present<--Investigation of Surface Optical Waves for Optical Signal Processing.
7CB83AFA	Thrombosis Research<--The monoclonal antibody that recognizes an epitope in the C-terminal region of the fibrinogen α-chain reacts with soluble fibrin and fibrin monomer generated by thrombin but not with those formed as plasmin degradation products
81E2F6C0	Information not present<--On the fundamental differences between the NT and the KM center of Sets Calculation Methods on the IT2-FLC performance
7C253562	Computer Supported Cooperative Work in Design<--An adaptive intelligent method for manufacturing process optimization in steelworks
7736CBF0	IEEE Instrumentation & Measurement Magazine<--Ball bearing damage detection using traditional signal processing algorithms
8178B389	IEEE Transactions on Signal Processing<--Analysis of multicomponent LFM signals by a combined Wigner-Hough transform
81005619	IEEE Transactions on Microwave Theory and Techniques<--Transmission of Wireless MIMO-Type Signals Over a Single Optical Fiber Without WDM
78FF0C3E	Journal of Lightwave Technology<--Miniature Nd:YAG lasers: noise and modulation characteristics
7A01E612	Information not present<--Magneto-optical disk system for color video recording
7DC4E7F6	International Conference on Acoustics, Speech, and Signal Processing<--A combined Wigner-Ville and Hough transform for cross-terms suppression and optimal detection and parameter estimation
7D229DC6	American Control Conference<--Adaptive disturbance accommodating controller for uncertain stochastic systems
5AA96D34	Information not present<--New type of optical fiber data transmission system using AO mode space frequency modulator and LED
7FD0615A	IEEE Journal of Solid-state Circuits<--A micropower monolithic transmitter for single- or multichannel biomedical telemetry
5CB0DDF7	Information not present<--Frequency dependence of the fixed point in a fluctuating frequency comb
60CE3CCE	Information not present<--Theoretical and simulated performance for a novel frequency estimation technique
7F5A1DF4	Information not present<--Laser spectroscopy of /sup 127/I/sub 2/ hyperfine structure near 532 nm with diode-pumped intracavity-doubled YAG lasers
0AEBBB3F	Information not present<--Improved rising sun reticle
7577BFF4	Information not present<--Analysis of Low Frequency Oscillations using improved Hilbert-Huang Transform
7BEFDFF3	IEEE Transactions on Intelligent Transportation Systems<--Amplitude-Modulated Laser Radar for Range and Speed Measurement in Car Applications
779EBE85	Computational Intelligence<--A Method of Type Inference Based on Dataflow Analysis for Decompilation
793543A6	International Conference on Quality Software<--Function Substitution: Towards Constraint Solving in Software Testing
7BA4B85B	Information not present<--Applications of Surface-Acoustic-Wave Devices in Satellite Communication Systems
75D13653	IEEE Transactions on Microwave Theory and Techniques<--Linearity Improvement of Microwave FM Oscillators by Harmonic Tuning
7566C3E0	Electronics Letters<--Erratum: Theory of FM noise of single-mode injection lasers
776E1D5E	IEEE Transactions on Consumer Electronics<--A traffic information receiver for road/automobile communication system
7BA39DA2	Proceedings of the IEEE<--Large-scene front-lighted hologram of a human subject
7EDB66A8	Information not present<--Device-less capacitive indoors localization and activity tracking system
036424CE	Information not present<--Antenna Development for OH-58A Helicopter
7D2C61ED	Journal of Lightwave Technology<--Simulation of a laser modulator driven by NRZ pulses
7AD4705E	IEEE Transactions on Consumer Electronics<--A New Optical Videodisc System with One Hour Playing Time
83958607	Information not present<--Corpus design and development of an annotated speech database for Punjabi
65EC5FBF	International Conference on Communications<--Adjacent channel interference susceptibility of serial concatenated continuous phase modulation
7BE5FE6B	Radio and Electronic Engineer<--Equivalent variable centre-frequency amplifiers
77D286E6	Journal of Modern Optics<--Tunable coupled-ring-resonator of thermally actuated optical switch array
7FE9E5AA	Information not present<--Tuning methods for uncooled low-cost tunable lasers in WDM-PON
75FDC108	Information not present<--A design of high-range resolution radar signal synthesizer
80EC49FD	Information not present<--SST data transmitted utilising Viterbi decoding
79007476	Information not present<--Investigation of synchronization system in a framework of measurements of microwave phase progression on a opened links
7FAF84CC	Information not present<--Performance improvement of a linear permanent magnet synchronous motor drive using fuzzy logic controller
806D94EF	Information not present<--EL CAMPO DE LA MEDICINA: CONJUGACION DE CIENCIA, TECNOLOGIA Y SABIDURIA
7D6E17CD	IEEE Transactions on Communications<--An application of MMSE predistortion to OFDM systems
7AEAAD63	Information not present<--Modulation of the plasma frequency in cuprate superconductors with of the active CuO 2 planes
7F97B626	Acta Oto-laryngologica<--Processing of Complex Sounds in the Auditory Cortex of Cat, Monkey, and Man
79F4B67C	Custom Integrated Circuits Conference<--Wireline transmitter and receiver design techniques
7A4C7137	Iet Radar Sonar and Navigation<--Human motion estimation with multiple frequency modulated continuous wave radars
717BDE89	Information not present<--Perceptions of the Press in Nineteenth-Century British Periodicals: Blackwood's Edinburgh Magazine, 1824–1900
7D06D848	European Solid-State Circuits Conference<--Audio at low and high power
7F97B62A	International Conference on Intelligent Computing<--Study of Seismic Denoising via Decomposition Algorithm Based on Windowed Frequency Modulated Atom
7CB709E1	Information not present<--Fiber-based multiple-access ultrastable radio and optical frequency dissemination
80003F52	Information not present<--Vibrotactile sensory substitution in multi-fingered hand prostheses: Evaluation studies
793821C8	Electronics Letters<--Model of error generation in tamed frequency modulation
7A12AB3D	Information not present<--Underdetermined DOA Estimation of LFM Signals
862A7AB1	Information not present<--TAREA TRASCENDENTE; RESCATAR VALORES IMPERECEDEROS
12B97D00	Information not present<--SINGLE FREQUENCY F SUB 1, F SUB 1 REPEATER
