5F58F167	Global Synchronization in Sensornets
79826E19	Tight bounds for clock synchronization
7C798E25	Why two clocks synchronize: Energy balance of the synchronized clocks.
760A45A6	Design of a large remote seismic exploration data acquisition system, with the architecture of a distributed storage area network
7AB2BC00	Average TimeSynch: A consensus-based protocol for clock synchronization in wireless sensor networks.
7E55010D	Time and frequency transfer between master and slave clocks
796CEBE5	A Survey and Taxonomy of GALS Design Styles
7C36F460	A linear programming approach to highly precise clock synchronization over a packet network
7D8B0037	Time synchronization in ad hoc networks
75F635A8	Interval based off-line clock synchronization for wireless mesh networks
7D833076	On Scheduling and Real-Time Capacity of Hexagonal Wireless Sensor Networks
7E914E2B	A scalable and adaptive clock synchronization protocol for IEEE 802.11-based multihop ad hoc networks
7DB5D9D1	Analysis of a clock synchronization protocol for wireless sensor networks
7EDA3912	Near-Optimal Radio Use for Wireless Network Synchronization
71F75089	CAN 네트워크의 시간동기를 위한 IEEE1588 구현
59DE194B	Possible and Impossible Self-Stabilizing Digital ClockSynchronization in General Graphs
7ADFF238	The Inertial Transformations and the Relativity Principle
7951245A	Self-adaptive clock synchronization for computational grid
7649FC4D	Impact of the Deafness Problem on Clock Synchronization in a Wireless Sensor Network
7DDA0C14	Analysis of self-stabilizing clock synchronization by means of stochastic Petri nets
7DF58116	Verification of Clock Synchronization Algorithms: Experiments on a Combination of Deductive Tools
7FFF28E4	The asynchronous bounded-cycle model
7F9EF735	Extension of pairwise broadcast clock synchronization for multicluster sensor networks
757730B1	Self-stabilizing clock synchronization in the presence of Byzantine faults
7CE1BE59	Firefly clock synchronization in an 802.15.4 wireless network
7C54A596	Adaptive clock synchronization in sensor networks
7D6F05D0	A simulation framework for fault-tolerant clock synchronization in industrial automation networks
5D01BCDB	Predicate detection using event streams in ubiquitous environments
7E2F0E9A	Robust synchronization of software clocks across the internet
7DE07DEF	A Light Weight Method for Maintaining Clock Synchronization for Networked Systems
7F277BC4	An Infinite Phase Shift Delay-Locked Loop With Voltage-Controlled Sawtooth Delay Line
7F57C7DC	Almost Peer-to-Peer Clock Synchronization
7D71CCDD	Design of on-chip and off-chip interfaces for a GALS NoC architecture
7C400F69	Four-state stabilizing phase clock for unidirectional rings of odd size
80114C26	Clock Synchronization in Distributed Real-Time Simulation System
5AA26CF4	On self-stabilizing synchronous actions despite byzantine attacks
7D67A0C4	Steiner tree based rotary clock routing with bounded skew and capacitive load balancing
7F5CB59D	A 3D User Interface for the Active Reflector of Large Radio Telescope
5F557008	SMT-Based Formal Verification of a TTEthernet Synchronization Function
7646DB9C	The Wake-Up Problem in MultiHop Radio Networks
7F4AFFD6	SEEEP: Simple and Efficient End-to-End Protocol to Secure Ad Hoc Networks against Wormhole Attacks
80C59B4C	Gradient clock synchronization in dynamic networks
753BAF09	A new hardware-based fault-tolerant clock synchronization scheme for real-time multiprocessor systems
7E5C4646	Clock synchronization issues in bluetooth-based industrial measurements
76C8DB1A	Optimal and efficient clock synchronization under drifting clocks
7C1941FD	A High Precision Fast Locking Arbitrary Duty Cycle Clock Synchronization Circuit
7A01471C	Performance of inter-media synchronization in distributed and heterogeneous multimedia systems
5F6B1917	A Theory of Clock Synchronization
5E90A135	Formal verification for time-triggered clock synchronization
5B86238E	Orthogonal Accuracy Clock Synchronization
8128AD0D	Networked control system design and implementation
7FA05D34	How to model link failures: a perception-based fault model
809E65A2	Clock synchronization for energy-constrained wireless sensor networks
7F8AAAEF	Preventing the Collision of Requests From Slave Clocks in the Precision Time Protocol (PTP)
753B9FA0	Password authentication schemes with smart cards
09443199	Switching On: How to Boot Clock Synchronization in Partially Synchronous Systems
5F31AF1D	Design and Experimental Evaluation of an Adaptive Playout Delay Control Mechanism for Packetized Audio for Use over the Internet
5E5FEE08	Using Directional Antennas to Prevent Wormhole Attacks
803AFC36	Detecting wormhole attacks in wireless networks using local neighborhood information
5F870B9B	Secure and Self-stabilizing Clock Synchronization in Sensor Networks
76A866FE	Secure Precise Clock Synchronization for Interconnected Body Area Networks
7DFBE219	A measurement-friendly network (MFN) architecture
7F72951F	Synchronizing clocks in a system resilient to a wide class of failures
7F7B97A2	FEEPVR: First End-to-End Protocol to Secure Ad Hoc Networks with Variable Ranges against Wormhole Attacks
7FC3AD28	Swarm synchronization for multi-recipient multimedia streaming
7FDB9FF0	Efficient Scheduling for Sensor Networks
71681FFC	Evaluation of message delay correlation in distributed systems
7F593F22	Evaluation of clock synchronization accuracy of coexistent Real-Time Ethernet protocols
7E750BB1	EDA performance and clock synchronization over a wireless network: Analysis, experimentation and application to semiconductor manufacturing
5E1F2D8C	Using UPPAAL to model and verify a clock synchronization protocol for the controller area network
7534C71C	Clock synchronization on a multicomputer
80E14CB6	An UPPAAL Model for Formal Verification of Master/Slave Clock Synchronization over the Controller Area Network
80928BCB	TrueLink: A Practical Countermeasure to the Wormhole Attack in Wireless Networks
0196F877	Clock Offset Estimation in Wireless Sensor Networks Using Bootstrap Bias Correction
7D42A326	A Simple Broadcast Synchronization in Low Energy-Consumption Distributed Systems
758C3CFF	Brief announcement: how to speed-up fault-tolerant clock generation in VLSI systems-on-chip via pipelining
807C3D4E	Enhanced sampling clock offset correction based on time domain estimation scheme
772EC029	Optimal clock synchronization
8154A201	Wireless network synchronization for multichannel multimedia services
7AA294FB	Performance Analysis of Kalman-Filter-Based Clock Synchronization in IEEE 1588 Networks
7DD0DA37	Uniform timing of a multi-cast service
7ECA1893	HARTS: a distributed real-time architecture
814AD014	Accurate clock synchronization for IEEE 802.11-based multi-hop wireless networks
7EDCF4E7	Wind maintenance system using network synchronization techniques based on open-source software
5F70E4B7	Opportunistic Clock Synchronization in a Beacon Enabled Wireless Sensor Network
58A51F14	Using Adaptive Timeouts to Achive At-Most-Once Message Delivery
7E86A4B6	Improving Fault Tolerance in High-Precision Clock Synchronization
815E7D30	Quantitative and Qualitative Comparison Study of Reference Based Time Synchronization Approach in Wireless Sensor Network
7F4603CB	Distributed checkpointing using synchronized clocks
7D1769E2	Timestamping for IEEE 1588 based clock synchronization in wireless LAN
7CD99DD2	The flooding time synchronization protocol
812514B4	Avoiding Delay Jitter in Cyber-Physical Systems Using One Way Delay Variations Model
7FEA6464	A Scalable Communication Protocol for Multi-layered Groups
80C1B29F	New hybrid fault models for asynchronous approximate agreement
7DBFAA4E	High accurate timestamping by phase and frequency estimation
7FD990E6	An Accurate and Scalable Clock Synchronization Protocol for IEEE 802.11-Based Multihop Ad Hoc Networks
7E86FCBE	Simple reading, implicit rejection and average function for fault-tolerant physical clock synchronization
77A7F077	Logical analysis of AUTHMAC_DH: a new protocol for authentication and key distribution
5E94FA61	Mechanical Verification of a Generalized Protocol for Byzantine Fault Tolerant Clock Synchronization
7CBD6BB4	Elapsed time on arrival: a simple and versatile primitive for canonical time synchronisation services
7D6E40D2	A Geometric Approach to Slot Alignment in Wireless Sensor Networks
7EE3ECC4	Towards Making NekoStat a Proper Measurement Tool for the Validation of Distributed Systems
7CDAC466	An energy efficient and Fault-Tolerant Clock Synchronization Protocol for wireless sensor networks
7B1D1C2A	A group neighborhood average clock synchronization protocol for wireless sensor networks.
80E0D669	Global clock synchronization in sensor networks
7FC3B8EC	Design and implementation of a consistent time service for fault-tolerant distributed systems
7DDC9078	Data Transfer Protocol in Bridge Structural Health Monitor System using Wireless Sensor Network
8144603E	Does Loss Rate Really Matter? An Experimental Study on Time Synchronization Protocol in Wireless Sensor Networks
7CEDF81E	Adaptive and robust monitoring approach for WSAN environments
7D026FF7	Fault-tolerant cluster-wise clock synchronization for wireless sensor networks
7F9C6FB5	Dissemination of System Time
5F807A1E	Extending IEEE 1588 to fault tolerant clock synchronization
7F51DA89	Low Cost Approximate Agreement In Partially Connected Networks
787CD549	On the scalability of IEEE 802.11 ad-hoc-mode timing synchronization function
78652F88	Scalable synchronization of clocks in wireless sensor networks
7DD21A26	A 7 ps Jitter 0.053 mm $^{2}$ Fast Lock All-Digital DLL With a Wide Range and High Resolution DCC
7B3E4E66	On the Feasibility of Time Estimation under Isolation Conditions in Wireless Sensor Networks
75FE6A06	A clock synchronization problem with random delays
7DE6AFBB	Voting using predispositions
7540BB7B	Relying on time synchronization for security in ad hoc networks
7562E2BC	Joint sequential target state estimation and clock synchronization in wireless sensor networks
7D2277C7	Relative clock synchronization in wireless networks
802CBC75	Data synchronization issues in GALS SoCs
80633682	Cross-layer sensor network synchronization
7DE88EB3	Harmonious internal clock synchronization
8110FDF2	Fast clock synchronization in wireless sensor networks via ADMM-based consensus
7D78591F	External/internal clock synchronization in ATM-based distributed systems
758AF3EF	Interval-based clock synchronization with optimal precision
6F420EC1	Designing modular services in the scattered byzantine failure model
7EAC3ECD	Feedback-Based Clock Synchronization in Wireless Sensor Networks: A Control Theoretic Approach
7DDDD8B8	Analysis of a Clock Synchronization Protocol for Wireless Sensor Networks
8109989E	Model-based clock synchronization in networks with drifting clocks
762EB754	Synchronization of fault-tolerant clocks in the presence of malicious failures
813BF37E	TurboSync: Clock synchronization for shared media networks via principal component analysis with missing data
7F4DC590	Clock Synchronization in Clusters for Performance Evaluation: Numeric/Scientific Computing
7FEFCC59	Passive cluster based clock synchronization in sensor network
7964FF7A	Optimal Clock Synchronization Under Different Delay Assumptions
592BFFF8	Time synchronization in ad hoc networks
8080DD1E	Nonuniform Linear Regression With Block-Wise Sample-Minimum Preprocessing
751F3CE2	BlindDate: A Neighbor Discovery Protocol
8150DA68	Adaptive Internal Clock Synchronization
7B506693	Identifying and verifying clock synchronization protocol parameters
7F7FC54A	Timing constraint remapping to achieve time equi-continuity in distributed real-time systems
798C7E47	Resiliency of distributed clock synchronization networks
75491F2B	Conventionality of synchronisation, gauge dependence and test theories of relativity
5DF76A95	Optimal clock synchronization revisited: upper and lower bounds in real-time systems
7EA129F7	Fail-Aware Publish/Subscribe
7D84D1DC	Fundamental Limits on Synchronizing Clocks Over Networks
80063368	Thermally robust clocking schemes for 3D integrated circuits
77A8D4E1	Secure topology discovery through network-wide clock synchronization
7F7554A7	Using Internet Protocols to Implement IEC 60870-5 Telecontrol Functions
80B916E6	Minimal cost clock synchronization using a sender-receiver protocol in Wireless Sensornets
765A6A67	50–250 MHz ΔΣ DLL for Clock Synchronization
7C079FCA	Layered interactive convergence for distributed clock synchronization
806EA2B3	Efficient non-data-aided carrier and clock recovery for satellite DVB at very low signal-to-noise ratios
8137FF80	SECTOR: secure tracking of node encounters in multi-hop wireless networks
7DA56113	Least Squares-Based Estimation of Relative Clock Offset and Frequency in Sensor Networks with High Latency
78CD8B46	On clock synchronization over wireless LAN using timing advertisement mechanism and TSF timers
5D6FA36F	Gossip-based clock synchronization for large decentralized systems
7EF1B9C4	UDP network communications for distributed wireless control
7F83E106	Demystifying Data-Driven and Pausible Clocking Schemes
794A9CDC	A high-throughput, metastability-free GALS channel based on pausible clock method
5D2E3367	A Network Time Interface M-Module for Distributing GPS-Timeover LANs
7CE46771	Optimal clock synchronization
8121F403	IEEE 1588 style synchronization over wireless link
80FCDE47	A global-state-triggered fault injector for distributed system evaluation
80FEEF8A	Real-time operating environment for networked control systems
7EF7653D	Improved interval-based clock synchronization in sensor networks
7946CBC1	Behavior of clock‐sampling mutual network synchronization in wireless sensor networks: convergence and security
7C3529F8	An improved hardware implementation of the fault-tolerant clock synchronization algorithm for large multiprocessor systems
7E8C700F	Algorithmic aspects of the time synchronization problem in large-scale sensor networks
7DEBD760	Towards the formal verification of lower system layers in automotive systems
